model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair0,P,0.0,0.0,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair0,Q,0.25,-0.375,17983,3606,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair1,P,-0.25,0.125,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair1,Q,-0.25,-0.625,17983,17983,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair2,P,0.25,0.25,50799,565,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair2,Q,0.25,0.0,17983,17983,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair3,P,-0.25,0.125,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair3,Q,0.25,-0.25,17983,3606,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair4,P,0.0,0.25,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair4,Q,0.5,0.0,17983,17983,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair5,P,-0.5,0.125,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair5,Q,0.25,-0.125,17983,17983,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair6,P,0.75,0.5,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair6,Q,0.25,-0.25,17983,17983,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair7,P,0.0,0.125,565,565,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair7,Q,0.25,-0.25,17983,17983,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair8,P,-0.5,-0.25,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair8,Q,0.5,-0.125,17983,3606,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair9,P,0.0,0.125,50799,50799,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-OPP,pair9,Q,0.5,0.25,17983,3606,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair0,P,0.0,0.375,12161,12161,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair0,Q,0.0,-0.6875,12161,12161,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair1,P,-0.5,0.0,10658,10658,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair1,Q,0.25,-0.75,10658,10658,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair2,P,0.75,0.1875,16104,16104,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair2,Q,0.25,-0.375,16104,16104,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair3,P,0.25,-0.4375,4108,4108,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair3,Q,0.0,-0.4375,4108,4108,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair4,P,-0.25,0.0625,9540,9540,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair4,Q,0.0,-0.625,9540,9540,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair5,P,-0.5,0.1875,75416,75416,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair5,Q,0.5,-0.25,75416,75416,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair6,P,-0.25,-0.4375,19414,19414,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair6,Q,-0.25,-0.75,19414,19414,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair7,P,-1.0,0.0625,27934,27934,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair7,Q,-0.25,-0.1875,27934,27934,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair8,P,0.0,-0.375,12460,12460,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair8,Q,0.0,-0.5625,12460,12460,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair9,P,0.0,0.4375,17536,17536,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-MORE,pair9,Q,-0.25,-0.6875,17536,17536,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair0,P,-0.25,0.125,8627,8627,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair0,Q,0.5,0.0,8627,8627,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair1,P,0.5,0.625,7653,7653,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair1,Q,1.0,-0.625,7653,7653,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair2,P,0.0,0.375,16003,16003,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair2,Q,0.25,-0.5,16003,16003,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair3,P,0.25,0.5,5410,5410,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair3,Q,0.0,-0.25,5410,5410,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair4,P,0.75,0.5,29856,29856,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair4,Q,0.25,-0.125,29856,29856,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair5,P,0.0,0.4375,38224,38224,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair5,Q,0.25,-0.375,38224,38224,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair6,P,-0.25,-0.125,61501,61501,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair6,Q,0.5,-0.4375,61501,61501,285,683,707,309,0.1,1.7841416001319885
gemma-3-27b-it,C_p_imp_asc,0.05,r0.05,99,99,SAME-LESS,pair7,P,-0.5,0.125,16286,16286,285,683,707,309,0.1,1.7841416001319885
