layer,head,causal_imp
0,0,0.1125
0,1,0.1125
0,2,0.11458333333333333
0,3,0.12916666666666668
0,4,0.10625
0,5,0.11041666666666666
0,6,0.09583333333333334
0,7,0.1
0,8,0.09166666666666666
0,9,0.10833333333333334
0,10,0.10625
0,11,0.09791666666666667
0,12,0.09791666666666667
0,13,0.09583333333333334
0,14,0.11875
0,15,0.09791666666666667
0,16,0.09166666666666666
0,17,0.09375
0,18,0.09375
0,19,0.09791666666666667
0,20,0.10208333333333333
0,21,0.09583333333333334
0,22,0.10416666666666667
0,23,0.1
0,24,0.10416666666666667
0,25,0.09375
0,26,0.10416666666666667
0,27,0.10625
0,28,0.10416666666666667
0,29,0.08541666666666667
0,30,0.09375
0,31,0.08541666666666667
1,0,0.041666666666666664
1,1,0.06041666666666667
1,2,0.008333333333333333
1,3,0.016666666666666666
1,4,0.08541666666666667
1,5,0.08958333333333333
1,6,0.10833333333333334
1,7,0.08541666666666667
1,8,0.025
1,9,0.029166666666666667
1,10,0.11041666666666666
1,11,0.1
1,12,0.09791666666666667
1,13,0.11041666666666666
1,14,0.07916666666666666
1,15,0.10625
1,16,0.029166666666666667
1,17,0.041666666666666664
1,18,0.025
1,19,0.08958333333333333
1,20,0.09375
1,21,0.08958333333333333
1,22,0.020833333333333332
1,23,0.0125
1,24,0.09583333333333334
1,25,0.1
1,26,0.10625
1,27,0.11041666666666666
1,28,0.12083333333333333
1,29,0.10208333333333333
1,30,0.10208333333333333
1,31,0.08958333333333333
2,0,0.09583333333333334
2,1,0.08333333333333333
2,2,0.10416666666666667
2,3,0.09583333333333334
2,4,0.09166666666666666
2,5,0.10833333333333334
2,6,0.041666666666666664
2,7,0.041666666666666664
2,8,0.10625
2,9,0.10416666666666667
2,10,0.08541666666666667
2,11,0.11041666666666666
2,12,0.10208333333333333
2,13,0.1125
2,14,0.08125
2,15,0.08958333333333333
2,16,0.05
2,17,0.10208333333333333
2,18,0.09375
2,19,0.10833333333333334
2,20,0.04583333333333333
2,21,0.0625
2,22,0.0875
2,23,0.1125
2,24,0.09166666666666666
2,25,0.11041666666666666
2,26,0.09791666666666667
2,27,0.11041666666666666
2,28,0.10208333333333333
2,29,0.08333333333333333
2,30,0.12083333333333333
2,31,0.11458333333333333
3,0,0.004166666666666667
3,1,0.020833333333333332
3,2,0.008333333333333333
3,3,0.1125
3,4,0.004166666666666667
3,5,0.016666666666666666
3,6,0.11041666666666666
3,7,0.09375
3,8,0.0125
3,9,0.020833333333333332
3,10,0.11666666666666667
3,11,0.08541666666666667
3,12,0.016666666666666666
3,13,0.016666666666666666
3,14,0.016666666666666666
3,15,0.008333333333333333
3,16,0.025
3,17,0.025
3,18,0.03125
3,19,0.0875
3,20,0.025
3,21,0.008333333333333333
3,22,0.03333333333333333
3,23,0.03333333333333333
3,24,0.09166666666666666
3,25,0.03333333333333333
3,26,0.1125
3,27,0.1
3,28,0.025
3,29,0.0125
