model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair0,P,0.00583648681640625,-0.004001617431640625,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair0,Q,-0.0047206878662109375,0.016434669494628906,39733,39733
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair1,P,0.02151012420654297,0.014743804931640625,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair1,Q,-0.012984275817871094,0.03282737731933594,19157,19157
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair2,P,0.027112960815429688,0.005779266357421875,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair2,Q,0.01177978515625,0.017322540283203125,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair3,P,0.010530471801757812,-0.010822296142578125,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair3,Q,-0.013317108154296875,0.013623237609863281,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair4,P,0.04058265686035156,0.030905723571777344,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair4,Q,0.009800910949707031,0.05138683319091797,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair5,P,0.0059337615966796875,-0.011452674865722656,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair5,Q,-0.015594482421875,0.015555381774902344,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair6,P,0.02738666534423828,0.023075103759765625,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair6,Q,-0.0082855224609375,0.03839302062988281,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair7,P,0.0265655517578125,0.025603294372558594,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair7,Q,-0.01620197296142578,0.010145187377929688,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair8,P,0.01826000213623047,-0.0018520355224609375,581,581
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair8,Q,0.013222694396972656,0.03718280792236328,581,581
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair9,P,0.03718090057373047,0.03273963928222656,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-OPP,pair9,Q,0.0010194778442382812,0.03534126281738281,1928,1928
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair0,P,0.12742042541503906,0.10279655456542969,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair0,Q,-0.21265888214111328,0.10787200927734375,39733,39733
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair1,P,0.12869739532470703,0.03611946105957031,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair1,Q,-0.26400184631347656,0.009957313537597656,19157,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair2,P,0.0908823013305664,0.1073617935180664,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair2,Q,-0.2177896499633789,0.18330860137939453,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair3,P,0.09276294708251953,0.09302902221679688,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair3,Q,-0.2451791763305664,0.10162353515625,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair4,P,0.12578582763671875,0.169647216796875,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair4,Q,-0.21250343322753906,0.13135623931884766,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair5,P,0.11477375030517578,0.0685882568359375,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair5,Q,-0.2523212432861328,0.13870906829833984,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair6,P,0.16420364379882812,0.11369609832763672,27059,27059
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair6,Q,-0.23488998413085938,0.04055213928222656,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair7,P,0.06653499603271484,0.07041454315185547,632,632
gpt-j-6b-fp32,hihp_imp_desc,0.01,4,4,SAME-MORE,pair7,Q,-0.23987197875976562,0.05354022979736328,632,632
