layer,head,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed
0,0,SAME-OPP,pair0,P,-0.0001430511474609375,-5.817413330078125e-05
0,0,SAME-OPP,pair0,Q,-0.0001277923583984375,-0.0004911422729492188
0,0,SAME-OPP,pair1,P,-6.198883056640625e-05,-4.482269287109375e-05
0,0,SAME-OPP,pair1,Q,-0.00016021728515625,-0.0005016326904296875
0,0,SAME-OPP,pair2,P,-0.0004177093505859375,-0.00013256072998046875
0,0,SAME-OPP,pair2,Q,-0.0001773834228515625,-0.0005540847778320312
0,0,SAME-OPP,pair3,P,-0.00034427642822265625,0.00017070770263671875
0,0,SAME-OPP,pair3,Q,-0.00038814544677734375,-0.0006170272827148438
0,0,SAME-OPP,pair4,P,-0.0002593994140625,-0.0001850128173828125
0,0,SAME-OPP,pair4,Q,-0.00026988983154296875,-0.0006895065307617188
0,0,SAME-OPP,pair5,P,-0.000335693359375,1.33514404296875e-05
0,0,SAME-OPP,pair5,Q,-0.0003833770751953125,-0.0007419586181640625
0,0,SAME-OPP,pair6,P,-0.0002899169921875,-0.00014209747314453125
0,0,SAME-OPP,pair6,Q,-0.000247955322265625,-0.0005702972412109375
0,0,SAME-OPP,pair7,P,-0.0003643035888671875,-0.0001220703125
0,0,SAME-OPP,pair7,Q,-0.00020313262939453125,-0.00064849853515625
0,0,SAME-OPP,pair8,P,-0.00039005279541015625,-3.24249267578125e-05
0,0,SAME-OPP,pair8,Q,-0.00038433074951171875,-0.000759124755859375
0,0,SAME-OPP,pair9,P,-0.0003814697265625,-0.0002498626708984375
0,0,SAME-OPP,pair9,Q,-0.000270843505859375,-0.0005025863647460938
0,0,SAME-MORE,pair0,P,-0.00029468536376953125,-0.0013427734375
0,0,SAME-MORE,pair0,Q,0.0010004043579101562,-0.0016536712646484375
0,0,SAME-MORE,pair1,P,-0.0008525848388671875,-0.0007228851318359375
0,0,SAME-MORE,pair1,Q,-0.000911712646484375,-0.0019159317016601562
0,0,SAME-MORE,pair2,P,-0.0009927749633789062,0.0010366439819335938
0,0,SAME-MORE,pair2,Q,3.814697265625e-06,-0.0009746551513671875
0,0,SAME-MORE,pair3,P,-2.002716064453125e-05,0.00039577484130859375
0,0,SAME-MORE,pair3,Q,-0.0002269744873046875,-0.0001010894775390625
0,0,SAME-MORE,pair4,P,-0.0011129379272460938,-0.0005884170532226562
0,0,SAME-MORE,pair4,Q,-0.00017833709716796875,-0.0025014877319335938
0,0,SAME-MORE,pair5,P,0.0002155303955078125,0.0005645751953125
0,0,SAME-MORE,pair5,Q,-0.00015926361083984375,-0.0008869171142578125
0,0,SAME-MORE,pair6,P,-0.0012845993041992188,0.000331878662109375
0,0,SAME-MORE,pair6,Q,-0.0006723403930664062,-9.918212890625e-05
0,0,SAME-MORE,pair7,P,-0.0009336471557617188,0.00016498565673828125
0,0,SAME-MORE,pair7,Q,-0.0005960464477539062,-0.000835418701171875
0,0,SAME-MORE,pair8,P,-0.0010595321655273438,-0.0010156631469726562
0,0,SAME-MORE,pair8,Q,-0.0016393661499023438,-0.0017242431640625
0,0,SAME-MORE,pair9,P,-0.0008668899536132812,-0.00012493133544921875
0,0,SAME-MORE,pair9,Q,-0.0010690689086914062,-0.0007915496826171875
0,0,SAME-LESS,pair0,P,-0.00027751922607421875,0.005709648132324219
0,0,SAME-LESS,pair0,Q,0.00104522705078125,0.0043201446533203125
0,0,SAME-LESS,pair1,P,-0.0007581710815429688,0.0019578933715820312
0,0,SAME-LESS,pair1,Q,-0.000858306884765625,0.00014400482177734375
0,0,SAME-LESS,pair2,P,-0.0009431838989257812,0.002910137176513672
0,0,SAME-LESS,pair2,Q,2.193450927734375e-05,0.0026559829711914062
0,0,SAME-LESS,pair3,P,-5.245208740234375e-05,0.0020799636840820312
0,0,SAME-LESS,pair3,Q,-0.00025272369384765625,0.001461029052734375
0,0,SAME-LESS,pair4,P,-0.0010271072387695312,-5.7220458984375e-05
0,0,SAME-LESS,pair4,Q,-8.296966552734375e-05,-0.0023040771484375
0,0,SAME-LESS,pair5,P,0.000217437744140625,0.0016260147094726562
0,0,SAME-LESS,pair5,Q,-0.00019550323486328125,0.00021076202392578125
0,0,SAME-LESS,pair6,P,-0.0011692047119140625,0.0029039382934570312
0,0,SAME-LESS,pair6,Q,-0.0005893707275390625,0.0027256011962890625
0,0,SAME-LESS,pair7,P,-0.0008935928344726562,0.0022077560424804688
0,0,SAME-LESS,pair7,Q,-0.0005502700805664062,0.0012903213500976562
0,0,SAME-LESS,pair8,P,-0.0009355545043945312,0.0021724700927734375
0,0,SAME-LESS,pair8,Q,-0.0015850067138671875,0.000469207763671875
0,0,SAME-LESS,pair9,P,-0.0008087158203125,0.0010166168212890625
0,0,SAME-LESS,pair9,Q,-0.0009965896606445312,0.00027370452880859375
0,0,OPP-MORE,pair0,P,0.0009031295776367188,-0.0005664825439453125
0,0,OPP-MORE,pair0,Q,-0.00011444091796875,-0.0013914108276367188
0,0,OPP-MORE,pair1,P,-0.0001010894775390625,-0.00035858154296875
0,0,OPP-MORE,pair1,Q,-0.0007953643798828125,-0.001697540283203125
0,0,OPP-MORE,pair2,P,-0.0006551742553710938,0.0011701583862304688
0,0,OPP-MORE,pair2,Q,-0.000118255615234375,-0.0008192062377929688
0,0,OPP-MORE,pair3,P,0.0006551742553710938,0.0005254745483398438
0,0,OPP-MORE,pair3,Q,-0.00029850006103515625,3.719329833984375e-05
0,0,OPP-MORE,pair4,P,3.719329833984375e-05,-0.00029277801513671875
0,0,OPP-MORE,pair4,Q,-0.0005064010620117188,-0.0017948150634765625
0,0,OPP-MORE,pair5,P,0.00032138824462890625,0.00014209747314453125
0,0,OPP-MORE,pair5,Q,6.866455078125e-05,-0.0011720657348632812
0,0,OPP-MORE,pair6,P,-0.00045108795166015625,0.00031375885009765625
0,0,OPP-MORE,pair6,Q,-0.0013990402221679688,-0.00011920928955078125
0,0,OPP-MORE,pair7,P,-4.9591064453125e-05,0.000316619873046875
0,0,OPP-MORE,pair7,Q,-0.00080108642578125,-0.0006456375122070312
0,0,OPP-MORE,pair8,P,-0.0003566741943359375,-0.0010232925415039062
0,0,OPP-MORE,pair8,Q,-0.001529693603515625,-0.0018930435180664062
0,0,OPP-MORE,pair9,P,-0.0005645751953125,3.528594970703125e-05
0,0,OPP-MORE,pair9,Q,-0.001224517822265625,-0.0004949569702148438
0,0,OPP-LESS,pair0,P,0.0009355545043945312,0.005789756774902344
0,0,OPP-LESS,pair0,Q,-9.34600830078125e-05,0.0044193267822265625
0,0,OPP-LESS,pair1,P,-7.62939453125e-06,0.0016298294067382812
0,0,OPP-LESS,pair1,Q,-0.0006275177001953125,0.0001430511474609375
0,0,OPP-LESS,pair2,P,-0.0005578994750976562,0.003154277801513672
0,0,OPP-LESS,pair2,Q,-7.62939453125e-06,0.00366973876953125
0,0,OPP-LESS,pair3,P,0.000637054443359375,0.0022249221801757812
0,0,OPP-LESS,pair3,Q,-0.00027751922607421875,0.001499176025390625
0,0,OPP-LESS,pair4,P,0.0001697540283203125,-0.00026798248291015625
0,0,OPP-LESS,pair4,Q,-0.00025844573974609375,-0.0019197463989257812
0,0,OPP-LESS,pair5,P,0.00032329559326171875,0.0014324188232421875
0,0,OPP-LESS,pair5,Q,9.632110595703125e-05,0.0002117156982421875
0,0,OPP-LESS,pair6,P,-0.000354766845703125,0.002292633056640625
0,0,OPP-LESS,pair6,Q,-0.0012407302856445312,0.0030813217163085938
0,0,OPP-LESS,pair7,P,3.24249267578125e-05,0.0021820068359375
0,0,OPP-LESS,pair7,Q,-0.000698089599609375,0.0013294219970703125
0,0,OPP-LESS,pair8,P,-0.0002307891845703125,0.0020275115966796875
0,0,OPP-LESS,pair8,Q,-0.001373291015625,0.00049591064453125
0,0,OPP-LESS,pair9,P,-0.0005464553833007812,0.00109100341796875
0,0,OPP-LESS,pair9,Q,-0.00110626220703125,0.0007276535034179688
0,0,MORE-LESS,pair0,P,1.049041748046875e-05,1.33514404296875e-05
0,0,MORE-LESS,pair0,Q,6.67572021484375e-06,1.621246337890625e-05
0,0,MORE-LESS,pair1,P,9.1552734375e-05,5.53131103515625e-05
0,0,MORE-LESS,pair1,Q,7.82012939453125e-05,5.626678466796875e-05
0,0,MORE-LESS,pair2,P,0.0,2.765655517578125e-05
0,0,MORE-LESS,pair2,Q,2.384185791015625e-05,2.574920654296875e-05
0,0,MORE-LESS,pair3,P,1.239776611328125e-05,2.765655517578125e-05
0,0,MORE-LESS,pair3,Q,2.6702880859375e-05,1.9073486328125e-06
0,0,MORE-LESS,pair4,P,2.86102294921875e-05,7.915496826171875e-05
0,0,MORE-LESS,pair4,Q,7.05718994140625e-05,0.000110626220703125
0,0,MORE-LESS,pair5,P,5.245208740234375e-05,1.430511474609375e-05
0,0,MORE-LESS,pair5,Q,6.866455078125e-05,3.0517578125e-05
0,0,MORE-LESS,pair6,P,2.86102294921875e-05,7.915496826171875e-05
0,0,MORE-LESS,pair6,Q,3.814697265625e-05,7.05718994140625e-05
0,0,MORE-LESS,pair7,P,6.103515625e-05,8.58306884765625e-05
0,0,MORE-LESS,pair7,Q,7.43865966796875e-05,9.250640869140625e-05
0,0,MORE-LESS,pair8,P,4.100799560546875e-05,4.673004150390625e-05
0,0,MORE-LESS,pair8,Q,5.626678466796875e-05,3.528594970703125e-05
0,0,MORE-LESS,pair9,P,1.239776611328125e-05,0.00012874603271484375
0,0,MORE-LESS,pair9,Q,1.430511474609375e-05,7.343292236328125e-05
0,1,SAME-OPP,pair0,P,-1.1444091796875e-05,-1.239776611328125e-05
0,1,SAME-OPP,pair0,Q,3.814697265625e-06,7.152557373046875e-05
0,1,SAME-OPP,pair1,P,-2.86102294921875e-05,-6.103515625e-05
0,1,SAME-OPP,pair1,Q,-0.0001068115234375,-0.00010776519775390625
0,1,SAME-OPP,pair2,P,-2.288818359375e-05,-4.57763671875e-05
0,1,SAME-OPP,pair2,Q,-0.00011348724365234375,-1.9073486328125e-05
0,1,SAME-OPP,pair3,P,-6.961822509765625e-05,-0.0001506805419921875
0,1,SAME-OPP,pair3,Q,-0.00015163421630859375,-0.0001201629638671875
0,1,SAME-OPP,pair4,P,-4.291534423828125e-05,-0.00010395050048828125
0,1,SAME-OPP,pair4,Q,-0.0001354217529296875,-9.5367431640625e-05
0,1,SAME-OPP,pair5,P,-0.000133514404296875,-8.678436279296875e-05
0,1,SAME-OPP,pair5,Q,-0.000179290771484375,-0.000179290771484375
0,1,SAME-OPP,pair6,P,-9.059906005859375e-05,-0.0001049041748046875
0,1,SAME-OPP,pair6,Q,-0.00011730194091796875,-9.5367431640625e-05
0,1,SAME-OPP,pair7,P,-4.291534423828125e-05,-0.0001659393310546875
0,1,SAME-OPP,pair7,Q,-5.7220458984375e-05,3.719329833984375e-05
0,1,SAME-OPP,pair8,P,-0.000148773193359375,-0.0001010894775390625
0,1,SAME-OPP,pair8,Q,-6.103515625e-05,-0.00012683868408203125
0,1,SAME-OPP,pair9,P,-3.528594970703125e-05,-0.00011730194091796875
0,1,SAME-OPP,pair9,Q,-5.245208740234375e-05,4.291534423828125e-05
0,1,SAME-MORE,pair0,P,0.0006456375122070312,0.000949859619140625
0,1,SAME-MORE,pair0,Q,0.0008268356323242188,0.001583099365234375
