group,ratio,n_trials,n_valid,accuracy_clean,accuracy_patched,accuracy_degradation,flip_rate,target_logit_delta_mean,source_logit_delta_mean
C_imp_asc,0.05,120,120,0.025,0.025,0.0,0.175,0.02494223912556966,0.4102241277694702
C_imp_asc,0.1,120,120,0.025,0.025,0.0,0.375,-0.41851190725962323,0.9056466976801555
C_imp_asc,0.2,120,120,0.025,0.016666666666666666,0.008333333333333335,0.6416666666666667,-2.544982824722926,1.4427532037099202
C_imp_asc,0.3,120,120,0.025,0.016666666666666666,0.008333333333333335,0.65,-2.532483853896459,1.4530572652816773
C_imp_asc,0.5,120,120,0.025,0.016666666666666666,0.008333333333333335,0.65,-2.532483853896459,1.4530572652816773
D_imp_asc,0.05,120,120,0.025,0.025,0.0,0.0,0.00648505687713623,-0.009176512559254965
D_imp_asc,0.1,120,120,0.025,0.025,0.0,0.0,0.012356932957967122,0.005615107218424479
D_imp_asc,0.2,120,120,0.025,0.025,0.0,0.0,0.02870956261952718,0.016217354933420816
D_imp_asc,0.3,120,120,0.025,0.025,0.0,0.016666666666666666,0.039989868799845375,0.026156290372212728
D_imp_asc,0.5,120,120,0.025,0.025,0.0,0.016666666666666666,0.039989868799845375,0.026156290372212728
hihp_imp_desc,0.05,120,120,0.025,0.025,0.0,0.1,0.05709970792134603,-0.12048308849334717
hihp_imp_desc,0.1,120,120,0.025,0.016666666666666666,0.008333333333333335,0.1,-0.0409696896870931,0.07739630937576295
hihp_imp_desc,0.2,120,120,0.025,0.008333333333333333,0.01666666666666667,0.5583333333333333,-1.1171249548594158,0.6858192602793376
hihp_imp_desc,0.3,120,120,0.025,0.008333333333333333,0.01666666666666667,0.6166666666666667,-1.3532075961430867,0.3126445213953654
hihp_imp_desc,0.5,120,120,0.025,0.008333333333333333,0.01666666666666667,0.6166666666666667,-1.3532075961430867,0.3126445213953654
hilp_imp_desc,0.05,120,120,0.025,0.025,0.0,0.025,0.0014132420221964518,0.004391721884409587
hilp_imp_desc,0.1,120,120,0.025,0.025,0.0,0.025,-0.020980072021484376,0.004289952913920084
hilp_imp_desc,0.2,120,120,0.025,0.025,0.0,0.075,0.009833669662475586,0.02428092956542969
hilp_imp_desc,0.3,120,120,0.025,0.025,0.0,0.08333333333333333,0.008553345998128256,0.02361984650293986
hilp_imp_desc,0.5,120,120,0.025,0.025,0.0,0.08333333333333333,0.008553345998128256,0.02361984650293986
