group,ratio,n_trials,flip_rate_normalized
hihp_imp_desc,0.05,120,0.0833
hihp_imp_desc,0.1,120,0.05
hihp_imp_desc,0.2,120,0.5
hihp_imp_desc,0.3,120,0.55
hihp_imp_desc,0.5,120,0.55
hilp_imp_desc,0.05,120,0.0
hilp_imp_desc,0.1,120,0.0
hilp_imp_desc,0.2,120,0.0333
hilp_imp_desc,0.3,120,0.0417
hilp_imp_desc,0.5,120,0.0417
C_imp_asc,0.05,120,0.1333
C_imp_asc,0.1,120,0.3667
C_imp_asc,0.2,120,0.5833
C_imp_asc,0.3,120,0.6
C_imp_asc,0.5,120,0.6
D_imp_asc,0.05,120,0.0
D_imp_asc,0.1,120,0.0
D_imp_asc,0.2,120,0.0
D_imp_asc,0.3,120,0.0167
D_imp_asc,0.5,120,0.0167
