model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
gpt-j-6b-fp32,43,hihp_imp_desc,0.01,5,5,0.0889258801937103,0.0812902450561523,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.03,14,14,0.0758065541585286,0.0586214065551757,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.05,23,23,0.0838870545228322,0.0609912872314453,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.07,32,32,0.1075335840384165,0.0843939781188964,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.1,45,45,0.1423153817653656,0.1069416999816894,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.12,54,54,0.1602025141318639,0.112645149230957,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.15,68,68,0.167826560139656,0.1193857192993164,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.196429,89,89,0.269174912571907,0.1812758445739746,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.2,90,90,0.2694206655025482,0.183755874633789,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.3,135,135,0.3071332057317098,0.2009649276733398,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_desc,0.5,224,136,0.3086376309394836,0.203895092010498,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.01,5,5,0.3054473678270976,0.2101955413818359,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.03,14,14,0.3711193273464838,0.2739005088806152,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.05,23,23,0.455370169878006,0.3508143424987793,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.07,32,32,0.4490607758363088,0.3449306488037109,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.1,45,45,0.3714627911647161,0.2423591613769531,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.12,54,54,0.2987194538116455,0.2107596397399902,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.15,68,68,0.2740191330512365,0.1831312179565429,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.196429,89,89,0.2646980702877045,0.1624860763549804,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.2,90,90,0.2659447948137919,0.1587476730346679,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.3,135,135,0.3074649006128311,0.205571174621582,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hihp_imp_asc,0.5,224,136,0.3086376309394836,0.203895092010498,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.01,5,5,0.0153452545404434,0.0113768577575683,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.03,14,14,0.0230365435282389,0.0168776512145996,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.05,23,23,0.0273087471723556,0.0222225189208984,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.07,32,32,0.0357962449391683,0.0270113945007324,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.1,45,45,0.041424681742986,0.0321803092956543,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.12,54,54,0.0422972699006398,0.0343103408813476,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.15,68,68,0.0432367006937662,0.0341644287109375,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.196429,89,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.2,90,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.3,135,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_desc,0.5,224,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.01,5,5,0.0078132142623265,0.0054202079772949,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.03,14,14,0.0108595967292785,0.0076456069946289,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.05,23,23,0.0143103669087092,0.0102243423461914,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.07,32,32,0.0143619954586029,0.0090575218200683,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.1,45,45,0.0176439106464386,0.0113577842712402,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.12,54,54,0.0269790560007095,0.0170698165893554,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.15,68,68,0.0323426415522893,0.0244202613830566,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.196429,89,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.2,90,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.3,135,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,hilp_imp_asc,0.5,224,88,0.0445985158284505,0.0343427658081054,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.01,5,5,0.0728587061166763,0.0388240814208984,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.03,14,14,0.1416578988234202,0.0693249702453613,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.05,23,23,0.2691123872995377,0.1339926719665527,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.07,32,32,0.4969660232464472,0.3343133926391601,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.1,45,45,0.7136229465405146,0.4480509757995605,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.12,54,54,0.8849973867336909,0.6154828071594238,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.15,68,68,0.9991283476352693,0.6731667518615723,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.196429,89,88,1.2678397630651792,0.9040584564208984,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.2,90,88,1.2678397630651792,0.9040584564208984,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.3,135,88,1.2678397630651792,0.9040584564208984,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,C_imp_asc,0.5,224,88,1.2678397630651792,0.9040584564208984,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.01,5,5,0.0150657564401626,0.0064077377319335,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.03,14,14,0.0201876759529113,0.0100460052490234,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.05,23,23,0.0251970877250035,0.0143799781799316,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.07,32,32,0.0250149210294087,0.0132308006286621,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.1,45,45,0.0254522224267323,0.0143260955810546,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.12,54,54,0.0272224833567937,0.0157828330993652,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.15,68,68,0.0269233067830403,0.0155482292175292,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.196429,89,89,0.0297229518493016,0.0190691947937011,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.2,90,90,0.0298220266898473,0.0187654495239257,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.3,135,135,0.0328870067993799,0.0216517448425292,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,D_imp_asc,0.5,224,136,0.0331895967324574,0.0223913192749023,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.01,5,5,0.0011421650648117,0.0006866455078125,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.03,14,14,0.0051344583431879,0.002638816833496,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.05,23,23,0.0080691039562225,0.004500389099121,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.07,32,32,0.0151310493548711,0.0077848434448242,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.1,45,45,0.0195397118727366,0.0101404190063476,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.12,54,54,0.038611689209938,0.0182418823242187,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.15,68,68,0.1243274529774983,0.0780658721923828,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.196429,89,89,0.1616034875313441,0.0846991539001464,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.2,90,90,0.1613344987233479,0.0840029716491699,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.3,135,135,0.5477801769971847,0.363410472869873,960,20,80,136,88,88,136
gpt-j-6b-fp32,43,diag_rank_asc,0.5,224,224,1.2838733807206153,0.8633980751037598,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.01,5,5,0.0890920281410217,0.081641674041748,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.03,14,14,0.0926548024018605,0.0648555755615234,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.05,23,23,0.0952182004849116,0.0688982009887695,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.07,32,32,0.1170170873403549,0.0908617973327636,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.1,45,45,0.1592977076768875,0.1138296127319336,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.12,54,54,0.1825026839971542,0.1321067810058593,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.15,68,68,0.1437254289786021,0.1062040328979492,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.196429,89,89,0.3298039664824804,0.2388229370117187,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.2,90,90,0.3238879442214966,0.2389287948608398,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.3,135,135,0.30710469186306,0.2062234878540039,960,20,80,136,88,88,136
gpt-j-6b-fp32,44,hihp_imp_desc,0.5,224,136,0.3055655479431152,0.2083415985107422,960,20,80,136,88,88,136
