pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,melverfor,velgrerun,7758,11555,mel,vel,3,3,0.20789861679077148
pair1,soldoprout,bulgrusom,2702,4807,sold,bul,4,4,0.4853060841560364
pair2,lurziflein,nourormoum,20605,31219,lur,nour,4,4,0.1395261585712433
pair3,nosrilrait,firgresdin,43630,37979,nos,fir,3,3,0.14091694355010986
pair4,prinbrimot,graigorpoul,6059,7933,prin,gra,4,4,0.002779632806777954
pair5,pairdainpem,natrougris,5166,34664,pair,nat,4,4,0.2959742546081543
pair6,treinkispir,finprilna,2054,957,tre,fin,4,4,0.1407170295715332
pair7,speivanlail,grafeplut,693,7933,spe,gra,4,4,0.1613951027393341
pair8,fairtrelfir,mispalkei,3148,2984,fair,mis,4,4,0.12285327911376953
pair9,brervirslot,traflilrat,1449,1291,bre,tra,4,4,0.2809793949127197
pair10,bonzertrou,welkobok,5351,5029,bon,wel,4,4,0.09661412239074707
pair11,disflolsla,restresnein,595,1334,dis,rest,4,4,0.262556791305542
pair12,plusvasnaik,waitrasflal,5556,4043,plus,wait,4,4,0.11096382141113281
pair13,tetraisun,pulzounkok,28408,17472,tet,pul,4,4,0.14111089706420898
pair14,sporgrillut,flourmardat,35810,10601,spor,flour,4,4,0.40433043241500854
pair15,molprirmus,dilgrotrik,18605,11844,mol,dil,4,4,0.04211258888244629
pair16,gonlikit,lolbitril,35140,19462,gon,lol,3,3,0.28623104095458984
pair17,stunvesflou,bisnasgrur,7991,47457,stun,bis,4,4,0.4211406707763672
pair18,turrelspim,mirtrutren,7858,5720,tur,mir,4,4,0.3377339839935303
pair19,breinulde,dirwesmur,1449,26672,bre,dir,4,4,0.2183976173400879
pair20,sageinmol,dingaltus,35021,44852,sage,ding,3,3,0.4160140920430422
pair21,malvunleis,brelwukrous,6428,1449,mal,bre,5,5,0.1638559103012085
pair22,vonvosgrim,denzouflu,18042,2853,von,den,4,4,0.025219440460205078
pair23,forbrenpler,solmesvin,11747,1540,forb,sol,3,3,0.33492279052734375
pair24,desbasbrit,traistorzal,748,1291,des,tra,4,4,0.1966252326965332
pair25,nounspospar,regraistol,23227,842,noun,reg,4,4,0.46390604972839355
pair26,gunpreirmek,touvainkun,2485,2819,gun,tou,4,4,0.22469110786914825
