model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair0,P,-0.020987510681152344,-0.010837554931640625,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair0,Q,0.005555152893066406,0.0017995834350585938,39733,39733,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair1,P,-0.011827468872070312,0.0041828155517578125,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair1,Q,-0.004448890686035156,-0.00089263916015625,19157,19157,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair2,P,-0.044647216796875,-0.012254714965820312,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair2,Q,-0.01640033721923828,-0.013507843017578125,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair3,P,-0.020816802978515625,0.001232147216796875,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair3,Q,-0.018346786499023438,-0.017319679260253906,5930,5930,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair4,P,-0.02130126953125,-0.016378402709960938,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair4,Q,-0.005467414855957031,-0.011584281921386719,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair5,P,-0.022794723510742188,0.0013895034790039062,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair5,Q,-0.0062198638916015625,-0.0031270980834960938,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair6,P,-0.015278816223144531,-0.010012626647949219,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair6,Q,0.006630897521972656,-0.004489898681640625,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair7,P,-0.049445152282714844,-0.012189865112304688,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair7,Q,-0.00168609619140625,-0.0027132034301757812,632,632,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair8,P,0.000591278076171875,-0.0047740936279296875,1874,1874,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair8,Q,0.000690460205078125,0.0061283111572265625,1874,1874,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair9,P,-0.03250408172607422,-0.003238677978515625,27059,27059,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-OPP,pair9,Q,0.001399993896484375,-0.0062541961669921875,23663,23663,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair0,P,-0.027631759643554688,0.20836544036865234,10255,10255,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair0,Q,0.019293785095214844,0.08272695541381836,10255,10255,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair1,P,0.045001983642578125,0.10914802551269531,18605,18605,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair1,Q,0.05958747863769531,0.07974052429199219,18605,18605,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair2,P,0.07375240325927734,0.12897253036499023,8038,8038,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair2,Q,0.00386810302734375,-0.017583370208740234,8038,8038,26,198,198,26,0.00791823466618851,1.0258870124816895
gpt-j-6b-fp32,C_p_imp_asc,0.05,r0.05,22,22,SAME-MORE,pair3,P,0.07995891571044922,0.15589141845703125,1234,1234,26,198,198,26,0.00791823466618851,1.0258870124816895
