layer,head,causal_imp
0,0,0.000452287991841604
0,1,0.0005763133366902319
0,2,0.004312952359517374
0,3,0.0007102171579996406
0,4,0.001127505302429162
0,5,0.0033885558446247895
0,6,0.0005723555882771451
0,7,0.00113530953725176
0,8,0.0033771673838297062
0,9,0.001704343159993446
0,10,0.0012278000513712148
0,11,0.004035862286885532
0,12,0.0023052771886189296
0,13,0.00038916269938147713
0,14,0.0016630093256632002
0,15,0.0009347597757974868
1,0,0.0011629978815713992
1,1,0.004116233189900673
1,2,0.0014178673426309778
1,3,0.003133193651835079
1,4,0.001953752835591592
1,5,0.0030894120534260597
1,6,0.004129584630330359
1,7,0.0017443418502807162
1,8,0.0019589344660440617
1,9,0.00146560668945308
1,10,0.001814802487691201
1,11,0.0020043293635049974
1,12,0.001869360605875611
1,13,0.0044213930765787295
1,14,0.004122527440388954
1,15,0.0016165256500243702
2,0,0.008320728937784778
2,1,0.0017899672190347868
2,2,0.0018667459487914605
2,3,0.008671633402506465
2,4,0.0033338387807209857
2,5,0.0015927553176879464
2,6,0.004787166913350383
2,7,0.0015828927357991129
2,8,0.0019747336705525282
2,9,0.0037894010543822764
2,10,0.005469671885172486
2,11,0.0013173500696817579
2,12,0.0018297592798868366
2,13,0.004918988545735634
2,14,0.0020434061686197503
2,15,0.0018030961354573083
3,0,0.0068235635757445835
3,1,0.003829169273376418
3,2,0.0025861422220865423
3,3,0.003507637977600053
3,4,0.0033442417780557795
3,5,0.0029981772104898654
3,6,0.021926609675089477
3,7,0.0036970535914102745
3,8,0.0017065445582071452
3,9,0.0005208094914753903
3,10,0.003759614626566522
3,11,0.03029731909433996
3,12,0.002079542477925574
3,13,0.047689874966939244
3,14,0.005640713373819938
3,15,0.006467032432556103
4,0,0.00170060793558753
4,1,0.0012857993443806525
4,2,0.006434408823649049
4,3,0.020735740661621045
4,4,0.006475472450256303
4,5,0.0016910235087076433
4,6,0.009131566683451286
4,7,0.007159463564554808
4,8,0.004464793205261181
4,9,0.0026991685231526224
4,10,0.002145147323608357
4,11,0.0033997535705565973
4,12,0.002638610204060835
4,13,0.0035685936609903515
4,14,0.03975169658660884
4,15,0.00402097702026363
5,0,0.0075351158777872285
5,1,0.021108420689900674
5,2,0.009497189521789509
5,3,0.0008973280588785328
5,4,0.00440537929534907
5,5,0.0067369620005289215
5,6,0.011246267954508421
5,7,0.004558213551839148
5,8,0.0012295802434285077
5,9,0.006477522850036576
5,10,0.0027063528696695495
5,11,0.006618452072143505
5,12,0.006788245836893674
5,13,0.002567370732625278
5,14,0.015299352010091099
5,15,0.00933190186818436
6,0,0.004208358128865514
6,1,0.006143355369567827
6,2,0.00715525945027665
6,3,0.009272114435831659
6,4,0.0059294859568277515
6,5,0.031042242050170855
6,6,0.01552497545878088
6,7,0.00039598147074377496
6,8,0.015074523289998327
6,9,0.00455400943756099
6,10,0.006293280919392861
6,11,0.009800140062967892
6,12,0.014768187204996699
6,13,0.0018325169881184494
6,14,0.005210900306701618
6,15,0.014403851826985632
7,0,0.023862814903259224
7,1,0.014465832710266071
7,2,0.005657013257344517
7,3,0.002585625648498492
7,4,0.002641892433166461
7,5,0.008718450864156046
7,6,0.0016674995422362815
7,7,0.0019469340642292849
7,8,0.01488209565480546
7,9,0.013228575388590447
7,10,0.009657557805379182
7,11,0.003257139523824006
7,12,0.007232006390889437
7,13,0.0021566311518350775
7,14,0.021065974235534624
7,15,0.006714216868082634
8,0,0.006188408533732046
8,1,0.005986372629801387
8,2,0.025716463724772085
8,3,0.01869806448618566
8,4,0.012034201622009228
8,5,0.04086130460103348
8,6,0.005790980656941688
8,7,0.0163508812586466
8,8,0.0062998612721760616
8,9,0.013674600919087683
8,10,0.0042692184448241705
8,11,0.010982497533162392
8,12,0.010090637207031206
8,13,0.008874932924906369
8,14,0.010071603457132929
8,15,0.01611747741699214
9,0,0.021896266937255812
9,1,0.025960826873779253
9,2,0.03905092080434159
9,3,0.012018783887227331
9,4,0.020781882603963166
9,5,0.0168995062510172
9,6,0.010528675715128534
9,7,0.020672567685445103
9,8,0.006392161051432243
9,9,0.005967299143473264
9,10,0.050146293640136674
9,11,0.10496018727620439
9,12,0.00815935134887691
9,13,0.04289471308390295
9,14,0.011289882659912067
9,15,0.0032108545303344243
10,0,0.010291091601053825
10,1,0.039779202143351185
10,2,0.008011889457702598
10,3,0.02735079924265539
10,4,0.007042344411214147
10,5,0.02452616691589351
10,6,0.03644400437672928
10,7,0.010230882962544714
10,8,0.006755463282267205
10,9,0.009200453758239701
10,10,0.0029862880706786705
10,11,0.029609457651774047
10,12,0.01871027151743566
10,13,0.001565384864807085
10,14,0.021077211697896274
10,15,0.005759191513061473
11,0,0.038422131538391066
11,1,0.037338789304097446
11,2,0.008262117703755647
11,3,0.021942273775736442
11,4,0.018312112490336055
11,5,0.0071340958277384
11,6,0.019816493988037066
11,7,0.017822798093159946
11,8,0.023323297500610306
11,9,0.032168976465860956
11,10,0.03014310995737707
11,11,0.03433498541514073
11,12,0.022012948989868115
11,13,0.03716131051381424
11,14,0.036460510889689074
11,15,0.010793272654215452
12,0,0.006617363293965611
12,1,0.02290864785512284
12,2,0.2363227605819702
12,3,0.003644927342732708
12,4,0.025770521163940383
12,5,0.044710763295491486
12,6,0.02483105659484858
12,7,0.004417808850606235
12,8,0.011894933382670036
12,9,0.023434686660766552
12,10,0.004655043284098265
12,11,0.01320598125457759
12,12,0.005919313430786087
12,13,0.05619264443715409
12,14,0.026262942949930777
12,15,0.008383766810099237
13,0,0.008835824330647741
13,1,0.008564416567484488
13,2,0.18441461722056068
13,3,0.004662330945332801
13,4,0.016190441449483187
13,5,0.01373417377471919
13,6,0.00821570555369055
13,7,0.02597866058349605
13,8,0.015912652015685994
13,9,0.004603179295857699
13,10,0.0678415695826212
13,11,0.02339268525441483
13,12,0.035312048594156854
13,13,0.1533533414204915
13,14,0.018855611483255975
13,15,0.0055590788523355635
14,0,0.10465072790781654
14,1,0.011841265360514273
14,2,0.03635582923889156
14,3,0.002752526601155554
14,4,0.009429160753885862
14,5,0.007966931660970004
14,6,0.10205960273742672
14,7,0.09032947222391761
14,8,0.010805384318033807
14,9,0.028327425320943157
14,10,0.0011620839436848548
14,11,0.013304964701334592
14,12,0.0034410794576008614
14,13,0.005717309315999306
14,14,0.0075231075286864785
14,15,0.008985193570454868
15,0,0.0071114857991536
15,1,0.013120802243550573
15,2,0.01712439060211177
15,3,0.010511954625447548
15,4,0.006224934260050408
15,5,0.04049937725067134
15,6,0.001958719889322875
15,7,0.10416874885559077
15,8,0.018806703885396275
15,9,0.07566278775533036
15,10,0.0015708684921264238
15,11,0.04106525580088293
15,12,0.0004021644592284765
15,13,0.012406309445699008
15,14,0.008436926205952914
15,15,0.022236680984497027
16,0,0.027321775754292763
16,1,0.0004883209864298116
16,2,0.015123033523559525
16,3,0.02470510005950923
16,4,0.005068771044413198
16,5,0.003374640146891226
16,6,0.013032499949137327
16,7,0.04651786486307775
16,8,0.005394339561462356
16,9,0.030558220545450803
16,10,0.006785726547241169
16,11,0.06451238791147865
16,12,0.1153004725774129
16,13,0.0030901829401651596
16,14,0.0718723615010579
16,15,0.004749496777852333
17,0,0.060609928766886347
17,1,0.0637292623519897
17,2,0.0047973712285359245
17,3,0.00610828399658198
17,4,0.005459149678548131
17,5,0.014045532544453891
17,6,0.0024682203928629073
17,7,0.008624275525410926
17,8,0.05659952958424882
17,9,0.02620349725087479
17,10,0.012961387634277295
17,11,0.011040353775024365
17,12,0.0022980054219563367
17,13,0.17704317569732664
17,14,0.010032669703165643
17,15,0.006303238868713334
18,0,0.012303153673807736
18,1,0.0010414282480875206
18,2,0.021008515357971148
18,3,0.019372598330179805
18,4,0.0322352011998494
18,5,0.0413355429967244
18,6,0.009178010622660267
18,7,0.005158583323160761
18,8,0.007184386253356891
18,9,0.09036950270334874
18,10,0.003983124097188272
18,11,0.018891318639119418
18,12,0.0016023635864257308
18,13,0.03659268220265702
18,14,0.015539789199829056
18,15,0.21565504074096678
19,0,0.010529335339864051
19,1,0.01606435775756831
19,2,0.005566652615865025
19,3,0.004059926668802853
19,4,0.0069385131200154155
19,5,0.005187805493672643
19,6,0.010025167465209915
19,7,0.009829839070637976
19,8,0.10163660844167069
19,9,0.08763323624928789
19,10,0.0016175587972004789
19,11,0.13504366079966224
19,12,0.02997383276621496
19,13,0.030092446009317993
19,14,0.003890832265218055
19,15,0.017011825243631953
20,0,0.5047519683837891
20,1,0.025937517484029084
20,2,0.006361571947733516
20,3,0.02194397449493403
20,4,0.0021307627360025567
20,5,0.01206881999969478
20,6,0.008237989743550573
20,7,0.013011328379313103
20,8,0.013256939252217565
20,9,0.014510774612426712
20,10,0.0021928866704304588
20,11,0.014631040891011509
20,12,0.005891569455464637
20,13,0.002100006739298451
20,14,0.020145543416341102
20,15,0.004885053634643508
21,0,0.0016686201095580612
21,1,0.004189387957255001
21,2,0.0214369138081868
21,3,0.0006077289581298451
21,4,0.029177157084147087
21,5,0.0247649510701497
21,6,0.1171410242716471
21,7,0.0010245005289713101
21,8,0.055455191930135046
21,9,0.0005632718404133751
21,10,0.008132354418436643
21,11,0.0005400180816650001
21,12,0.00983380476633703
21,13,0.058011166254679315
21,14,0.009234182039896602
21,15,0.02574556668599442
22,0,0.0002833525339762083
22,1,0.0005883375803629193
22,2,0.002130977312723754
22,3,0.0015139182408650286
22,4,0.008613538742065382
22,5,0.06589798927307125
22,6,0.006011223793029739
22,7,0.01499545574188228
22,8,0.00040578047434485225
22,9,0.07954032421112056
22,10,0.0014528910319009938
22,11,0.008212145169575965
22,12,0.0019173304239908408
22,13,0.004062215487162226
22,14,0.02036085128784175
22,15,0.0020481189091999894
23,0,0.00385680993398026
23,1,0.0193413654963175
23,2,0.009336813290913848
23,3,0.0021857500076293474
23,4,0.03742561340332027
23,5,0.0018690665562947116
23,6,0.002021892865498814
23,7,0.0189326683680216
23,8,0.04596405824025467
23,9,0.005411235491434687
23,10,0.03748851617177322
23,11,0.012410728136698357
23,12,0.0005871931711832293
23,13,0.08576033115386958
23,14,0.008799791336059523
23,15,0.05031211376190181
24,0,0.00799458821614579
24,1,0.005093121528625441
24,2,0.0038346131642659023
24,3,0.00426749388376867
24,4,0.0016095558802286343
24,5,0.0004804611206054302
24,6,0.05562256971995032
24,7,0.053500119845072386
24,8,0.014325094223022415
24,9,0.0015308618545531783
24,10,0.015486669540405226
24,11,0.01635333697001134
24,12,0.014077178637186643
24,13,0.010559590657552043
24,14,0.006044228871663364
24,15,0.012246839205423944
25,0,0.0003077030181884406
25,1,0.0024197419484455916
25,2,0.0013920386632283077
25,3,0.023501507441202753
25,4,0.0038848718007405154
25,5,0.001537187894185336
25,6,0.007869537671407018
25,7,0.00125542481740312
25,8,0.0038865248362222864
25,9,0.015872422854105585
25,10,0.0003228823343912371
25,11,0.022224609057108522
25,12,0.014125053087870236
25,13,0.04969119230906164
25,14,0.009167567888895624
25,15,0.0012695868810017532
26,0,0.006955393155415803
26,1,0.00037635962168372055
26,2,0.0007158597310383684
26,3,0.002273662885030065
26,4,0.0019396225611368403
26,5,0.00022385915120439406
26,6,0.0014575481414794513
26,7,0.0015156269073485949
26,8,0.013960536321004188
26,9,0.045394976933797154
26,10,0.011664557456970169
26,11,0.02794914245605464
26,12,0.003162797292073526
26,13,0.003956651687622024
26,14,0.1893827120463053
26,15,0.009834146499633748
27,0,0.0012058655420938743
27,1,0.0026276906331379746
27,2,0.0036296208699543794
27,3,0.021270426114400182
27,4,0.0009084939956664622
27,5,0.0507833083470662
27,6,0.0012274901072183762
27,7,0.015245024363199822
27,8,0.0005053838094075102
27,9,0.0034130732218424003
27,10,0.0005024671554565052
27,11,0.0022444168726602804
27,12,0.02102647622426346
27,13,0.006070176760355586
27,14,0.00477453867594397
27,15,0.0007025003433227147
