pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,molwainmom,linprarsun,22337,10006,mol,lin,4,4,0.40625
pair1,tunzordem,plelsposrun,11716,7245,tun,ple,4,4,0.15625
pair2,tregeilnel,dansoszeis,4353,7010,tre,dans,4,4,0.140625
pair3,zurvaspit,wonillam,17761,2834,zur,won,3,3,0.109375
pair4,gulroflek,lubuslok,91370,28445,gul,lub,3,3,0.125
pair5,tenlilfeir,poldeizout,5899,1499,ten,pol,4,4,0.1640625
pair6,dorsongom,plurpasnik,77389,60217,dors,plur,3,3,0.46875
pair7,douneindem,rainprugeim,25595,11422,dou,rain,4,4,0.234375
pair8,treitruprut,naskeisloun,4353,17580,tre,nas,4,4,0.4375
pair9,plelsasrait,merflouller,7245,4809,ple,mer,4,4,0.046875
