layer,head,cell,rsa_max,perturbation_L2,importance_quartile
0,0,D,0.2818331718444824,0.0005189740913920105,Q1
0,1,D,0.2582263946533203,0.0006057409918867052,Q1
0,2,D,0.4089323878288269,0.0005508956965059042,Q2
0,3,D,0.3312229812145233,0.002193658845499158,Q1
0,4,D,0.2845118045806885,0.00034985027741640806,Q1
0,5,D,0.2516714632511139,0.0009650920983403921,Q1
0,6,D,0.2919809818267822,0.0010868307435885072,Q1
0,7,D,0.2334173619747162,0.0008144195307977498,Q1
0,8,D,0.29011937975883484,0.0014752716524526477,Q1
0,9,D,0.08372640609741211,0.0025566061958670616,Q1
0,10,D,0.10460352897644043,0.003836502321064472,Q1
0,11,D,0.23791134357452393,0.003669433295726776,Q1
0,12,D,0.1015276163816452,0.0019282244611531496,Q1
0,13,D,0.1046932190656662,0.0034262167755514383,Q1
0,14,D,0.07506202161312103,0.0029843924567103386,Q1
0,15,D,0.15781480073928833,0.0027492400258779526,Q1
0,16,D,0.3133278489112854,0.0010401185136288404,Q1
0,17,D,0.38830873370170593,0.0010478449985384941,Q2
0,18,D,0.4351233243942261,0.00043592642759904265,Q2
0,19,D,0.31980788707733154,0.0015429137274622917,Q1
0,20,D,0.3554881811141968,0.0010941517539322376,Q2
0,21,D,0.1886010468006134,0.0009126228978857398,Q1
0,22,D,0.20835274457931519,0.0017524121794849634,Q1
0,23,D,0.3216247856616974,0.002762487158179283,Q1
0,24,D,0.4275818169116974,0.003998034633696079,Q2
0,25,D,0.14260613918304443,0.00265427865087986,Q1
0,26,D,0.17340657114982605,0.003322092117741704,Q1
0,27,D,0.06857658177614212,0.005550067871809006,Q1
0,28,D,0.2502019703388214,0.0014344113878905773,Q1
0,29,D,0.4296557307243347,0.0029617194086313248,Q2
0,30,D,0.2956152856349945,0.0014033634215593338,Q1
0,31,D,0.15582412481307983,0.0029251081869006157,Q1
0,32,D,0.49448341131210327,0.001228857901878655,Q2
0,33,D,0.2702194154262543,0.00012549007078632712,Q1
0,34,D,0.13404488563537598,0.003731939708814025,Q1
0,35,hilp,0.5108857154846191,0.002357998164370656,Q3
0,36,hilp,0.5061641931533813,0.0008062407723627985,Q3
0,37,D,0.010060235857963562,5.807940397062339e-06,Q1
0,38,D,0.4888210594654083,0.0018280798103660345,Q2
0,39,D,0.40528008341789246,0.0024169289972633123,Q2
0,40,D,0.13929566740989685,0.0007553387549705803,Q1
0,41,D,0.17844761908054352,0.00048811922897584736,Q1
0,42,D,0.21551305055618286,0.0008501274860464036,Q1
0,43,D,0.13425101339817047,0.0006012399098835886,Q1
0,44,D,0.1226060539484024,0.0010291582439094782,Q1
0,45,D,0.3065175414085388,0.0024403121788054705,Q1
0,46,D,0.07697030901908875,0.0009398679831065238,Q1
0,47,D,0.14358583092689514,0.000725544523447752,Q1
0,48,D,0.34114354848861694,0.0017694963607937098,Q2
0,49,D,0.31019890308380127,0.00020258623408153653,Q1
0,50,D,0.3735120892524719,0.0014278648886829615,Q2
0,51,D,0.30183732509613037,0.00038024477544240654,Q1
0,52,D,0.2747795879840851,0.0008639569277875125,Q1
0,53,D,0.22188812494277954,0.0007082016672939062,Q1
0,54,D,0.32445913553237915,0.00035153585486114025,Q1
0,55,D,0.3291417956352234,0.0007204669527709484,Q1
0,56,D,0.4129258990287781,0.000652908522170037,Q2
0,57,D,0.448883980512619,0.0011698862072080374,Q2
0,58,D,0.3473992347717285,0.0009393796208314598,Q2
0,59,D,0.25583553314208984,0.0022106573451310396,Q1
0,60,D,0.40059319138526917,0.0008607279742136598,Q2
0,61,D,0.40979981422424316,0.0013930195709690452,Q2
0,62,D,0.29347002506256104,0.0016048806719481945,Q1
0,63,D,0.3881588876247406,0.001113319187425077,Q2
1,0,D,0.25867605209350586,0.01008728425949812,Q1
1,1,D,0.17902716994285583,0.010241430252790451,Q1
1,2,D,0.09924189746379852,0.01854661852121353,Q1
1,3,D,0.15956923365592957,0.019504042342305183,Q1
1,4,D,0.46896225214004517,0.003272682661190629,Q2
1,5,D,0.23310533165931702,0.008880083449184895,Q1
1,6,D,0.2833673059940338,0.006401107180863619,Q1
1,7,D,0.16657012701034546,0.018838144838809967,Q1
1,8,D,0.09026215225458145,0.007404375355690718,Q1
