model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair0,P,-0.5,1.0625,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair0,Q,-0.125,0.75,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair1,P,-0.375,1.0625,47102,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair1,Q,-0.125,0.6875,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair2,P,-0.375,1.125,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair2,Q,-0.125,0.75,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair3,P,-0.5,1.0,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair3,Q,0.0,0.6875,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair4,P,-0.5,1.375,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair4,Q,0.0,0.8125,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair5,P,-0.25,1.125,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair5,Q,0.0,0.5625,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair6,P,-0.375,1.0625,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair6,Q,0.0,0.75,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair7,P,-0.375,1.1875,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair7,Q,-0.125,0.8125,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair8,P,-0.25,1.375,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair8,Q,-0.125,0.5625,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair9,P,-0.25,1.3125,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-OPP,pair9,Q,0.0,0.4375,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair0,P,-0.375,0.6875,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair0,Q,-0.25,0.3125,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair1,P,-0.375,0.5625,47102,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair1,Q,-0.375,0.0625,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair2,P,-0.375,0.6875,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair2,Q,-0.375,0.4375,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair3,P,-0.375,0.1875,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair3,Q,-0.125,0.1875,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair4,P,-0.375,1.25,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair4,Q,-0.375,0.625,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair5,P,-0.375,0.5,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair5,Q,-0.25,0.4375,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair6,P,-0.375,0.5625,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair6,Q,-0.25,0.4375,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair7,P,-0.25,1.0,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair7,Q,-0.25,0.6875,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair8,P,-0.375,0.25,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair8,Q,-0.375,0.4375,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair9,P,-0.25,0.3125,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-MORE,pair9,Q,-0.25,0.0,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair0,P,-0.375,0.625,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair0,Q,-0.375,0.125,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair1,P,-0.125,0.625,47102,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair1,Q,-0.375,-0.1875,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair2,P,-0.125,0.125,47102,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair2,Q,-0.375,-0.25,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair3,P,-0.125,-0.375,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair3,Q,-0.125,-0.5,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair4,P,-0.25,0.125,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair4,Q,-0.25,-0.5,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair5,P,-0.125,0.375,47102,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair5,Q,-0.25,-0.25,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair6,P,-0.25,0.375,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair6,Q,-0.25,-0.3125,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair7,P,-0.25,0.625,14265,14265
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair7,Q,-0.25,0.0625,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair8,P,-0.125,0.3125,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair8,Q,-0.375,-0.125,22872,22872
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair9,P,-0.125,-0.4375,47102,47102
llama-3.1-70b-instruct-4bit,hihp_imp_desc,0.01,51,51,SAME-LESS,pair9,Q,-0.125,-0.4375,22872,22872
