group,ratio,n_trials,n_valid,accuracy_clean,accuracy_patched,accuracy_degradation,flip_rate,target_logit_delta_mean,source_logit_delta_mean
C_imp_asc,0.05,120,120,0.55,0.39166666666666666,0.15833333333333338,0.15833333333333333,-0.9854166666666667,3.681770833333333
C_imp_asc,0.1,120,120,0.55,0.5,0.050000000000000044,0.5083333333333333,-1.6473958333333334,5.253125
C_imp_asc,0.2,120,120,0.55,0.0,0.55,0.9916666666666667,-4.629166666666666,6.552604166666667
C_imp_asc,0.3,120,120,0.55,0.0,0.55,0.9916666666666667,-4.629166666666666,6.552604166666667
C_imp_asc,0.5,120,120,0.55,0.0,0.55,0.9916666666666667,-4.629166666666666,6.552604166666667
D_imp_asc,0.05,120,120,0.55,0.5083333333333333,0.04166666666666674,0.041666666666666664,-0.014583333333333334,0.003125
D_imp_asc,0.1,120,120,0.55,0.525,0.025000000000000022,0.025,-0.009375,0.0125
D_imp_asc,0.2,120,120,0.55,0.5333333333333333,0.01666666666666672,0.016666666666666666,-0.009375,0.017447916666666667
D_imp_asc,0.3,120,120,0.55,0.525,0.025000000000000022,0.025,0.004166666666666667,0.03125
D_imp_asc,0.5,120,120,0.55,0.525,0.025000000000000022,0.025,-0.00625,0.02734375
hihp_imp_desc,0.05,120,120,0.55,0.35,0.20000000000000007,0.4166666666666667,-1.153125,3.6140625
hihp_imp_desc,0.1,120,120,0.55,0.125,0.42500000000000004,0.6916666666666667,-2.308854166666667,5.155208333333333
hihp_imp_desc,0.2,120,120,0.55,0.058333333333333334,0.4916666666666667,0.9416666666666667,-3.9015625,6.398958333333334
hihp_imp_desc,0.3,120,120,0.55,0.0,0.55,1.0,-8.927604166666667,7.7078125
hihp_imp_desc,0.5,120,120,0.55,0.0,0.55,1.0,-8.893489583333333,7.7390625
hilp_imp_desc,0.05,120,120,0.55,0.55,0.0,0.0,-0.007291666666666667,0.00546875
hilp_imp_desc,0.1,120,120,0.55,0.5333333333333333,0.01666666666666672,0.016666666666666666,-0.0010416666666666667,-0.011197916666666667
hilp_imp_desc,0.2,120,120,0.55,0.525,0.025000000000000022,0.025,-0.007291666666666667,-0.0234375
hilp_imp_desc,0.3,120,120,0.55,0.525,0.025000000000000022,0.025,-0.007291666666666667,-0.0234375
hilp_imp_desc,0.5,120,120,0.55,0.525,0.025000000000000022,0.025,-0.007291666666666667,-0.0234375
