group,ratio,crel_pair,pair_id,attr_dim,tgt_tok,argmax_clean,argmax_patched,is_correct_clean,is_correct_patched,is_argmax_flip,target_logit_delta_signed,source_logit_delta_signed
hihp_imp_desc,0.05,SAME-OPP,pair0,P,14265,14265,46878,1,0,1,-4.125,6.0625
hihp_imp_desc,0.05,SAME-OPP,pair0,Q,6485,22872,4382,0,0,1,-1.125,4.125
hihp_imp_desc,0.05,SAME-OPP,pair1,P,14265,47102,46878,0,0,1,-4.125,6.75
hihp_imp_desc,0.05,SAME-OPP,pair1,Q,6485,22872,4382,0,0,1,-1.25,4.0625
hihp_imp_desc,0.05,SAME-OPP,pair2,P,14265,47102,46878,0,0,1,-3.1875,6.9375
hihp_imp_desc,0.05,SAME-OPP,pair2,Q,6485,22872,9170,0,0,1,-0.875,4.4375
hihp_imp_desc,0.05,SAME-OPP,pair3,P,14265,47102,46878,0,0,1,-3.625,7.5625
hihp_imp_desc,0.05,SAME-OPP,pair3,Q,6485,22872,4382,0,0,1,-1.0,4.8125
hihp_imp_desc,0.05,SAME-OPP,pair4,P,14265,14265,46878,1,0,1,-4.0625,7.375
hihp_imp_desc,0.05,SAME-OPP,pair4,Q,6485,22872,4382,0,0,1,-1.375,4.9375
hihp_imp_desc,0.05,SAME-OPP,pair5,P,14265,47102,46878,0,0,1,-3.625,6.6875
hihp_imp_desc,0.05,SAME-OPP,pair5,Q,6485,22872,9170,0,0,1,-1.125,4.125
hihp_imp_desc,0.05,SAME-OPP,pair6,P,14265,14265,46878,1,0,1,-3.625,6.75
hihp_imp_desc,0.05,SAME-OPP,pair6,Q,6485,22872,9170,0,0,1,-0.625,4.5
hihp_imp_desc,0.05,SAME-OPP,pair7,P,14265,14265,46878,1,0,1,-3.4375,6.75
hihp_imp_desc,0.05,SAME-OPP,pair7,Q,6485,22872,9170,0,0,1,-1.0,4.9375
hihp_imp_desc,0.05,SAME-OPP,pair8,P,14265,47102,46878,0,0,1,-3.5625,6.5625
hihp_imp_desc,0.05,SAME-OPP,pair8,Q,6485,22872,9170,0,0,1,-0.875,4.1875
hihp_imp_desc,0.05,SAME-OPP,pair9,P,14265,47102,46878,0,0,1,-3.625,6.75
hihp_imp_desc,0.05,SAME-OPP,pair9,Q,6485,22872,9170,0,0,1,-0.875,3.625
hihp_imp_desc,0.05,SAME-MORE,pair0,P,14265,14265,14265,1,1,0,-1.375,2.3125
hihp_imp_desc,0.05,SAME-MORE,pair0,Q,6485,22872,22872,0,0,0,-0.625,3.125
hihp_imp_desc,0.05,SAME-MORE,pair1,P,14265,47102,14265,0,1,1,-1.25,3.375
hihp_imp_desc,0.05,SAME-MORE,pair1,Q,6485,22872,22872,0,0,0,-0.75,2.75
hihp_imp_desc,0.05,SAME-MORE,pair2,P,14265,47102,14265,0,1,1,-0.875,2.125
hihp_imp_desc,0.05,SAME-MORE,pair2,Q,6485,22872,22872,0,0,0,-0.625,1.6875
hihp_imp_desc,0.05,SAME-MORE,pair3,P,14265,47102,14265,0,1,1,-1.0,1.375
hihp_imp_desc,0.05,SAME-MORE,pair3,Q,6485,22872,22872,0,0,0,-0.375,1.5
