model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.01,52,52,0.09765625,0.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.03,154,154,0.2473958333333333,0.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.05,256,256,0.8074869791666667,0.375,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.07,359,359,1.6139322916666667,1.25,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.1,512,512,2.484505208333333,2.5,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.12,615,615,2.6232421875,2.75,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.15,768,768,4.2033203125,4.1875,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.157617,807,807,4.371549479166666,4.375,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.2,1024,1024,3.9788411458333335,3.9375,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.3,1536,1536,6.77724609375,6.5625,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_desc,0.5,2560,1753,6.658170572916666,6.5625,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.01,52,52,0.0787760416666666,0.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.03,154,154,0.1092447916666666,0.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.05,256,256,0.1188802083333333,0.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.07,359,359,0.1924479166666666,0.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.1,512,512,0.4114583333333333,0.375,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.12,615,615,0.487109375,0.375,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.15,768,768,1.109375,1.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.157617,807,807,1.1635416666666667,1.125,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.2,1024,1024,2.143424479166667,2.5,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.3,1536,1536,5.024348958333333,4.9375,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hihp_imp_asc,0.5,2560,1753,6.658170572916666,6.5625,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.01,52,52,0.02734375,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.03,154,154,0.0313802083333333,0.0,960,20,80,1753,807,807,1753
llama-3.1-70b-instruct-4bit,43,hilp_imp_desc,0.05,256,256,0.0299479166666666,0.0,960,20,80,1753,807,807,1753
