pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,werbinbrir,belbrensul,7205,1689,wer,bel,4,4,0.171875
pair1,rosbrullail,bolgrolvem,27282,21434,ros,bol,4,4,0.25
pair2,vibospat,bunkastrur,56400,46569,vib,bunk,3,3,0.40625
pair3,kesfeisslem,sourmugrat,52077,20897,kes,sour,4,4,0.296875
pair4,mongelpreir,sousnoltour,75642,32592,mong,sous,4,4,0.03125
pair5,banfelvour,lolvowair,9120,28509,ban,lol,4,4,0.1171875
pair6,posflanoul,serlusteit,1153,1446,pos,ser,4,4,0.4453125
pair7,dilzairplan,birtrikul,19371,15606,dil,bir,4,4,0.09375
pair8,silvunslos,brotrislus,5554,2967,sil,bro,4,4,0.046875
pair9,maintounbes,werplaiker,5088,7205,maint,wer,3,3,0.453125
pair10,pronzeisnim,stirbeinret,19126,23935,pron,stir,4,4,0.21875
pair11,treinkispir,finprilna,4353,1913,tre,fin,4,4,0.40625
pair12,belsobrait,sesstofi,1689,15907,bel,ses,3,3,0.296875
pair13,bonzertrou,welkobok,7970,12724,bon,wel,4,4,0.375
pair14,kenflinwor,prolkonzat,50332,29520,ken,prol,4,4,0.203125
pair15,disflolsla,restresnein,834,2800,dis,rest,4,4,0.3125
pair16,plusvasnaik,waitrasflal,5636,3868,plus,wait,4,4,0.4921875
pair17,masvaisroun,valfontror,9427,1062,mas,val,4,4,0.375
pair18,molprirmus,dilgrotrik,22337,19371,mol,dil,4,4,0.0625
pair19,baikreflik,prinwantous,80287,64127,baik,prin,3,3,0.15625
pair20,tulbrofut,flankoukran,62036,70592,tul,flank,4,4,0.0
pair21,dusloulfar,kupralslu,53532,81808,dus,kup,4,4,0.3125
pair22,graigeirkri,rasosnoum,28699,51010,gra,ras,4,4,0.078125
pair23,tertoumik,kabrounzis,98214,75095,tert,kab,4,4,0.03125
pair24,renslentrem,porstaiswil,5790,4247,ren,por,4,4,0.34375
pair25,slekraiplus,mentasstil,20328,11540,sle,ment,4,4,0.328125
pair26,slofeilpain,talbundal,18067,8374,slo,tal,4,4,0.3125
pair27,loungeisdun,vagarler,39032,17764,lounge,vag,3,3,0.40625
pair28,bosvirtreik,punstalneir,43746,8474,bos,pun,4,4,0.421875
pair29,railgouflul,kerstastin,13881,34801,rail,ker,4,4,0.1796875
pair30,presvanzaim,burzeilnel,1685,7951,pres,bur,4,4,0.21875
pair31,rolflalnour,stirgrumil,18147,23935,rol,stir,4,4,0.359375
pair32,karprelpoun,gunlelpair,24318,6166,kar,gun,4,4,0.1875
pair33,gesstunges,telurkreit,14748,19227,ges,tel,4,4,0.078125
pair34,pasriweil,fansassleim,6502,7359,pas,fans,4,4,0.15625
pair35,munbirstis,funfeiveir,51079,2523,mun,fun,4,4,0.359375
pair36,plaintaiwen,sostasnum,24261,79048,plaint,sost,3,3,0.359375
pair37,stirwelbrul,toulerstus,23935,15119,stir,tou,4,4,0.28125
pair38,brairfogus,gesstounzor,20716,14748,bra,ges,5,5,0.46875
pair39,ventruplouk,babrorflul,10594,16993,vent,bab,4,4,0.25
pair40,spermirrom,traslusset,40699,34264,sperm,tras,3,3,0.34375
pair41,praipewum,lorsenlair,45103,37953,pra,lors,4,4,0.46875
pair42,doulenleis,graigrennut,25595,28699,dou,gra,4,4,0.125
pair43,silmespout,murunfoul,5554,8309,sil,mur,4,4,0.046875
pair44,granmalmum,pirbrezam,16109,30711,gran,pir,4,4,0.140625
pair45,fleinselbak,plaissutrai,13259,40852,fle,pla,4,4,0.03125
pair46,plelnukei,rosproswar,7245,27282,ple,ros,4,4,0.109375
pair47,fastorprait,dirsurkrel,5043,5534,fast,dir,4,4,0.32421875
pair48,nalbrilrus,tinsteivou,85633,25826,nal,tin,4,4,0.25
pair49,virflalmor,dolbounslek,9043,21968,vir,dol,4,4,0.15625
pair50,treinventir,munzurdar,4353,51079,tre,mun,4,4,0.0
pair51,pronzeislen,slosteislu,19126,18067,pron,slo,4,4,0.03125
pair52,nouslebel,grenrenspo,17317,38563,nous,gren,3,3,0.25
pair53,granfokok,lurveisflar,16109,47747,gran,lur,4,4,0.265625
pair54,paplislei,brozarflam,26365,2967,pap,bro,4,4,0.359375
pair55,runbouprei,nounzibrous,1629,38021,run,noun,4,4,0.44921875
pair56,bunflirdi,fisbounkar,45921,42723,bun,fis,4,4,0.15625
pair57,lerpreiprik,fisturfeis,76120,40902,ler,fist,4,4,0.25
pair58,visleldes,nerbrasstas,2145,41283,vis,ner,4,4,0.421875
pair59,renproltrei,palgospes,5790,11091,ren,pal,4,4,0.421875
pair60,faisgeingin,kusstunkan,66517,114770,fais,kus,4,4,0.15625
pair61,nalvesflun,kurvolpreir,85633,28364,nal,kur,4,4,0.4375
pair62,sporplarbra,pespougen,62016,18541,spor,pes,4,4,0.03125
pair63,trafloutas,lilplilspek,9781,62471,tra,lil,4,4,0.4765625
pair64,wedeisrai,lurdesfou,11077,47747,wed,lur,4,4,0.46875
pair65,steisplefel,birkenplai,4179,15606,ste,bir,4,4,0.4375
pair66,mentasstil,lanpribrom,11540,31791,ment,lan,4,4,0.109375
