model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair0,P,0.0,-1.0625,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair0,Q,-0.125,-1.1875,4382,4382,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair1,P,0.0,-1.0,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair1,Q,0.125,-0.9375,4382,4382,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair2,P,0.0,-1.0625,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair2,Q,-0.125,-1.0625,9170,9170,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair3,P,-0.125,-1.1875,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair3,Q,0.0,-1.0,4382,4382,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair4,P,0.0,-1.125,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair4,Q,-0.125,-1.3125,4382,4382,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair5,P,0.0,-1.125,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair5,Q,-0.125,-1.0,4382,9170,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair6,P,0.125,-1.0625,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair6,Q,0.0,-1.0,4382,9170,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair7,P,0.0,-1.0,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair7,Q,0.0,-0.9375,4382,4382,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair8,P,0.0,-1.0625,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair8,Q,-0.125,-0.875,9170,9170,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair9,P,-0.125,-1.25,46878,46878,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair9,Q,-0.125,-1.3125,9170,9170,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair0,P,-0.375,-2.09375,10006,10006,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair0,Q,-0.375,-2.09375,10006,10006,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair1,P,-0.375,-2.0,7245,7245,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair1,Q,-0.25,-1.75,7245,7245,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair2,P,-0.5,-1.875,7010,7010,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair2,Q,-0.75,-1.5,7010,7010,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair3,P,-0.625,-1.8125,2834,2834,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair3,Q,-0.5,-1.53125,2834,2834,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair4,P,-0.25,-1.15625,28445,28445,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair4,Q,-0.25,-1.28125,28445,28445,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair5,P,-0.375,-2.3125,1499,1499,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair5,Q,-0.375,-2.125,1499,1499,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair6,P,-0.25,-1.34375,60217,60217,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair6,Q,-0.375,-1.3125,60217,60217,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair7,P,-0.5,-1.9375,11422,11422,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair7,Q,-0.375,-1.71875,11422,11422,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair8,P,-0.375,-1.65625,17580,17580,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair8,Q,-0.375,-1.4375,17580,17580,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair9,P,-0.375,-1.5,4809,4809,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-MORE,pair9,Q,-0.25,-1.71875,4809,4809,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-LESS,pair0,P,-0.5,-2.0625,22337,22337,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-LESS,pair0,Q,-0.375,-1.6875,22337,22337,1047,1431,1513,1129,0.030208333333333334,0.033695036545395796
