model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair0,P,0.375,-1.1875,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair0,Q,0.125,-0.8125,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair1,P,0.375,-1.0625,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair1,Q,0.25,-0.75,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair2,P,0.375,-1.0625,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair2,Q,0.25,-0.75,9170,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair3,P,0.25,-1.1875,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair3,Q,0.125,-0.625,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair4,P,0.375,-1.1875,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair4,Q,0.125,-0.6875,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair5,P,0.375,-1.125,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair5,Q,0.125,-0.625,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair6,P,0.5,-1.0,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair6,Q,0.125,-0.5,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair7,P,0.375,-1.1875,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair7,Q,0.25,-0.6875,4382,4382,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
llama-3.1-70b-instruct-4bit,C_p_imp_asc,0.05,r0.05,256,256,SAME-OPP,pair8,P,0.375,-1.0625,46878,46878,994,1426,1566,1134,0.03229166666666667,0.0337541755288839
