layer,head,cell,rsa_max,perturbation_L2,importance_quartile
0,0,D,0.4276890456676483,0.0029026162810623646,Q1
0,1,D,0.492621511220932,0.007251776289194822,Q2
0,2,D,0.25251537561416626,0.004476168192923069,Q1
0,3,D,0.5059226155281067,0.006139969918876886,Q2
0,4,D,0.20971640944480896,0.001810938585549593,Q1
0,5,D,0.3352697491645813,0.0032648539636284113,Q1
0,6,D,0.2508557438850403,0.002003719098865986,Q1
0,7,D,0.11601267009973526,0.0035954813938587904,Q1
0,8,D,0.19109460711479187,0.012624789029359818,Q1
0,9,D,0.5010119676589966,0.012013334780931473,Q2
0,10,D,0.34072673320770264,0.009787804447114468,Q1
0,11,D,0.13094186782836914,0.02131960168480873,Q1
0,12,D,0.4621269404888153,0.010177108459174633,Q2
0,13,hilp,0.5365567207336426,0.011823534034192562,Q3
0,14,D,0.4375115931034088,0.008931482210755348,Q2
0,15,D,0.2806359529495239,0.007960833609104156,Q1
0,16,hilp,0.5609585046768188,0.0020692346151918173,Q3
0,17,D,0.1008668914437294,0.0033802445977926254,Q1
0,18,D,0.4033503234386444,0.0014984103618189692,Q1
0,19,D,0.4575101137161255,0.0019942233338952065,Q2
0,20,D,0.2751355469226837,0.007208801805973053,Q1
0,21,hilp,0.6238852739334106,0.004661350045353174,Q3
0,22,hilp,0.594200611114502,0.002530962461605668,Q3
0,23,D,0.36665257811546326,0.015322666615247726,Q1
0,24,D,0.34920650720596313,0.002792094834148884,Q1
0,25,D,0.16171908378601074,0.004128626547753811,Q1
0,26,D,0.39295417070388794,0.003391972277313471,Q1
0,27,D,0.2197554111480713,0.0052113281562924385,Q1
0,28,D,0.5099307298660278,0.002361288294196129,Q2
0,29,D,0.5255734920501709,0.0003372468054294586,Q2
0,30,hilp,0.5769230127334595,0.001256244140677154,Q3
0,31,D,0.229087233543396,1.9915285520255566e-05,Q1
1,0,D,0.3805084824562073,0.006017962004989386,Q1
1,1,D,0.2902683615684509,0.0007064879755489528,Q1
1,2,D,0.41066282987594604,0.008386284112930298,Q1
1,3,D,0.31278908252716064,0.005609019193798304,Q1
1,4,D,0.3735511004924774,0.0026031765155494213,Q1
1,5,D,0.2745441496372223,0.003927502315491438,Q1
1,6,D,0.4906851053237915,0.0076990616507828236,Q2
1,7,D,0.27633965015411377,0.0021030455827713013,Q1
1,8,D,0.5035712122917175,0.03069600649178028,Q2
1,9,D,0.42055821418762207,0.0047993226908147335,Q1
1,10,D,0.489582896232605,0.01597834751009941,Q2
1,11,D,0.3506813049316406,0.008634299039840698,Q1
1,12,D,0.3023880124092102,0.01432789210230112,Q1
1,13,D,0.10811371356248856,0.0024846603628247976,Q1
1,14,D,0.49005889892578125,0.006250481586903334,Q2
1,15,D,0.4984363615512848,0.007952730171382427,Q2
1,16,D,0.061181046068668365,0.008081852458417416,Q1
1,17,D,0.4471363127231598,0.008681452833116055,Q2
1,18,D,0.2502259314060211,0.003957289271056652,Q1
1,19,D,0.4863593280315399,0.010159237310290337,Q2
1,20,D,0.15856321156024933,0.004957207012921572,Q1
1,21,D,0.48904353380203247,0.011424670927226543,Q2
1,22,D,0.3837488293647766,0.012442409992218018,Q1
1,23,D,0.3072330951690674,0.025935301557183266,Q1
1,24,D,0.4277827739715576,0.0007296375115402043,Q1
1,25,D,0.29159215092658997,0.0019643125124275684,Q1
1,26,D,0.052295997738838196,0.005070120561867952,Q1
1,27,D,0.28997278213500977,0.0009572731796652079,Q1
1,28,D,0.5090548992156982,0.03243924677371979,Q2
1,29,D,0.5326041579246521,0.01531959231942892,Q2
1,30,D,0.4226004481315613,0.004886545706540346,Q1
1,31,D,0.3789464235305786,0.00934051163494587,Q1
2,0,D,0.4993215799331665,0.007824857719242573,Q2
2,1,D,0.3835410177707672,0.07410290092229843,Q1
2,2,D,0.4522636830806732,0.0051274788565933704,Q2
2,3,D,0.4634844660758972,0.018562328070402145,Q2
2,4,D,0.5015549659729004,0.045595232397317886,Q2
2,5,D,0.500397801399231,0.05420263111591339,Q2
2,6,D,0.48454585671424866,0.023883400484919548,Q2
2,7,D,0.4932147264480591,0.022739911451935768,Q2
2,8,D,0.36344921588897705,0.0031223660334944725,Q1
2,9,D,0.40957528352737427,0.006321416702121496,Q1
2,10,D,0.509192943572998,0.01294106338173151,Q2
2,11,D,0.4925921857357025,0.019012531265616417,Q2
2,12,D,0.5115679502487183,0.1028844490647316,Q2
2,13,D,0.5072571039199829,0.07550361007452011,Q2
2,14,D,0.5090890526771545,0.06435620784759521,Q2
2,15,D,0.49847739934921265,0.024558743461966515,Q2
2,16,D,0.4882098436355591,0.03693182021379471,Q2
2,17,D,0.48949477076530457,0.008449314162135124,Q2
2,18,D,0.4864407777786255,0.08234016597270966,Q2
2,19,D,0.4544346332550049,0.05023650452494621,Q2
2,20,D,0.49338769912719727,0.020764188840985298,Q2
2,21,D,0.49652421474456787,0.0008541186107322574,Q2
2,22,D,0.5020411014556885,0.043719880282878876,Q2
2,23,D,0.5055999755859375,0.0020738872699439526,Q2
2,24,D,0.4995979070663452,0.03345780447125435,Q2
2,25,D,0.4859257936477661,0.02297801338136196,Q2
2,26,D,0.5127156376838684,0.16591806709766388,Q2
2,27,D,0.49174919724464417,0.019414016976952553,Q2
2,28,D,0.49551719427108765,0.008161099627614021,Q2
2,29,D,0.5015435814857483,0.012798587791621685,Q2
2,30,D,0.4876899719238281,0.0018615304725244641,Q2
2,31,D,0.4897617697715759,0.00398422684520483,Q2
3,0,D,0.5177152156829834,0.042488258332014084,Q2
3,1,hilp,0.535353422164917,0.03856516256928444,Q3
3,2,D,0.5065293312072754,0.029629820957779884,Q2
3,3,D,0.41281265020370483,0.035280492156744,Q1
3,4,D,0.3998621702194214,0.004156024660915136,Q1
3,5,D,0.4968385696411133,0.020105741918087006,Q2
3,6,D,0.48023778200149536,0.012122702784836292,Q2
3,7,hilp,0.5582377910614014,0.014107838273048401,Q3
3,8,D,0.4975268840789795,0.025515113025903702,Q2
3,9,D,0.5235670804977417,0.05248779430985451,Q2
3,10,D,0.4957788288593292,0.02589421346783638,Q2
3,11,D,0.503043532371521,0.03595420718193054,Q2
3,12,D,0.5091564655303955,0.03683822974562645,Q2
3,13,D,0.327953040599823,0.007410012185573578,Q1
3,14,D,0.20458489656448364,0.004567256662994623,Q1
3,15,D,0.42241212725639343,0.007594704162329435,Q1
3,16,D,0.5032952427864075,0.01905532367527485,Q2
3,17,D,0.501105546951294,0.019373077899217606,Q2
3,18,D,0.5011672973632812,0.02697833441197872,Q2
3,19,D,0.5085955858230591,0.0371946319937706,Q2
3,20,D,0.4240712523460388,0.017627354711294174,Q1
3,21,hilp,0.5626566410064697,0.04703162610530853,Q3
3,22,D,0.20291967689990997,0.045094456523656845,Q1
3,23,D,0.48962146043777466,0.034369517117738724,Q2
3,24,hilp,0.5579962730407715,0.03053426556289196,Q3
3,25,D,0.309487909078598,0.013123296201229095,Q1
3,26,D,0.4988081455230713,0.024367623031139374,Q2
3,27,D,0.4561963677406311,0.04684051126241684,Q2
3,28,hilp,0.5487178564071655,0.07706721872091293,Q3
3,29,D,0.5008035898208618,0.1348140686750412,Q2
3,30,hihp,0.5754709243774414,0.27075260877609253,Q3
3,31,D,0.49411407113075256,0.03832870349287987,Q2
4,0,D,0.48384344577789307,0.015425064601004124,Q2
4,1,D,0.4709606170654297,0.024054763838648796,Q2
