layer,head,perturbation_L2
0,0,0.0029026162810623646
0,1,0.007251776289194822
0,2,0.004476168192923069
0,3,0.006139969918876886
0,4,0.001810938585549593
0,5,0.0032648539636284113
0,6,0.002003719098865986
0,7,0.0035954813938587904
0,8,0.012624789029359818
0,9,0.012013334780931473
0,10,0.009787804447114468
0,11,0.02131960168480873
0,12,0.010177108459174633
0,13,0.011823534034192562
0,14,0.008931482210755348
0,15,0.007960833609104156
0,16,0.0020692346151918173
0,17,0.0033802445977926254
0,18,0.0014984103618189692
0,19,0.0019942233338952065
0,20,0.007208801805973053
0,21,0.004661350045353174
0,22,0.002530962461605668
0,23,0.015322666615247726
0,24,0.002792094834148884
0,25,0.004128626547753811
0,26,0.003391972277313471
0,27,0.0052113281562924385
0,28,0.002361288294196129
0,29,0.0003372468054294586
0,30,0.001256244140677154
0,31,1.9915285520255566e-05
1,0,0.006017962004989386
1,1,0.0007064879755489528
1,2,0.008386284112930298
1,3,0.005609019193798304
1,4,0.0026031765155494213
1,5,0.003927502315491438
1,6,0.0076990616507828236
1,7,0.0021030455827713013
1,8,0.03069600649178028
1,9,0.0047993226908147335
1,10,0.01597834751009941
1,11,0.008634299039840698
1,12,0.01432789210230112
1,13,0.0024846603628247976
1,14,0.006250481586903334
1,15,0.007952730171382427
1,16,0.008081852458417416
1,17,0.008681452833116055
1,18,0.003957289271056652
1,19,0.010159237310290337
1,20,0.004957207012921572
1,21,0.011424670927226543
1,22,0.012442409992218018
1,23,0.025935301557183266
1,24,0.0007296375115402043
1,25,0.0019643125124275684
1,26,0.005070120561867952
1,27,0.0009572731796652079
1,28,0.03243924677371979
1,29,0.01531959231942892
1,30,0.004886545706540346
1,31,0.00934051163494587
2,0,0.007824857719242573
2,1,0.07410290092229843
2,2,0.0051274788565933704
2,3,0.018562328070402145
2,4,0.045595232397317886
2,5,0.05420263111591339
2,6,0.023883400484919548
2,7,0.022739911451935768
2,8,0.0031223660334944725
2,9,0.006321416702121496
2,10,0.01294106338173151
2,11,0.019012531265616417
2,12,0.1028844490647316
2,13,0.07550361007452011
2,14,0.06435620784759521
2,15,0.024558743461966515
2,16,0.03693182021379471
2,17,0.008449314162135124
2,18,0.08234016597270966
2,19,0.05023650452494621
2,20,0.020764188840985298
2,21,0.0008541186107322574
2,22,0.043719880282878876
2,23,0.0020738872699439526
2,24,0.03345780447125435
2,25,0.02297801338136196
2,26,0.16591806709766388
2,27,0.019414016976952553
2,28,0.008161099627614021
2,29,0.012798587791621685
2,30,0.0018615304725244641
2,31,0.00398422684520483
3,0,0.042488258332014084
3,1,0.03856516256928444
3,2,0.029629820957779884
3,3,0.035280492156744
3,4,0.004156024660915136
