model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair0,P,-0.625,1.0,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair0,Q,-0.75,0.4375,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair1,P,-0.625,1.5625,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair1,Q,-0.625,0.5625,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair2,P,-0.5,2.1875,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair2,Q,-0.375,1.5,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair3,P,-0.5,1.0,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair3,Q,-0.625,0.5625,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair4,P,-0.375,1.5,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair4,Q,-0.5,1.8125,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair5,P,-0.5,0.9375,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair5,Q,-0.75,0.625,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair6,P,-0.5,1.8125,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair6,Q,-0.5,1.0,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair7,P,-0.625,1.4375,14265,14265
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair7,Q,-0.5,1.375,6485,6485
llama-3.1-8b-instruct,hihp_imp_desc,0.01,10,10,SAME-OPP,pair8,P,-0.625,1.75,14265,14265
