group,ratio,crel_pair,pair_id,attr_dim,tgt_tok,argmax_clean,argmax_patched,is_correct_clean,is_correct_patched,is_argmax_flip,target_logit_delta_signed,source_logit_delta_signed
hihp_imp_desc,0.05,SAME-OPP,pair0,P,14265,14265,46878,1,0,1,-3.25,6.6875
hihp_imp_desc,0.05,SAME-OPP,pair0,Q,6485,6485,4382,1,0,1,-1.875,3.9375
hihp_imp_desc,0.05,SAME-OPP,pair1,P,14265,14265,46878,1,0,1,-3.9375,8.0625
hihp_imp_desc,0.05,SAME-OPP,pair1,Q,6485,6485,4382,1,0,1,-2.375,4.625
hihp_imp_desc,0.05,SAME-OPP,pair2,P,14265,14265,46878,1,0,1,-4.5625,7.6875
hihp_imp_desc,0.05,SAME-OPP,pair2,Q,6485,6485,4382,1,0,1,-2.875,4.9375
hihp_imp_desc,0.05,SAME-OPP,pair3,P,14265,14265,46878,1,0,1,-3.0,6.875
hihp_imp_desc,0.05,SAME-OPP,pair3,Q,6485,6485,4382,1,0,1,-2.375,4.3125
hihp_imp_desc,0.05,SAME-OPP,pair4,P,14265,14265,46878,1,0,1,-3.125,7.375
hihp_imp_desc,0.05,SAME-OPP,pair4,Q,6485,6485,4382,1,0,1,-1.375,7.0625
hihp_imp_desc,0.05,SAME-OPP,pair5,P,14265,14265,46878,1,0,1,-3.8125,5.8125
hihp_imp_desc,0.05,SAME-OPP,pair5,Q,6485,6485,4382,1,0,1,-2.0,4.9375
hihp_imp_desc,0.05,SAME-OPP,pair6,P,14265,14265,46878,1,0,1,-2.875,7.1875
hihp_imp_desc,0.05,SAME-OPP,pair6,Q,6485,6485,4382,1,0,1,-1.75,3.9375
hihp_imp_desc,0.05,SAME-OPP,pair7,P,14265,14265,46878,1,0,1,-2.875,7.25
hihp_imp_desc,0.05,SAME-OPP,pair7,Q,6485,6485,4382,1,0,1,-2.125,4.6875
hihp_imp_desc,0.05,SAME-OPP,pair8,P,14265,14265,46878,1,0,1,-3.5,6.5
hihp_imp_desc,0.05,SAME-OPP,pair8,Q,6485,6485,4382,1,0,1,-2.0,4.4375
hihp_imp_desc,0.05,SAME-OPP,pair9,P,14265,14265,46878,1,0,1,-3.375,8.0
hihp_imp_desc,0.05,SAME-OPP,pair9,Q,6485,6485,4382,1,0,1,-1.75,5.5625
hihp_imp_desc,0.05,SAME-MORE,pair0,P,14265,14265,10006,1,0,1,-1.375,2.5
hihp_imp_desc,0.05,SAME-MORE,pair0,Q,6485,6485,6485,1,1,0,-0.75,1.9375
hihp_imp_desc,0.05,SAME-MORE,pair1,P,14265,14265,7245,1,0,1,-1.75,2.375
hihp_imp_desc,0.05,SAME-MORE,pair1,Q,6485,6485,6485,1,1,0,-0.625,1.875
hihp_imp_desc,0.05,SAME-MORE,pair2,P,14265,14265,14265,1,1,0,-1.5,2.25
hihp_imp_desc,0.05,SAME-MORE,pair2,Q,6485,6485,6485,1,1,0,-0.875,1.75
hihp_imp_desc,0.05,SAME-MORE,pair3,P,14265,14265,14265,1,1,0,-0.875,2.875
hihp_imp_desc,0.05,SAME-MORE,pair3,Q,6485,6485,6485,1,1,0,-0.875,2.875
hihp_imp_desc,0.05,SAME-MORE,pair4,P,14265,14265,41389,1,0,1,-1.875,2.1875
hihp_imp_desc,0.05,SAME-MORE,pair4,Q,6485,6485,6485,1,1,0,-0.375,1.75
hihp_imp_desc,0.05,SAME-MORE,pair5,P,14265,14265,1765,1,0,1,-2.125,2.8125
hihp_imp_desc,0.05,SAME-MORE,pair5,Q,6485,6485,1765,1,0,1,-1.0,2.4375
hihp_imp_desc,0.05,SAME-MORE,pair6,P,14265,14265,14265,1,1,0,-1.0,2.6875
hihp_imp_desc,0.05,SAME-MORE,pair6,Q,6485,6485,6485,1,1,0,-0.75,2.5625
hihp_imp_desc,0.05,SAME-MORE,pair7,P,14265,14265,14265,1,1,0,-1.625,3.9375
hihp_imp_desc,0.05,SAME-MORE,pair7,Q,6485,6485,6485,1,1,0,-0.5,3.75
hihp_imp_desc,0.05,SAME-MORE,pair8,P,14265,14265,13259,1,0,1,-1.875,3.9375
hihp_imp_desc,0.05,SAME-MORE,pair8,Q,6485,6485,13259,1,0,1,-0.875,2.5625
hihp_imp_desc,0.05,SAME-MORE,pair9,P,14265,14265,14265,1,1,0,-1.875,3.4375
hihp_imp_desc,0.05,SAME-MORE,pair9,Q,6485,6485,6485,1,1,0,-0.625,2.3125
hihp_imp_desc,0.05,SAME-LESS,pair0,P,14265,14265,14265,1,1,0,-0.75,1.375
hihp_imp_desc,0.05,SAME-LESS,pair0,Q,6485,6485,6485,1,1,0,-0.625,0.875
hihp_imp_desc,0.05,SAME-LESS,pair1,P,14265,14265,14265,1,1,0,-0.75,2.3125
hihp_imp_desc,0.05,SAME-LESS,pair1,Q,6485,6485,6485,1,1,0,-0.75,1.25
hihp_imp_desc,0.05,SAME-LESS,pair2,P,14265,14265,14265,1,1,0,-1.0,5.0625
hihp_imp_desc,0.05,SAME-LESS,pair2,Q,6485,6485,6485,1,1,0,-1.125,1.875
hihp_imp_desc,0.05,SAME-LESS,pair3,P,14265,14265,14265,1,1,0,-0.375,3.75
hihp_imp_desc,0.05,SAME-LESS,pair3,Q,6485,6485,6485,1,1,0,-0.75,1.875
hihp_imp_desc,0.05,SAME-LESS,pair4,P,14265,14265,14265,1,1,0,-0.75,2.8125
hihp_imp_desc,0.05,SAME-LESS,pair4,Q,6485,6485,6485,1,1,0,-1.0,1.75
hihp_imp_desc,0.05,SAME-LESS,pair5,P,14265,14265,18728,1,0,1,-0.875,2.4375
hihp_imp_desc,0.05,SAME-LESS,pair5,Q,6485,6485,18728,1,0,1,-0.75,1.125
hihp_imp_desc,0.05,SAME-LESS,pair6,P,14265,14265,14265,1,1,0,-0.625,3.9375
hihp_imp_desc,0.05,SAME-LESS,pair6,Q,6485,6485,6485,1,1,0,-1.0,2.5625
hihp_imp_desc,0.05,SAME-LESS,pair7,P,14265,14265,14265,1,1,0,-0.5,2.5
hihp_imp_desc,0.05,SAME-LESS,pair7,Q,6485,6485,35092,1,0,1,-0.875,1.75
hihp_imp_desc,0.05,SAME-LESS,pair8,P,14265,14265,14265,1,1,0,-0.5,2.75
hihp_imp_desc,0.05,SAME-LESS,pair8,Q,6485,6485,6485,1,1,0,-0.75,1.875
hihp_imp_desc,0.05,SAME-LESS,pair9,P,14265,14265,14265,1,1,0,-0.875,3.875
hihp_imp_desc,0.05,SAME-LESS,pair9,Q,6485,6485,6485,1,1,0,-0.75,1.8125
hihp_imp_desc,0.05,OPP-MORE,pair0,P,46878,46878,46878,1,1,0,-1.125,4.1875
hihp_imp_desc,0.05,OPP-MORE,pair0,Q,4382,4382,4382,1,1,0,-0.375,1.6875
hihp_imp_desc,0.05,OPP-MORE,pair1,P,46878,46878,46878,1,1,0,-1.25,3.3125
hihp_imp_desc,0.05,OPP-MORE,pair1,Q,4382,4382,4382,1,1,0,-0.375,1.75
