group,ratio,n_trials,flip_rate_normalized
hihp_imp_desc,0.05,120,0.4583
hihp_imp_desc,0.1,120,0.55
hihp_imp_desc,0.2,120,0.7417
hihp_imp_desc,0.3,120,1.0
hihp_imp_desc,0.5,120,1.0
hilp_imp_desc,0.05,120,0.0
hilp_imp_desc,0.1,120,0.0
hilp_imp_desc,0.2,120,0.0
hilp_imp_desc,0.3,120,0.0
hilp_imp_desc,0.5,120,0.0
C_imp_asc,0.05,120,0.1917
C_imp_asc,0.1,120,0.375
C_imp_asc,0.2,120,1.0
C_imp_asc,0.3,120,1.0
C_imp_asc,0.5,120,1.0
D_imp_asc,0.05,120,0.0
D_imp_asc,0.1,120,0.0
D_imp_asc,0.2,120,0.0
D_imp_asc,0.3,120,0.0
D_imp_asc,0.5,120,0.0
