model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
llama-3.1-8b-instruct,43,hihp_imp_desc,0.01,11,11,0.27239583333333334,0.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.03,31,31,0.7735677083333333,0.6875,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.05,52,52,1.9823567708333334,1.875,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.07,72,72,2.7988932291666666,2.875,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.1,103,103,2.8784505208333333,2.9375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.12,123,123,3.452278645833333,3.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.15,154,154,2.5396484375,2.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.173828,178,178,2.8114583333333334,2.75,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.2,205,205,4.531315104166667,3.875,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.3,308,308,5.18056640625,4.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_desc,0.5,512,334,5.144986979166666,4.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.01,11,11,0.07408854166666666,0.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.03,31,31,0.08997395833333334,0.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.05,52,52,0.24010416666666667,0.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.07,72,72,0.48138020833333334,0.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.1,103,103,0.46315104166666665,0.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.12,123,123,0.3717447916666667,0.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.15,154,154,1.9794921875,1.75,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.173828,178,178,2.4541666666666666,2.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.2,205,205,1.9448567708333333,1.875,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.3,308,308,4.2638671875,3.5625,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hihp_imp_asc,0.5,512,334,5.144986979166666,4.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.01,11,11,0.038671875,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.03,31,31,0.04401041666666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.05,52,52,0.04609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.07,72,72,0.04505208333333333,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.1,103,103,0.047135416666666666,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.12,123,123,0.05260416666666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.15,154,154,0.05065104166666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.173828,178,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.2,205,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.3,308,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_desc,0.5,512,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.01,11,11,0.04140625,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.03,31,31,0.048177083333333336,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.05,52,52,0.056380208333333334,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.07,72,72,0.05651041666666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.1,103,103,0.05963541666666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.12,123,123,0.064453125,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.15,154,154,0.062890625,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.173828,178,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.2,205,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.3,308,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,hilp_imp_asc,0.5,512,178,0.0609375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.01,11,11,0.458984375,0.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.03,31,31,1.7967447916666666,1.375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.05,52,52,1.7784505208333334,1.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.07,72,72,2.5396158854166666,1.875,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.1,103,103,2.93359375,2.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.12,123,123,4.095345052083333,3.09375,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.15,154,154,4.262337239583333,3.25,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.173828,178,178,4.609700520833333,3.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.2,205,178,4.609700520833333,3.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.3,308,178,4.609700520833333,3.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,C_imp_asc,0.5,512,178,4.609700520833333,3.5,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.01,11,11,0.034375,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.03,31,31,0.03919270833333333,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.05,52,52,0.04049479166666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.07,72,72,0.046875,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.1,103,103,0.047526041666666664,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.12,123,123,0.05169270833333333,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.15,154,154,0.052083333333333336,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.173828,178,178,0.05651041666666667,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.2,205,205,0.07473958333333333,0.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.3,308,308,0.083203125,0.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,D_imp_asc,0.5,512,334,0.10052083333333334,0.125,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.01,11,11,0.03567708333333333,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.03,31,31,0.035546875,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.05,52,52,0.03671875,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.07,72,72,0.037890625,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.1,103,103,0.039322916666666666,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.12,123,123,0.041015625,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.15,154,154,0.06106770833333333,0.0,960,20,80,334,178,178,334
llama-3.1-8b-instruct,43,diag_rank_asc,0.173828,178,178,0.078515625,0.0,960,20,80,334,178,178,334
