pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,pluswounwe,nilflerpem,5636,2139,plus,nil,4,4,0.2724609375
pair1,moungisgel,grodosplu,54409,10707,mou,gro,4,4,0.40625
pair2,girlatrei,sonsaprom,3828,26419,girl,sons,3,3,0.44921875
pair3,slelweisgem,tesflurfait,20328,51309,sle,tes,4,4,0.015625
pair4,braszeintok,kirzelplom,46496,73730,bras,kir,4,4,0.375
pair5,mongelpreir,sousnoltour,75642,32592,mong,sous,4,4,0.2265625
pair6,lurziflein,nourormoum,47747,46798,lur,nour,4,4,0.1640625
pair7,spurkervour,maiszergut,60131,10071,spur,mais,4,4,0.46875
pair8,pleikrawait,wisfliskrum,7245,19112,ple,wis,4,4,0.0625
pair9,treiszesaim,sleismurbam,4353,20328,tre,sle,4,4,0.1328125
pair10,parflainzin,resseinpeik,1370,594,par,res,4,4,0.2265625
pair11,presdeidom,tinmoulrok,1685,25826,pres,tin,4,4,0.4609375
pair12,kirraissper,nazailgral,73730,46902,kir,naz,4,4,0.4375
pair13,wurtrouslum,trouprabruk,21248,26483,wur,trou,4,4,0.171875
pair14,saisbronwim,zoungairmu,63762,73221,sais,zou,4,4,0.4375
pair15,fillintrit,parbiset,5266,1370,fill,par,3,3,0.36328125
pair16,pemaisgris,kulbromen,55284,75516,pem,kul,4,4,0.453125
pair17,bonzertrou,welkobok,7970,12724,bon,wel,4,4,0.2734375
pair18,kenflinwor,prolkonzat,50332,29520,ken,prol,4,4,0.328125
pair19,broplailbak,speilbonsur,2967,2395,bro,spe,4,4,0.1171875
pair20,winlesgou,virgrotom,3243,9043,win,vir,4,4,0.13818359375
pair21,lenflosgat,sulgralfai,2479,26858,len,sul,4,4,0.10546875
pair22,fleistrilzu,riprortrai,13259,24169,fle,rip,4,4,0.1796875
pair23,grainslanbe,burfirnul,41936,7951,grains,bur,3,3,0.388671875
pair24,dusloulfar,kupralslu,53532,81808,dus,kup,4,4,0.171875
pair25,rouweisfaik,nosrilmeit,29465,12155,rou,nos,4,4,0.2890625
