model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair0,P,0.0,-0.0625,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair0,Q,0.0,0.0,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair1,P,0.0,-0.125,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair1,Q,0.0,0.0625,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair2,P,-0.125,0.0,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair2,Q,0.0,-0.0625,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair3,P,0.0,0.0625,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair3,Q,0.0,0.0,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair4,P,-0.125,0.0,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair4,Q,0.0,0.0,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair5,P,-0.125,0.0,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair5,Q,0.0,0.0625,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair6,P,0.125,-0.125,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair6,Q,0.0,0.125,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair7,P,-0.125,0.0625,46878,46878,115,341,397,171,0.020833333333333332,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,SAME-OPP,pair7,Q,0.0,0.0,4382,4382,115,341,397,171,0.020833333333333332,0.2509546428918838
