layer,head,causal_imp
0,0,0.019791666666666666
0,1,0.019791666666666666
0,2,0.016666666666666666
0,3,0.023958333333333335
0,4,0.020833333333333332
0,5,0.020833333333333332
0,6,0.023958333333333335
0,7,0.01875
0,8,0.026041666666666668
0,9,0.016666666666666666
0,10,0.017708333333333333
0,11,0.014583333333333334
0,12,0.019791666666666666
0,13,0.015625
0,14,0.019791666666666666
0,15,0.014583333333333334
0,16,0.020833333333333332
0,17,0.023958333333333335
0,18,0.014583333333333334
0,19,0.022916666666666665
0,20,0.019791666666666666
0,21,0.023958333333333335
0,22,0.025
0,23,0.020833333333333332
0,24,0.016666666666666666
0,25,0.014583333333333334
0,26,0.017708333333333333
0,27,0.022916666666666665
0,28,0.020833333333333332
0,29,0.015625
0,30,0.019791666666666666
0,31,0.008333333333333333
1,0,0.01875
1,1,0.015625
1,2,0.020833333333333332
1,3,0.019791666666666666
1,4,0.017708333333333333
1,5,0.022916666666666665
1,6,0.016666666666666666
1,7,0.017708333333333333
1,8,0.023958333333333335
1,9,0.017708333333333333
1,10,0.019791666666666666
1,11,0.021875
1,12,0.022916666666666665
1,13,0.026041666666666668
1,14,0.022916666666666665
1,15,0.019791666666666666
1,16,0.017708333333333333
1,17,0.016666666666666666
1,18,0.028125
1,19,0.015625
1,20,0.020833333333333332
1,21,0.020833333333333332
1,22,0.022916666666666665
1,23,0.016666666666666666
1,24,0.016666666666666666
1,25,0.027083333333333334
1,26,0.017708333333333333
1,27,0.023958333333333335
1,28,0.01875
1,29,0.023958333333333335
1,30,0.025
1,31,0.01875
2,0,0.017708333333333333
2,1,0.017708333333333333
2,2,0.016666666666666666
2,3,0.01875
2,4,0.020833333333333332
2,5,0.017708333333333333
2,6,0.019791666666666666
2,7,0.021875
2,8,0.01875
2,9,0.016666666666666666
2,10,0.017708333333333333
2,11,0.022916666666666665
2,12,0.017708333333333333
2,13,0.01875
2,14,0.021875
2,15,0.017708333333333333
2,16,0.020833333333333332
2,17,0.015625
2,18,0.016666666666666666
2,19,0.026041666666666668
2,20,0.019791666666666666
2,21,0.015625
2,22,0.021875
2,23,0.01875
2,24,0.015625
2,25,0.017708333333333333
2,26,0.021875
2,27,0.019791666666666666
2,28,0.021875
2,29,0.017708333333333333
2,30,0.025
2,31,0.023958333333333335
3,0,0.016666666666666666
3,1,0.013541666666666667
3,2,0.022916666666666665
3,3,0.016666666666666666
3,4,0.01875
3,5,0.022916666666666665
3,6,0.019791666666666666
3,7,0.027083333333333334
3,8,0.016666666666666666
3,9,0.01875
3,10,0.027083333333333334
3,11,0.022916666666666665
3,12,0.017708333333333333
3,13,0.01875
3,14,0.020833333333333332
3,15,0.026041666666666668
3,16,0.016666666666666666
3,17,0.01875
3,18,0.019791666666666666
3,19,0.026041666666666668
3,20,0.021875
3,21,0.020833333333333332
3,22,0.01875
3,23,0.017708333333333333
3,24,0.021875
3,25,0.015625
3,26,0.022916666666666665
3,27,0.01875
3,28,0.020833333333333332
3,29,0.021875
3,30,0.021875
3,31,0.01875
4,0,0.022916666666666665
4,1,0.01875
4,2,0.017708333333333333
4,3,0.022916666666666665
4,4,0.019791666666666666
4,5,0.023958333333333335
4,6,0.016666666666666666
4,7,0.026041666666666668
4,8,0.019791666666666666
4,9,0.019791666666666666
4,10,0.017708333333333333
4,11,0.016666666666666666
4,12,0.023958333333333335
4,13,0.025
4,14,0.023958333333333335
4,15,0.022916666666666665
4,16,0.021875
4,17,0.016666666666666666
4,18,0.017708333333333333
4,19,0.023958333333333335
4,20,0.019791666666666666
4,21,0.01875
4,22,0.021875
4,23,0.017708333333333333
4,24,0.023958333333333335
4,25,0.017708333333333333
4,26,0.019791666666666666
4,27,0.019791666666666666
4,28,0.017708333333333333
4,29,0.019791666666666666
4,30,0.021875
4,31,0.017708333333333333
5,0,0.019791666666666666
5,1,0.027083333333333334
5,2,0.01875
5,3,0.020833333333333332
5,4,0.01875
5,5,0.029166666666666667
5,6,0.019791666666666666
5,7,0.025
5,8,0.019791666666666666
5,9,0.013541666666666667
5,10,0.022916666666666665
5,11,0.022916666666666665
5,12,0.01875
5,13,0.019791666666666666
5,14,0.021875
5,15,0.01875
5,16,0.029166666666666667
5,17,0.022916666666666665
5,18,0.025
5,19,0.01875
5,20,0.016666666666666666
5,21,0.023958333333333335
5,22,0.01875
5,23,0.016666666666666666
5,24,0.022916666666666665
5,25,0.01875
5,26,0.021875
5,27,0.011458333333333333
5,28,0.020833333333333332
5,29,0.019791666666666666
5,30,0.01875
5,31,0.01875
6,0,0.029166666666666667
6,1,0.019791666666666666
6,2,0.017708333333333333
6,3,0.022916666666666665
6,4,0.022916666666666665
6,5,0.022916666666666665
6,6,0.016666666666666666
6,7,0.036458333333333336
6,8,0.017708333333333333
6,9,0.01875
6,10,0.015625
6,11,0.021875
6,12,0.019791666666666666
6,13,0.020833333333333332
6,14,0.016666666666666666
6,15,0.020833333333333332
6,16,0.017708333333333333
6,17,0.015625
6,18,0.017708333333333333
6,19,0.023958333333333335
6,20,0.026041666666666668
6,21,0.022916666666666665
6,22,0.021875
6,23,0.022916666666666665
6,24,0.019791666666666666
6,25,0.026041666666666668
6,26,0.020833333333333332
6,27,0.019791666666666666
6,28,0.023958333333333335
6,29,0.020833333333333332
6,30,0.01875
6,31,0.025
7,0,0.015625
7,1,0.020833333333333332
7,2,0.016666666666666666
7,3,0.023958333333333335
7,4,0.023958333333333335
7,5,0.021875
7,6,0.022916666666666665
7,7,0.025
7,8,0.019791666666666666
7,9,0.01875
7,10,0.026041666666666668
7,11,0.023958333333333335
7,12,0.022916666666666665
7,13,0.023958333333333335
7,14,0.021875
7,15,0.016666666666666666
7,16,0.022916666666666665
7,17,0.019791666666666666
7,18,0.019791666666666666
7,19,0.017708333333333333
7,20,0.019791666666666666
7,21,0.025
7,22,0.019791666666666666
7,23,0.021875
7,24,0.034375
7,25,0.020833333333333332
7,26,0.022916666666666665
7,27,0.016666666666666666
7,28,0.022916666666666665
7,29,0.022916666666666665
7,30,0.021875
7,31,0.028125
8,0,0.01875
8,1,0.015625
8,2,0.023958333333333335
8,3,0.023958333333333335
8,4,0.017708333333333333
8,5,0.020833333333333332
8,6,0.035416666666666666
8,7,0.020833333333333332
8,8,0.023958333333333335
8,9,0.025
8,10,0.028125
8,11,0.01875
8,12,0.016666666666666666
8,13,0.023958333333333335
8,14,0.025
8,15,0.025
8,16,0.027083333333333334
8,17,0.020833333333333332
8,18,0.019791666666666666
8,19,0.023958333333333335
8,20,0.020833333333333332
8,21,0.026041666666666668
8,22,0.023958333333333335
8,23,0.01875
8,24,0.011458333333333333
8,25,0.022916666666666665
8,26,0.026041666666666668
8,27,0.019791666666666666
8,28,0.017708333333333333
8,29,0.017708333333333333
8,30,0.019791666666666666
8,31,0.019791666666666666
9,0,0.017708333333333333
9,1,0.021875
9,2,0.023958333333333335
9,3,0.025
9,4,0.021875
9,5,0.034375
9,6,0.023958333333333335
9,7,0.019791666666666666
9,8,0.026041666666666668
9,9,0.022916666666666665
9,10,0.019791666666666666
9,11,0.025
9,12,0.019791666666666666
9,13,0.030208333333333334
9,14,0.021875
9,15,0.020833333333333332
9,16,0.019791666666666666
9,17,0.019791666666666666
9,18,0.022916666666666665
9,19,0.029166666666666667
9,20,0.029166666666666667
9,21,0.021875
9,22,0.023958333333333335
9,23,0.019791666666666666
9,24,0.025
9,25,0.025
9,26,0.025
9,27,0.020833333333333332
9,28,0.025
9,29,0.034375
9,30,0.019791666666666666
9,31,0.03229166666666667
10,0,0.026041666666666668
10,1,0.03854166666666667
10,2,0.021875
10,3,0.028125
10,4,0.030208333333333334
10,5,0.017708333333333333
10,6,0.01875
10,7,0.03229166666666667
10,8,0.019791666666666666
10,9,0.019791666666666666
10,10,0.01875
10,11,0.015625
10,12,0.020833333333333332
10,13,0.01875
10,14,0.023958333333333335
10,15,0.020833333333333332
10,16,0.023958333333333335
10,17,0.017708333333333333
10,18,0.058333333333333334
10,19,0.03125
10,20,0.01875
10,21,0.029166666666666667
10,22,0.027083333333333334
10,23,0.020833333333333332
10,24,0.035416666666666666
10,25,0.021875
10,26,0.041666666666666664
10,27,0.023958333333333335
10,28,0.022916666666666665
10,29,0.025
10,30,0.025
10,31,0.016666666666666666
11,0,0.027083333333333334
11,1,0.019791666666666666
11,2,0.04583333333333333
11,3,0.020833333333333332
11,4,0.021875
11,5,0.023958333333333335
11,6,0.016666666666666666
11,7,0.017708333333333333
11,8,0.022916666666666665
11,9,0.026041666666666668
11,10,0.014583333333333334
11,11,0.035416666666666666
11,12,0.021875
11,13,0.030208333333333334
11,14,0.03125
11,15,0.015625
11,16,0.017708333333333333
11,17,0.026041666666666668
11,18,0.027083333333333334
11,19,0.020833333333333332
11,20,0.019791666666666666
11,21,0.027083333333333334
11,22,0.026041666666666668
11,23,0.01875
11,24,0.028125
11,25,0.035416666666666666
11,26,0.034375
11,27,0.041666666666666664
11,28,0.017708333333333333
11,29,0.022916666666666665
11,30,0.014583333333333334
11,31,0.025
12,0,0.08020833333333334
12,1,0.025
12,2,0.034375
12,3,0.034375
12,4,0.065625
12,5,0.052083333333333336
12,6,0.08125
12,7,0.040625
12,8,0.01875
12,9,0.09583333333333334
12,10,0.03333333333333333
12,11,0.03229166666666667
12,12,0.04583333333333333
12,13,0.040625
12,14,0.03229166666666667
12,15,0.05625
12,16,0.028125
12,17,0.022916666666666665
12,18,0.023958333333333335
12,19,0.017708333333333333
12,20,0.029166666666666667
12,21,0.04479166666666667
12,22,0.027083333333333334
12,23,0.04479166666666667
12,24,0.051041666666666666
12,25,0.057291666666666664
12,26,0.01875
12,27,0.035416666666666666
12,28,0.04583333333333333
12,29,0.020833333333333332
12,30,0.027083333333333334
12,31,0.05
13,0,0.04479166666666667
13,1,0.034375
13,2,0.028125
13,3,0.03854166666666667
13,4,0.034375
13,5,0.03854166666666667
13,6,0.021875
13,7,0.221875
13,8,0.035416666666666666
13,9,0.034375
13,10,0.041666666666666664
