pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,zurvaspit,wonillam,17761,2834,zur,won,3,3,0.125
pair1,plainfolgus,ninnekrour,14733,20120,plain,nin,4,4,0.03125
pair2,spinfeneir,borpleispat,12903,32732,spin,bor,4,4,0.15625
pair3,songreistim,webelfeim,5609,3566,song,web,4,4,0.46875
pair4,kostusprais,tetrunmoul,63511,28953,kost,tet,4,4,0.09375
pair5,faisnoveit,treirwilnu,66517,4353,fais,tre,4,4,0.40625
pair6,vosorspaik,fenzeirdais,26317,44585,vos,fen,4,4,0.09375
pair7,treitruprut,naskeisloun,4353,17580,tre,nas,4,4,0.46875
pair8,firtrarspel,grinflermai,35092,59380,fir,grin,4,4,0.46875
pair9,saldellek,golourzuk,4371,45549,sal,gol,4,4,0.40625
