trial_id,base_trial_id,crel,attr_dim,pair_id,word_a,word_b,correct_answer,incorrect_answer,swap_type,prompt
POSBIAS_MORE_P_pair0,MORE_P_pair0,MORE,P,pair0,zurvaspit,wonillam,wonillam,zurvaspit,MORE_LESS_word_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is more/greater than zurvaspit in all respects

Q: Which is more bold, wonillam or zurvaspit? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair0,LESS_P_pair0,LESS,P,pair0,zurvaspit,wonillam,zurvaspit,wonillam,MORE_LESS_word_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is less/smaller than zurvaspit in all respects

Q: Which is more bold, wonillam or zurvaspit? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair0,MORE_Q_pair0,MORE,Q,pair0,zurvaspit,wonillam,wonillam,zurvaspit,MORE_LESS_word_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is more/greater than zurvaspit in all respects

Q: Which is more complex, wonillam or zurvaspit? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair0,LESS_Q_pair0,LESS,Q,pair0,zurvaspit,wonillam,zurvaspit,wonillam,MORE_LESS_word_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is less/smaller than zurvaspit in all respects

Q: Which is more complex, wonillam or zurvaspit? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair0,SAME_P_pair0,SAME,P,pair0,zurvaspit,wonillam,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the same as zurvaspit

Q: Is wonillam cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair0,OPP_P_pair0,OPP,P,pair0,zurvaspit,wonillam,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the opposite of zurvaspit

Q: Is wonillam cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair0,SAME_Q_pair0,SAME,Q,pair0,zurvaspit,wonillam,complex,simple,SAMEOPP_choice_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the same as zurvaspit

Q: Is wonillam simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair0,OPP_Q_pair0,OPP,Q,pair0,zurvaspit,wonillam,simple,complex,SAMEOPP_choice_swap,"Definitions:
- zurvaspit: something that is bold and complex
- wonillam is the opposite of zurvaspit

Q: Is wonillam simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair1,MORE_P_pair1,MORE,P,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,MORE_LESS_word_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is more/greater than plainfolgus in all respects

Q: Which is more bold, ninnekrour or plainfolgus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair1,LESS_P_pair1,LESS,P,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,MORE_LESS_word_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is less/smaller than plainfolgus in all respects

Q: Which is more bold, ninnekrour or plainfolgus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair1,MORE_Q_pair1,MORE,Q,pair1,plainfolgus,ninnekrour,ninnekrour,plainfolgus,MORE_LESS_word_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is more/greater than plainfolgus in all respects

Q: Which is more complex, ninnekrour or plainfolgus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair1,LESS_Q_pair1,LESS,Q,pair1,plainfolgus,ninnekrour,plainfolgus,ninnekrour,MORE_LESS_word_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is less/smaller than plainfolgus in all respects

Q: Which is more complex, ninnekrour or plainfolgus? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair1,SAME_P_pair1,SAME,P,pair1,plainfolgus,ninnekrour,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the same as plainfolgus

Q: Is ninnekrour cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair1,OPP_P_pair1,OPP,P,pair1,plainfolgus,ninnekrour,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the opposite of plainfolgus

Q: Is ninnekrour cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair1,SAME_Q_pair1,SAME,Q,pair1,plainfolgus,ninnekrour,complex,simple,SAMEOPP_choice_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the same as plainfolgus

Q: Is ninnekrour simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair1,OPP_Q_pair1,OPP,Q,pair1,plainfolgus,ninnekrour,simple,complex,SAMEOPP_choice_swap,"Definitions:
- plainfolgus: something that is bold and complex
- ninnekrour is the opposite of plainfolgus

Q: Is ninnekrour simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair2,MORE_P_pair2,MORE,P,pair2,spinfeneir,borpleispat,borpleispat,spinfeneir,MORE_LESS_word_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is more/greater than spinfeneir in all respects

Q: Which is more bold, borpleispat or spinfeneir? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair2,LESS_P_pair2,LESS,P,pair2,spinfeneir,borpleispat,spinfeneir,borpleispat,MORE_LESS_word_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is less/smaller than spinfeneir in all respects

Q: Which is more bold, borpleispat or spinfeneir? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair2,MORE_Q_pair2,MORE,Q,pair2,spinfeneir,borpleispat,borpleispat,spinfeneir,MORE_LESS_word_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is more/greater than spinfeneir in all respects

Q: Which is more complex, borpleispat or spinfeneir? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair2,LESS_Q_pair2,LESS,Q,pair2,spinfeneir,borpleispat,spinfeneir,borpleispat,MORE_LESS_word_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is less/smaller than spinfeneir in all respects

Q: Which is more complex, borpleispat or spinfeneir? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair2,SAME_P_pair2,SAME,P,pair2,spinfeneir,borpleispat,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the same as spinfeneir

Q: Is borpleispat cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair2,OPP_P_pair2,OPP,P,pair2,spinfeneir,borpleispat,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the opposite of spinfeneir

Q: Is borpleispat cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair2,SAME_Q_pair2,SAME,Q,pair2,spinfeneir,borpleispat,complex,simple,SAMEOPP_choice_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the same as spinfeneir

Q: Is borpleispat simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair2,OPP_Q_pair2,OPP,Q,pair2,spinfeneir,borpleispat,simple,complex,SAMEOPP_choice_swap,"Definitions:
- spinfeneir: something that is bold and complex
- borpleispat is the opposite of spinfeneir

Q: Is borpleispat simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_P_pair3,MORE_P_pair3,MORE,P,pair3,songreistim,webelfeim,webelfeim,songreistim,MORE_LESS_word_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is more/greater than songreistim in all respects

Q: Which is more bold, webelfeim or songreistim? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_P_pair3,LESS_P_pair3,LESS,P,pair3,songreistim,webelfeim,songreistim,webelfeim,MORE_LESS_word_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is less/smaller than songreistim in all respects

Q: Which is more bold, webelfeim or songreistim? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_MORE_Q_pair3,MORE_Q_pair3,MORE,Q,pair3,songreistim,webelfeim,webelfeim,songreistim,MORE_LESS_word_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is more/greater than songreistim in all respects

Q: Which is more complex, webelfeim or songreistim? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_LESS_Q_pair3,LESS_Q_pair3,LESS,Q,pair3,songreistim,webelfeim,songreistim,webelfeim,MORE_LESS_word_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is less/smaller than songreistim in all respects

Q: Which is more complex, webelfeim or songreistim? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_P_pair3,SAME_P_pair3,SAME,P,pair3,songreistim,webelfeim,bold,cautious,SAMEOPP_choice_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the same as songreistim

Q: Is webelfeim cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_P_pair3,OPP_P_pair3,OPP,P,pair3,songreistim,webelfeim,cautious,bold,SAMEOPP_choice_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the opposite of songreistim

Q: Is webelfeim cautious or bold? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_SAME_Q_pair3,SAME_Q_pair3,SAME,Q,pair3,songreistim,webelfeim,complex,simple,SAMEOPP_choice_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the same as songreistim

Q: Is webelfeim simple or complex? (Answer EXACTLY ONE WORD)
A:"
POSBIAS_OPP_Q_pair3,OPP_Q_pair3,OPP,Q,pair3,songreistim,webelfeim,simple,complex,SAMEOPP_choice_swap,"Definitions:
- songreistim: something that is bold and complex
- webelfeim is the opposite of songreistim

Q: Is webelfeim simple or complex? (Answer EXACTLY ONE WORD)
A:"
