layer,head,cell,rsa_max,perturbation_L2,importance_quartile
0,0,D,0.15065200626850128,0.11982739716768265,Q1
0,1,hihp,0.5061792135238647,0.4517817199230194,Q3
0,2,D,0.27179867029190063,0.08938831835985184,Q1
0,3,D,0.43409761786460876,0.20378325879573822,Q2
0,4,D,0.2762625515460968,0.08888158947229385,Q1
0,5,D,0.34896528720855713,0.05179859325289726,Q1
0,6,D,0.25437694787979126,0.06296032667160034,Q1
0,7,D,0.21966245770454407,0.042165789753198624,Q1
0,8,D,0.4025382399559021,0.0651395320892334,Q2
0,9,D,0.15146252512931824,0.07152806967496872,Q1
0,10,D,0.33307090401649475,0.03197856992483139,Q1
0,11,D,0.2874898910522461,0.10284394770860672,Q1
0,12,D,0.3521682918071747,0.09656911343336105,Q1
0,13,D,0.14398761093616486,0.07107865810394287,Q1
0,14,D,0.3022366464138031,0.10631842166185379,Q1
0,15,D,0.17355714738368988,0.18314723670482635,Q1
0,16,D,0.3651371896266937,0.028141552582383156,Q1
0,17,D,0.39041000604629517,0.09237940609455109,Q1
0,18,D,0.10248218476772308,0.07277040928602219,Q1
0,19,D,0.04739752039313316,0.10371323674917221,Q1
0,20,D,0.11720016598701477,0.0675240159034729,Q1
0,21,D,0.07673493027687073,0.09460410475730896,Q1
0,22,hihp,0.5619805455207825,0.4449799954891205,Q3
0,23,D,0.21078380942344666,0.06399784982204437,Q1
0,24,D,0.1415894776582718,0.07167495787143707,Q1
0,25,hilp,0.5931166410446167,0.06269638240337372,Q4
0,26,D,0.06655710190534592,0.09180545061826706,Q1
0,27,D,0.09754016250371933,0.06384643912315369,Q1
0,28,D,0.060813575983047485,0.09054240584373474,Q1
0,29,D,0.20920385420322418,0.06487630307674408,Q1
0,30,D,0.48151183128356934,0.03277438133955002,Q2
0,31,D,0.48696231842041016,0.17299821972846985,Q2
0,32,D,0.04117552191019058,0.07131936401128769,Q1
0,33,D,0.31885361671447754,0.04992564395070076,Q1
0,34,D,0.155618354678154,0.09824183583259583,Q1
0,35,D,0.23946687579154968,0.040443096309900284,Q1
0,36,D,0.2344612181186676,0.04908797889947891,Q1
0,37,D,0.2069278359413147,0.0699445903301239,Q1
0,38,D,0.2832772135734558,0.08313294500112534,Q1
0,39,hilp,0.5061057209968567,0.19492752850055695,Q3
1,0,D,0.4986502528190613,0.13484764099121094,Q2
1,1,D,0.48061856627464294,0.08822527527809143,Q2
1,2,hilp,0.6047022342681885,0.04420206695795059,Q4
1,3,D,0.49508532881736755,0.3601912260055542,Q2
1,4,D,0.4942724108695984,0.1302560269832611,Q2
1,5,hilp,0.635472297668457,0.13365915417671204,Q4
1,6,D,0.1879464089870453,0.07739980518817902,Q1
1,7,hilp,0.6015408039093018,0.07018421590328217,Q4
1,8,D,0.33553147315979004,0.07239658385515213,Q1
1,9,D,0.08448817580938339,0.061659522354602814,Q1
1,10,D,0.4987805485725403,0.09727411717176437,Q2
1,11,D,0.4348493814468384,0.06375011056661606,Q2
1,12,D,0.40436169505119324,0.09145811200141907,Q2
1,13,hilp,0.5216386914253235,0.07002716511487961,Q3
1,14,hilp,0.5342632532119751,0.10871278494596481,Q3
1,15,D,0.25728076696395874,0.09288402646780014,Q1
1,16,D,0.41031506657600403,0.11946678906679153,Q2
1,17,D,0.054745376110076904,0.06563213467597961,Q1
1,18,hilp,0.5671562552452087,0.08784318715333939,Q3
1,19,hilp,0.6131421327590942,0.0735904723405838,Q4
1,20,D,0.45000916719436646,0.050743479281663895,Q2
1,21,hilp,0.5274388790130615,0.08144796639680862,Q3
1,22,hilp,0.5723104476928711,0.05967258661985397,Q4
1,23,D,0.1951538622379303,0.04735378921031952,Q1
1,24,D,0.13865317404270172,0.065435029566288,Q1
1,25,hilp,0.5624366998672485,0.06466583907604218,Q3
1,26,D,0.1652303785085678,0.06791120767593384,Q1
1,27,hilp,0.5176242589950562,0.10939952731132507,Q3
1,28,D,0.41405487060546875,0.06728394329547882,Q2
1,29,D,0.476142019033432,0.17226283252239227,Q2
1,30,hilp,0.5045995712280273,0.1523011028766632,Q3
1,31,hilp,0.5081596374511719,0.08151645958423615,Q3
1,32,D,0.5003020763397217,0.08696059137582779,Q2
1,33,D,0.17351695895195007,0.05589777231216431,Q1
1,34,D,0.4841534495353699,0.051393162459135056,Q2
1,35,D,0.21680128574371338,0.06414154171943665,Q1
1,36,D,0.34624338150024414,0.08994618058204651,Q1
1,37,hilp,0.6127039194107056,0.054382774978876114,Q4
1,38,D,0.4937058687210083,0.20836244523525238,Q2
1,39,D,0.48906856775283813,0.10276109725236893,Q2
2,0,D,0.4270399808883667,0.06042473390698433,Q2
2,1,hilp,0.5505599975585938,0.06671533733606339,Q3
2,2,hilp,0.5058600902557373,0.16718998551368713,Q3
2,3,D,0.19467252492904663,0.07519121468067169,Q1
2,4,D,0.29495859146118164,0.07716876268386841,Q1
2,5,D,0.4819006025791168,0.1279069185256958,Q2
2,6,hilp,0.5034233331680298,0.0932515487074852,Q3
2,7,D,0.49958139657974243,0.0788104385137558,Q2
2,8,D,0.09908604621887207,0.12532615661621094,Q1
2,9,hilp,0.5240720510482788,0.15110360085964203,Q3
2,10,hilp,0.5510978102684021,0.13459369540214539,Q3
2,11,D,0.1929890662431717,0.05267058312892914,Q1
2,12,D,0.1571350246667862,0.09271064400672913,Q1
2,13,D,0.4988507926464081,0.30389145016670227,Q2
2,14,D,0.06405384838581085,0.07703981548547745,Q1
2,15,D,0.40913936495780945,0.0952305719256401,Q2
2,16,hilp,0.5272968411445618,0.13172873854637146,Q3
2,17,D,0.09422807395458221,0.09339960664510727,Q1
2,18,D,0.5015479326248169,0.19365276396274567,Q2
2,19,hilp,0.5186020731925964,0.25917917490005493,Q3
2,20,D,0.481309711933136,0.09850557148456573,Q2
2,21,hilp,0.505606472492218,0.10540115833282471,Q3
2,22,D,0.49775373935699463,0.11801180988550186,Q2
2,23,hilp,0.537284791469574,0.11879074573516846,Q3
2,24,D,0.4490891396999359,0.09936805814504623,Q2
2,25,D,0.3610262870788574,0.14100320637226105,Q1
2,26,hilp,0.5136685967445374,0.13570795953273773,Q3
2,27,hilp,0.5854983329772949,0.0654803216457367,Q4
2,28,D,0.07090413570404053,0.07548131048679352,Q1
2,29,D,0.398695707321167,0.183262437582016,Q2
2,30,D,0.4552682638168335,0.15316015481948853,Q2
2,31,hilp,0.5068322420120239,0.18396387994289398,Q3
2,32,D,0.28085988759994507,0.05911369249224663,Q1
2,33,hihp,0.5196681618690491,0.4087556302547455,Q3
2,34,D,0.16484485566616058,0.065898597240448,Q1
2,35,D,0.11596681922674179,0.06273452937602997,Q1
2,36,hilp,0.5120179653167725,0.11803640425205231,Q3
2,37,D,0.5015808939933777,0.09671849757432938,Q2
2,38,D,0.4165797233581543,0.12461361289024353,Q2
2,39,D,0.1402144730091095,0.09265521168708801,Q1
3,0,D,0.17422395944595337,0.0802452489733696,Q1
3,1,D,0.2779991328716278,0.08344059437513351,Q1
3,2,hilp,0.5073204040527344,0.2379017174243927,Q3
3,3,D,0.2905426323413849,0.1290091574192047,Q1
3,4,D,0.24895478785037994,0.0676257461309433,Q1
3,5,D,0.49759748578071594,0.2131536453962326,Q2
3,6,D,0.2484702616930008,0.07499326765537262,Q1
3,7,D,0.4906826317310333,0.13496823608875275,Q2
3,8,hilp,0.5177298784255981,0.247493177652359,Q3
3,9,D,0.48620331287384033,0.2717854380607605,Q2
3,10,D,0.49737468361854553,0.272814005613327,Q2
3,11,hilp,0.5305598974227905,0.2972733974456787,Q3
3,12,hilp,0.5128730535507202,0.1959310919046402,Q3
3,13,D,0.49368757009506226,0.33234572410583496,Q2
3,14,D,0.4909927248954773,0.17089968919754028,Q2
3,15,C,0.496650755405426,0.4743453562259674,Q2
3,16,D,0.4757593274116516,0.19843290746212006,Q2
3,17,D,0.4763312041759491,0.193210631608963,Q2
3,18,D,0.3691829442977905,0.10231485962867737,Q1
3,19,D,0.4310010075569153,0.15890339016914368,Q2
3,20,D,0.3213382363319397,0.1763806939125061,Q1
3,21,D,0.18694400787353516,0.11374781280755997,Q1
3,22,hilp,0.5173614025115967,0.3587743937969208,Q3
3,23,hilp,0.5034900307655334,0.19116529822349548,Q3
3,24,D,0.4254361093044281,0.17891032993793488,Q2
3,25,C,0.48865753412246704,0.486284077167511,Q2
3,26,D,0.13192631304264069,0.07254821807146072,Q1
3,27,D,0.4992910623550415,0.35797175765037537,Q2
3,28,D,0.17457705736160278,0.08509834855794907,Q1
3,29,D,0.49299195408821106,0.24741102755069733,Q2
3,30,C,0.49302202463150024,0.5635625720024109,Q2
3,31,hilp,0.529732346534729,0.1892017126083374,Q3
3,32,D,0.4980922043323517,0.31387850642204285,Q2
3,33,D,0.14893648028373718,0.08022654801607132,Q1
3,34,D,0.3683108687400818,0.08603571355342865,Q1
3,35,D,0.39181941747665405,0.08772982656955719,Q1
3,36,D,0.49446970224380493,0.17478498816490173,Q2
3,37,D,0.4959631860256195,0.23600414395332336,Q2
3,38,D,0.49183523654937744,0.3186120092868805,Q2
3,39,D,0.4861469864845276,0.1651650071144104,Q2
4,0,hilp,0.865351676940918,0.36071348190307617,Q4
4,1,D,0.29135918617248535,0.21016252040863037,Q1
4,2,C,0.48506614565849304,0.44968315958976746,Q2
4,3,D,0.4970666468143463,0.2057117074728012,Q2
4,4,D,0.49152636528015137,0.36319079995155334,Q2
4,5,D,0.5018962025642395,0.36391884088516235,Q2
4,6,D,0.4906773567199707,0.3722732365131378,Q2
4,7,C,0.4933202266693115,0.5005864500999451,Q2
4,8,D,0.4862532615661621,0.3508843183517456,Q2
4,9,D,0.3560246229171753,0.09823112934827805,Q1
4,10,hihp,0.5362384915351868,1.2138029336929321,Q3
4,11,D,0.34276819229125977,0.09413427114486694,Q1
4,12,hihp,0.5170294046401978,0.805167555809021,Q3
4,13,D,0.491044282913208,0.19057229161262512,Q2
4,14,hihp,0.514594316482544,0.4028007984161377,Q3
4,15,hilp,0.5174624919891357,0.26463496685028076,Q3
4,16,D,0.30763769149780273,0.08403423428535461,Q1
4,17,D,0.2893912196159363,0.11411632597446442,Q1
4,18,C,0.4983857274055481,0.4156782031059265,Q2
4,19,C,0.4419407248497009,0.5972704887390137,Q2
4,20,D,0.42918774485588074,0.13330765068531036,Q2
4,21,D,0.4933291971683502,0.28734537959098816,Q2
4,22,D,0.4944046437740326,0.36611494421958923,Q2
4,23,D,0.3118150532245636,0.09077446162700653,Q1
4,24,D,0.3654642105102539,0.09648635238409042,Q1
4,25,hilp,0.51100093126297,0.25797611474990845,Q3
4,26,D,0.4043353796005249,0.10743588209152222,Q2
4,27,D,0.42082810401916504,0.10885785520076752,Q2
4,28,D,0.488819420337677,0.2573179304599762,Q2
4,29,D,0.4905987083911896,0.23221716284751892,Q2
4,30,D,0.43664711713790894,0.20822256803512573,Q2
4,31,D,0.4355732798576355,0.13433997333049774,Q2
4,32,D,0.4526931047439575,0.16021618247032166,Q2
4,33,D,0.4256150722503662,0.08367639034986496,Q2
4,34,D,0.4554029405117035,0.17591671645641327,Q2
