layer,head,perturbation_L2
0,0,0.11982739716768265
0,1,0.4517817199230194
0,2,0.08938831835985184
0,3,0.20378325879573822
0,4,0.08888158947229385
0,5,0.05179859325289726
0,6,0.06296032667160034
0,7,0.042165789753198624
0,8,0.0651395320892334
0,9,0.07152806967496872
0,10,0.03197856992483139
0,11,0.10284394770860672
0,12,0.09656911343336105
0,13,0.07107865810394287
0,14,0.10631842166185379
0,15,0.18314723670482635
0,16,0.028141552582383156
0,17,0.09237940609455109
0,18,0.07277040928602219
0,19,0.10371323674917221
0,20,0.0675240159034729
0,21,0.09460410475730896
0,22,0.4449799954891205
0,23,0.06399784982204437
0,24,0.07167495787143707
0,25,0.06269638240337372
0,26,0.09180545061826706
0,27,0.06384643912315369
0,28,0.09054240584373474
0,29,0.06487630307674408
0,30,0.03277438133955002
0,31,0.17299821972846985
0,32,0.07131936401128769
0,33,0.04992564395070076
0,34,0.09824183583259583
0,35,0.040443096309900284
0,36,0.04908797889947891
0,37,0.0699445903301239
0,38,0.08313294500112534
0,39,0.19492752850055695
1,0,0.13484764099121094
1,1,0.08822527527809143
1,2,0.04420206695795059
1,3,0.3601912260055542
1,4,0.1302560269832611
1,5,0.13365915417671204
1,6,0.07739980518817902
1,7,0.07018421590328217
1,8,0.07239658385515213
1,9,0.061659522354602814
1,10,0.09727411717176437
1,11,0.06375011056661606
1,12,0.09145811200141907
1,13,0.07002716511487961
1,14,0.10871278494596481
1,15,0.09288402646780014
1,16,0.11946678906679153
1,17,0.06563213467597961
1,18,0.08784318715333939
1,19,0.0735904723405838
1,20,0.050743479281663895
1,21,0.08144796639680862
1,22,0.05967258661985397
1,23,0.04735378921031952
1,24,0.065435029566288
1,25,0.06466583907604218
1,26,0.06791120767593384
1,27,0.10939952731132507
1,28,0.06728394329547882
1,29,0.17226283252239227
1,30,0.1523011028766632
1,31,0.08151645958423615
1,32,0.08696059137582779
1,33,0.05589777231216431
1,34,0.051393162459135056
1,35,0.06414154171943665
1,36,0.08994618058204651
1,37,0.054382774978876114
1,38,0.20836244523525238
1,39,0.10276109725236893
2,0,0.06042473390698433
2,1,0.06671533733606339
2,2,0.16718998551368713
2,3,0.07519121468067169
2,4,0.07716876268386841
2,5,0.1279069185256958
2,6,0.0932515487074852
2,7,0.0788104385137558
2,8,0.12532615661621094
2,9,0.15110360085964203
2,10,0.13459369540214539
2,11,0.05267058312892914
2,12,0.09271064400672913
2,13,0.30389145016670227
2,14,0.07703981548547745
2,15,0.0952305719256401
2,16,0.13172873854637146
2,17,0.09339960664510727
