model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair0,P,-2.65625,8.71875,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair0,Q,-2.375,5.7421875,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair1,P,-1.96875,5.19140625,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair1,Q,-1.84375,3.453125,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair2,P,-1.65625,7.71875,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair2,Q,-1.3125,3.859375,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair3,P,-1.65625,7.484375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair3,Q,-1.46875,3.859375,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair4,P,-2.53125,5.1015625,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair4,Q,-2.75,2.921875,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair5,P,-3.46875,7.2890625,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair5,Q,-2.84375,3.9375,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair6,P,-3.40625,6.62890625,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair6,Q,-2.09375,4.90625,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair7,P,-3.40625,7.3515625,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair7,Q,-2.34375,4.671875,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair8,P,-2.875,8.515625,14265,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair8,Q,-2.125,5.953125,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair9,P,-1.625,7.00390625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-OPP,pair9,Q,-1.3125,6.2080078125,6485,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair0,P,-0.34375,4.734375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair0,Q,-0.125,3.18328857421875,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair1,P,-0.25,3.0234375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair1,Q,0.0,1.15625,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair2,P,-0.1875,2.8359375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair2,Q,-0.15625,1.65234375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair3,P,-0.28125,2.60546875,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair3,Q,-0.125,1.283203125,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair4,P,-0.375,2.33984375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair4,Q,-0.28125,1.33984375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair5,P,-0.5625,4.962890625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair5,Q,-0.3125,2.32366943359375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair6,P,-0.65625,3.46875,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair6,Q,-0.25,2.1171875,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair7,P,-0.46875,3.5712890625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair7,Q,-0.03125,2.27734375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair8,P,-0.25,4.40625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair8,Q,0.03125,3.015625,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair9,P,-0.28125,4.1875,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-MORE,pair9,Q,-0.1875,2.78515625,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair0,P,-0.03125,2.5625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair0,Q,-0.21875,1.55859375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair1,P,0.0625,1.21875,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair1,Q,0.03125,0.921875,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair2,P,0.15625,2.5625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair2,Q,0.0,1.748046875,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair3,P,-0.03125,1.287109375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair3,Q,0.0,1.310546875,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair4,P,0.1875,1.15625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair4,Q,0.03125,1.8125,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair5,P,0.15625,3.96875,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair5,Q,-0.09375,2.984375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair6,P,0.125,2.15234375,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair6,Q,-0.0625,1.03125,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair7,P,-0.09375,1.87890625,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair7,Q,-0.15625,1.1484375,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair8,P,0.0,2.578125,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair8,Q,-0.0625,1.57421875,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair9,P,0.0625,1.3828125,14265,14265
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,SAME-LESS,pair9,Q,0.0,1.140625,6485,6485
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,OPP-MORE,pair0,P,-0.09375,3.8125,46878,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,OPP-MORE,pair0,Q,-0.25,4.078125,4382,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,OPP-MORE,pair1,P,-0.21875,4.109375,46878,46878
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,OPP-MORE,pair1,Q,-0.3125,2.359375,4382,4382
olmo-2-13b-instruct,hihp_imp_desc,0.01,16,16,OPP-MORE,pair2,P,0.0,10.24609375,46878,46878
