group,ratio,n_trials,n_valid,accuracy_clean,accuracy_patched,accuracy_degradation,flip_rate,target_logit_delta_mean,source_logit_delta_mean
C_imp_asc,0.05,120,120,1.0,0.8833333333333333,0.1166666666666667,0.11666666666666667,-0.937109375,5.4859059651692705
C_imp_asc,0.1,120,120,1.0,0.8166666666666667,0.18333333333333335,0.18333333333333332,-1.83779296875,6.9979502360026045
C_imp_asc,0.2,120,120,1.0,0.13333333333333333,0.8666666666666667,0.8666666666666667,-4.8541748046875,10.145736694335938
C_imp_asc,0.3,120,120,1.0,0.13333333333333333,0.8666666666666667,0.8666666666666667,-4.8541748046875,10.145736694335938
C_imp_asc,0.5,120,120,1.0,0.13333333333333333,0.8666666666666667,0.8666666666666667,-4.8541748046875,10.145736694335938
D_imp_asc,0.05,120,120,1.0,1.0,0.0,0.0,-0.00078125,0.025023396809895834
D_imp_asc,0.1,120,120,1.0,1.0,0.0,0.0,0.021875,0.12436014811197917
D_imp_asc,0.2,120,120,1.0,1.0,0.0,0.0,0.018229166666666668,-0.06947657267252604
D_imp_asc,0.3,120,120,1.0,1.0,0.0,0.0,0.017447916666666667,-0.06630961100260417
D_imp_asc,0.5,120,120,1.0,1.0,0.0,0.0,0.02421875,-0.0947509765625
hihp_imp_desc,0.05,120,120,1.0,0.38333333333333336,0.6166666666666667,0.6166666666666667,-3.227433268229167,5.865192667643229
hihp_imp_desc,0.1,120,120,1.0,0.275,0.725,0.725,-3.987432861328125,8.89664815266927
hihp_imp_desc,0.2,120,120,1.0,0.0,1.0,1.0,-7.495906575520833,10.39586690266927
hihp_imp_desc,0.3,120,120,1.0,0.0,1.0,1.0,-8.801678466796876,10.555632527669271
hihp_imp_desc,0.5,120,120,1.0,0.0,1.0,1.0,-8.7995361328125,10.557195027669271
hilp_imp_desc,0.05,120,120,1.0,1.0,0.0,0.0,-0.03671875,-0.13441365559895832
hilp_imp_desc,0.1,120,120,1.0,1.0,0.0,0.0,-0.022916666666666665,-0.1467498779296875
hilp_imp_desc,0.2,120,120,1.0,1.0,0.0,0.0,0.03411458333333333,-0.25311075846354164
hilp_imp_desc,0.3,120,120,1.0,1.0,0.0,0.0,0.03411458333333333,-0.25311075846354164
hilp_imp_desc,0.5,120,120,1.0,1.0,0.0,0.0,0.03411458333333333,-0.25311075846354164
