group,ratio,crel_pair,pair_id,attr_dim,tgt_tok,argmax_clean,argmax_patched,is_correct_clean,is_correct_patched,is_argmax_flip,target_logit_delta_signed,source_logit_delta_signed
hihp_imp_desc,0.05,SAME-OPP,pair0,P,14265,14265,46878,1,0,1,-13.90625,9.78125
hihp_imp_desc,0.05,SAME-OPP,pair0,Q,6485,6485,4382,1,0,1,-8.703125,6.5859375
hihp_imp_desc,0.05,SAME-OPP,pair1,P,14265,14265,46878,1,0,1,-8.7890625,6.81640625
hihp_imp_desc,0.05,SAME-OPP,pair1,Q,6485,6485,4382,1,0,1,-4.234375,4.328125
hihp_imp_desc,0.05,SAME-OPP,pair2,P,14265,14265,46878,1,0,1,-10.40625,9.65625
hihp_imp_desc,0.05,SAME-OPP,pair2,Q,6485,6485,4382,1,0,1,-7.26171875,4.703125
hihp_imp_desc,0.05,SAME-OPP,pair3,P,14265,14265,46878,1,0,1,-10.8125,9.046875
hihp_imp_desc,0.05,SAME-OPP,pair3,Q,6485,6485,4382,1,0,1,-6.47265625,5.078125
hihp_imp_desc,0.05,SAME-OPP,pair4,P,14265,14265,46878,1,0,1,-12.5625,6.3203125
hihp_imp_desc,0.05,SAME-OPP,pair4,Q,6485,6485,4382,1,0,1,-7.27734375,3.640625
hihp_imp_desc,0.05,SAME-OPP,pair5,P,14265,14265,46878,1,0,1,-13.09375,8.6015625
hihp_imp_desc,0.05,SAME-OPP,pair5,Q,6485,6485,4382,1,0,1,-7.2822265625,4.96875
hihp_imp_desc,0.05,SAME-OPP,pair6,P,14265,14265,46878,1,0,1,-14.125,7.69140625
hihp_imp_desc,0.05,SAME-OPP,pair6,Q,6485,6485,4382,1,0,1,-7.1328125,5.9375
hihp_imp_desc,0.05,SAME-OPP,pair7,P,14265,14265,46878,1,0,1,-10.84375,8.2578125
hihp_imp_desc,0.05,SAME-OPP,pair7,Q,6485,6485,4382,1,0,1,-5.71484375,5.390625
hihp_imp_desc,0.05,SAME-OPP,pair8,P,14265,14265,46878,1,0,1,-15.0625,9.140625
hihp_imp_desc,0.05,SAME-OPP,pair8,Q,6485,6485,4382,1,0,1,-8.09375,6.609375
hihp_imp_desc,0.05,SAME-OPP,pair9,P,14265,14265,46878,1,0,1,-12.15625,8.94140625
hihp_imp_desc,0.05,SAME-OPP,pair9,Q,6485,6485,4382,1,0,1,-7.056640625,7.6142578125
hihp_imp_desc,0.05,SAME-MORE,pair0,P,14265,14265,46878,1,0,1,-3.859375,6.65625
hihp_imp_desc,0.05,SAME-MORE,pair0,Q,6485,6485,4382,1,0,1,-1.75,4.85516357421875
hihp_imp_desc,0.05,SAME-MORE,pair1,P,14265,14265,46878,1,0,1,-1.96875,6.734375
hihp_imp_desc,0.05,SAME-MORE,pair1,Q,6485,6485,6485,1,1,0,-0.03125,3.9609375
hihp_imp_desc,0.05,SAME-MORE,pair2,P,14265,14265,14265,1,1,0,-1.125,6.0625
hihp_imp_desc,0.05,SAME-MORE,pair2,Q,6485,6485,4382,1,0,1,-0.9375,2.42578125
hihp_imp_desc,0.05,SAME-MORE,pair3,P,14265,14265,46878,1,0,1,-2.78125,3.18359375
hihp_imp_desc,0.05,SAME-MORE,pair3,Q,6485,6485,6485,1,1,0,-0.78125,2.173828125
hihp_imp_desc,0.05,SAME-MORE,pair4,P,14265,14265,46878,1,0,1,-3.1875,5.0703125
hihp_imp_desc,0.05,SAME-MORE,pair4,Q,6485,6485,4382,1,0,1,-1.09375,2.14453125
hihp_imp_desc,0.05,SAME-MORE,pair5,P,14265,14265,46878,1,0,1,-3.40625,7.59375
hihp_imp_desc,0.05,SAME-MORE,pair5,Q,6485,6485,4382,1,0,1,-1.15625,3.66741943359375
hihp_imp_desc,0.05,SAME-MORE,pair6,P,14265,14265,46878,1,0,1,-3.6875,6.1015625
hihp_imp_desc,0.05,SAME-MORE,pair6,Q,6485,6485,6485,1,1,0,-1.15625,4.5234375
hihp_imp_desc,0.05,SAME-MORE,pair7,P,14265,14265,46878,1,0,1,-3.921875,7.296875
hihp_imp_desc,0.05,SAME-MORE,pair7,Q,6485,6485,4382,1,0,1,-1.125,5.484375
hihp_imp_desc,0.05,SAME-MORE,pair8,P,14265,14265,46878,1,0,1,-2.59375,7.1328125
hihp_imp_desc,0.05,SAME-MORE,pair8,Q,6485,6485,4382,1,0,1,-1.21875,6.673095703125
hihp_imp_desc,0.05,SAME-MORE,pair9,P,14265,14265,46878,1,0,1,-2.03125,5.890625
hihp_imp_desc,0.05,SAME-MORE,pair9,Q,6485,6485,6485,1,1,0,-0.71875,3.65234375
hihp_imp_desc,0.05,SAME-LESS,pair0,P,14265,14265,14265,1,1,0,-0.90625,0.984375
hihp_imp_desc,0.05,SAME-LESS,pair0,Q,6485,6485,6485,1,1,0,-0.625,0.08984375
hihp_imp_desc,0.05,SAME-LESS,pair1,P,14265,14265,14265,1,1,0,-0.375,1.6015625
hihp_imp_desc,0.05,SAME-LESS,pair1,Q,6485,6485,6485,1,1,0,-0.03125,0.46875
hihp_imp_desc,0.05,SAME-LESS,pair2,P,14265,14265,14265,1,1,0,-0.3125,3.15625
hihp_imp_desc,0.05,SAME-LESS,pair2,Q,6485,6485,6485,1,1,0,-0.28125,0.2744140625
hihp_imp_desc,0.05,SAME-LESS,pair3,P,14265,14265,14265,1,1,0,-0.71875,-0.578125
hihp_imp_desc,0.05,SAME-LESS,pair3,Q,6485,6485,6485,1,1,0,-0.375,-0.15771484375
hihp_imp_desc,0.05,SAME-LESS,pair4,P,14265,14265,14265,1,1,0,-0.4375,-1.078125
hihp_imp_desc,0.05,SAME-LESS,pair4,Q,6485,6485,6485,1,1,0,-0.625,-0.65625
hihp_imp_desc,0.05,SAME-LESS,pair5,P,14265,14265,14265,1,1,0,-0.53125,6.6875
hihp_imp_desc,0.05,SAME-LESS,pair5,Q,6485,6485,6485,1,1,0,-0.4375,2.890625
hihp_imp_desc,0.05,SAME-LESS,pair6,P,14265,14265,14265,1,1,0,-0.4375,3.17578125
hihp_imp_desc,0.05,SAME-LESS,pair6,Q,6485,6485,6485,1,1,0,-0.5625,0.8359375
