model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
olmo-2-13b-instruct,43,hihp_imp_desc,0.01,16,16,1.0950032552083333,0.65625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.03,48,48,2.154853089650472,1.53125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.05,80,80,2.335762532552083,1.84375,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.07,112,112,2.588828277587891,2.15625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.1,160,160,4.14995714823405,3.8046875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.12,192,192,4.997997649510702,4.796875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.15,240,240,5.979296072324117,5.73046875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.181875,291,291,8.4131911277771,7.857666015625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.2,320,320,8.453485933939616,8.082275390625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.3,480,480,8.947493584950765,8.431640625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_desc,0.5,800,509,9.53237632115682,8.98046875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.01,16,16,0.16106770833333334,0.125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.03,48,48,0.16735026041666667,0.125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.05,80,80,0.19710286458333334,0.15625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.07,112,112,0.20914713541666666,0.1875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.1,160,160,0.2845377604166667,0.21875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.12,192,192,0.2960611979166667,0.21875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.15,240,240,0.45901692708333336,0.359375,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.181875,291,291,1.1500244140625,0.90625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.2,320,320,1.3913736979166667,1.21875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.3,480,480,7.71963373819987,6.7265625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hihp_imp_asc,0.5,800,509,9.53237632115682,8.98046875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.01,16,16,0.037337239583333334,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.03,48,48,0.04479166666666667,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.05,80,80,0.056380208333333334,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.07,112,112,0.05888671875,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.1,160,160,0.06487630208333334,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.12,192,192,0.06591796875,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.15,240,240,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.181875,291,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.2,320,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.3,480,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_desc,0.5,800,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.01,16,16,0.030891927083333333,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.03,48,48,0.036848958333333334,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.05,80,80,0.04443359375,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.07,112,112,0.04889322916666667,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.1,160,160,0.05185546875,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.12,192,192,0.05416666666666667,0.03125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.15,240,240,0.06214192708333333,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.181875,291,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.2,320,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.3,480,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,hilp_imp_asc,0.5,800,291,0.06943359375,0.0625,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,C_imp_asc,0.01,16,16,0.7669993082682292,0.53125,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,C_imp_asc,0.03,48,48,1.8506006876627603,1.21875,960,20,80,509,291,291,509
olmo-2-13b-instruct,43,C_imp_asc,0.05,80,80,2.950304158528646,2.125,960,20,80,509,291,291,509
