pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,moungisgel,grodosplu,54409,10707,mou,gro,4,4,0.0625
pair1,brairaisgor,nirfaigum,20716,97924,bra,nir,4,4,0.21875
pair2,slelweisgem,tesflurfait,20328,51309,sle,tes,4,4,0.3125
pair3,deborbul,setulvil,4316,743,deb,set,3,3,0.125
pair4,bolvonwai,fuslalspur,21434,69578,bol,fus,4,4,0.09375
pair5,boulnoloun,runpourgrul,30870,1629,bou,run,4,4,0.09375
pair6,sinmoulsoun,tarbreinlom,7589,12460,sin,tar,5,5,0.46875
pair7,treleirspik,ferstolbrut,4353,18728,tre,fer,5,5,0.3125
pair8,posflanoul,serlusteit,1153,1446,pos,ser,4,4,0.03125
pair9,dilzairplan,birtrikul,19371,15606,dil,bir,4,4,0.09375
pair10,presdeidom,tinmoulrok,1685,25826,pres,tin,4,4,0.25
pair11,noudeitrek,wanprormu,20117,78853,nou,wan,4,4,0.15625
pair12,nosrilrait,firgresdin,12155,35092,nos,fir,3,3,0.0
pair13,rabrosprei,wespleplim,31674,98268,rab,wes,4,4,0.375
pair14,vaispizuk,nurdastrot,91507,12500,vais,nur,4,4,0.0625
pair15,zagongei,genrilgot,90119,4173,zag,gen,3,3,0.09375
pair16,narplenril,zelfastrous,44669,60111,nar,zelf,3,3,0.375
pair17,gonlikit,lolbitril,64592,28509,gon,lol,3,3,0.03125
pair18,fleistrilzu,riprortrai,13259,24169,fle,rip,4,4,0.3125
pair19,wonflanbras,keinweldok,2834,49903,won,kein,4,4,0.09375
pair20,breinulde,dirwesmur,5395,5534,bre,dir,4,4,0.21875
pair21,baikreflik,prinwantous,80287,64127,baik,prin,3,3,0.09375
pair22,nilmelnik,brotonpram,2139,2967,nil,bro,4,4,0.09375
pair23,rouweisfaik,nosrilmeit,29465,12155,rou,nos,4,4,0.09375
pair24,murmeinrim,krairutrout,8309,97511,mur,kra,4,4,0.25
pair25,bronmikait,delpleilrim,31071,1624,bron,del,4,4,0.4375
pair26,sageinmol,dingaltus,39361,67542,sage,ding,3,3,0.1875
pair27,pelbeilkain,roubronlaim,12077,29465,pel,rou,4,4,0.03125
pair28,renslentrem,porstaiswil,5790,4247,ren,por,4,4,0.3125
pair29,speifanbour,molpirbom,2395,22337,spe,mol,4,4,0.03125
pair30,vaislenspar,nounzibrous,91507,38021,vais,noun,4,4,0.4375
pair31,florwunbin,probreipan,70240,3650,flor,prob,4,4,0.09375
pair32,mouprosspot,tanilkreis,54409,14531,mou,tan,4,4,0.1875
pair33,boszeistat,nounailslut,43746,38021,bos,noun,4,4,0.15625
pair34,moskrador,zouvalgom,23518,73221,mos,zou,3,3,0.125
pair35,lolronpreis,kraizoulfun,28509,97511,lol,kra,4,4,0.28125
pair36,munbirstis,funfeiveir,51079,2523,mun,fun,4,4,0.1875
pair37,plaintaiwen,sostasnum,24261,79048,plaint,sost,3,3,0.4375
pair38,brairfogus,gesstounzor,20716,14748,bra,ges,5,5,0.4375
pair39,nunstonflal,filspasza,29195,1488,nun,fil,4,4,0.4375
pair40,spermirrom,traslusset,40699,34264,sperm,tras,3,3,0.15625
pair41,boslesstek,resgruzam,43746,594,bos,res,4,4,0.125
pair42,nilspulsoul,soukasmil,2139,5945,nil,sou,4,4,0.28125
pair43,doulenleis,graigrennut,25595,28699,dou,gra,4,4,0.28125
pair44,silmespout,murunfoul,5554,8309,sil,mur,4,4,0.40625
pair45,fastorprait,dirsurkrel,5043,5534,fast,dir,4,4,0.28125
pair46,speistinkol,greprunpar,2395,2886,spe,gre,4,4,0.3125
pair47,virflalmor,dolbounslek,9043,21968,vir,dol,4,4,0.4375
pair48,sleirgistim,masturspaim,20328,19218,sle,mast,4,4,0.03125
pair49,rolbrerlen,slaflotik,18147,32993,rol,sla,4,4,0.0
pair50,silmespout,ladoltrous,5554,58725,sil,lad,4,4,0.34375
pair51,tousweinmu,paispainsik,26725,62383,tous,pais,4,4,0.1875
pair52,paplislei,brozarflam,26365,2967,pap,bro,4,4,0.1875
pair53,krairrorbil,pleikessein,97511,7245,kra,ple,3,3,0.46875
pair54,lunfourbrok,spurkuskoun,33073,60131,lun,spur,4,4,0.03125
pair55,panprusloul,bulstargaim,7363,7173,pan,bul,4,4,0.0625
pair56,visleldes,nerbrasstas,2145,41283,vis,ner,4,4,0.40625
pair57,tolwalprus,seinmunstem,39674,19910,tol,sein,3,3,0.0
pair58,baswispeit,gingrinsler,3122,67193,bas,ging,4,4,0.0
pair59,fibrosnouk,punfesvur,16178,8474,fib,pun,5,5,0.25
pair60,pingourbo,gigounplet,31098,23401,ping,gig,3,3,0.1875
pair61,dabunprour,grisgineim,83868,86930,dab,gris,4,4,0.46875
pair62,vanwelprou,lanbaswou,5355,31791,van,lan,4,4,0.28125
pair63,trafloutas,lilplilspek,9781,62471,tra,lil,4,4,0.1875
pair64,silzaimem,fenmankris,5554,44585,sil,fen,4,4,0.28125
