model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair0,P,0.03125,0.15625,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair0,Q,0.125,0.21875,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair1,P,0.0625,0.015625,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair1,Q,0.03125,0.0625,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair2,P,0.09375,0.21875,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair2,Q,0.0625,0.0703125,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair3,P,0.125,0.09375,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair3,Q,0.03125,0.0,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair4,P,0.09375,0.21875,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair4,Q,0.03125,0.125,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair5,P,0.09375,0.25,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair5,Q,0.0,0.10546875,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair6,P,0.125,0.15625,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair6,Q,0.0,0.130859375,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair7,P,0.0,0.15625,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair7,Q,0.0,0.029296875,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair8,P,0.03125,0.25,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair8,Q,0.0625,0.15625,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair9,P,0.0,0.15625,46878,46878,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-OPP,pair9,Q,0.03125,0.015625,4382,4382,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair0,P,-0.1875,0.125,2834,2834,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair0,Q,-0.25,0.125,2834,2834,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair1,P,-0.125,-0.15625,20120,20120,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair1,Q,-0.09375,0.09375,20120,20120,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair2,P,0.03125,-0.03125,32732,32732,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair2,Q,0.0625,0.15625,32732,32732,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair3,P,-0.09375,0.28125,3566,3566,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair3,Q,0.0,0.46875,3566,3566,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair4,P,0.09375,-0.1875,28953,28953,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair4,Q,0.03125,0.0625,28953,28953,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair5,P,0.0625,0.0,4353,4353,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair5,Q,0.0625,0.09375,4353,4353,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair6,P,0.0625,-0.0625,44585,44585,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair6,Q,-0.0625,0.0625,44585,44585,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair7,P,-0.125,-0.0625,17580,17580,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair7,Q,-0.125,0.0625,17580,17580,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair8,P,-0.0625,-0.15625,59380,59380,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair8,Q,0.0,0.03125,59380,59380,211,555,589,245,0.021354166666666667,0.40073688328266144
olmo-2-13b-instruct,C_p_imp_asc,0.05,r0.05,80,80,SAME-MORE,pair9,P,-0.125,0.0625,45549,45549,211,555,589,245,0.021354166666666667,0.40073688328266144
