trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
SAME_P_pair0,SAME,P,pair0,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair0,OPP,P,pair0,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair0,SAME,Q,pair0,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair0,OPP,Q,pair0,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair0,MORE,P,pair0,linprarsun,molwainmom,9805,21609, lin, mol,4,4
LESS_P_pair0,LESS,P,pair0,molwainmom,linprarsun,21609,9805, mol, lin,4,4
MORE_Q_pair0,MORE,Q,pair0,linprarsun,molwainmom,9805,21609, lin, mol,4,4
LESS_Q_pair0,LESS,Q,pair0,molwainmom,linprarsun,21609,9805, mol, lin,4,4
SAME_P_pair1,SAME,P,pair1,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair1,OPP,P,pair1,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair1,SAME,Q,pair1,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair1,OPP,Q,pair1,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair1,MORE,P,pair1,mensoskris,borpleispat,16049,31632, mens, bor,4,4
LESS_P_pair1,LESS,P,pair1,borpleispat,mensoskris,31632,16049, bor, mens,4,4
MORE_Q_pair1,MORE,Q,pair1,mensoskris,borpleispat,16049,31632, mens, bor,4,4
LESS_Q_pair1,LESS,Q,pair1,borpleispat,mensoskris,31632,16049, bor, mens,4,4
SAME_P_pair2,SAME,P,pair2,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair2,OPP,P,pair2,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair2,SAME,Q,pair2,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair2,OPP,Q,pair2,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair2,MORE,P,pair2,bailmaiboun,zalmaimair,24479,65558, bail, zal,4,4
LESS_P_pair2,LESS,P,pair2,zalmaimair,bailmaiboun,65558,24479, zal, bail,4,4
MORE_Q_pair2,MORE,Q,pair2,bailmaiboun,zalmaimair,24479,65558, bail, zal,4,4
LESS_Q_pair2,LESS,Q,pair2,zalmaimair,bailmaiboun,65558,24479, zal, bail,4,4
SAME_P_pair3,SAME,P,pair3,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair3,OPP,P,pair3,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair3,SAME,Q,pair3,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair3,OPP,Q,pair3,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair3,MORE,P,pair3,merflouller,plelsasrait,4704,7100, mer, ple,4,4
LESS_P_pair3,LESS,P,pair3,plelsasrait,merflouller,7100,4704, ple, mer,4,4
MORE_Q_pair3,MORE,Q,pair3,merflouller,plelsasrait,4704,7100, mer, ple,4,4
LESS_Q_pair3,LESS,Q,pair3,plelsasrait,merflouller,7100,4704, ple, mer,4,4
SAME_P_pair4,SAME,P,pair4,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair4,OPP,P,pair4,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair4,SAME,Q,pair4,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair4,OPP,Q,pair4,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair4,MORE,P,pair4,prisflismou,mourpouspan,51479,66583, pris, mour,4,4
LESS_P_pair4,LESS,P,pair4,mourpouspan,prisflismou,66583,51479, mour, pris,4,4
MORE_Q_pair4,MORE,Q,pair4,prisflismou,mourpouspan,51479,66583, pris, mour,4,4
LESS_Q_pair4,LESS,Q,pair4,mourpouspan,prisflismou,66583,51479, mour, pris,4,4
SAME_P_pair5,SAME,P,pair5,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair5,OPP,P,pair5,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair5,SAME,Q,pair5,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair5,OPP,Q,pair5,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair5,MORE,P,pair5,trevasleir,sleinvelwen,4258,19747, tre, sle,4,4
LESS_P_pair5,LESS,P,pair5,sleinvelwen,trevasleir,19747,4258, sle, tre,4,4
MORE_Q_pair5,MORE,Q,pair5,trevasleir,sleinvelwen,4258,19747, tre, sle,4,4
LESS_Q_pair5,LESS,Q,pair5,sleinvelwen,trevasleir,19747,4258, sle, tre,4,4
SAME_P_pair6,SAME,P,pair6,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair6,OPP,P,pair6,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair6,SAME,Q,pair6,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair6,OPP,Q,pair6,simple,complex,4285,6351, simple, complex,1,1
