group,ratio,crel_pair,pair_id,attr_dim,tgt_tok,argmax_clean,argmax_patched,is_correct_clean,is_correct_patched,is_argmax_flip,target_logit_delta_signed,source_logit_delta_signed
hihp_imp_desc,0.05,SAME-OPP,pair0,P,13939,13939,45778,1,0,1,-7.75,13.375
hihp_imp_desc,0.05,SAME-OPP,pair0,Q,6351,6351,4285,1,0,1,-6.75,15.75
hihp_imp_desc,0.05,SAME-OPP,pair1,P,13939,13939,13939,1,1,0,-4.375,11.625
hihp_imp_desc,0.05,SAME-OPP,pair1,Q,6351,6351,4285,1,0,1,-4.5,15.375
hihp_imp_desc,0.05,SAME-OPP,pair2,P,13939,46002,45778,0,0,1,-6.375,12.5
hihp_imp_desc,0.05,SAME-OPP,pair2,Q,6351,6351,4285,1,0,1,-6.875,16.25
hihp_imp_desc,0.05,SAME-OPP,pair3,P,13939,13939,45778,1,0,1,-6.25,11.625
hihp_imp_desc,0.05,SAME-OPP,pair3,Q,6351,6351,4285,1,0,1,-6.5,17.25
hihp_imp_desc,0.05,SAME-OPP,pair4,P,13939,13939,13939,1,1,0,-4.875,10.5
hihp_imp_desc,0.05,SAME-OPP,pair4,Q,6351,6351,4285,1,0,1,-6.5,15.875
hihp_imp_desc,0.05,SAME-OPP,pair5,P,13939,13939,45778,1,0,1,-7.75,12.875
hihp_imp_desc,0.05,SAME-OPP,pair5,Q,6351,6351,4285,1,0,1,-5.5,14.625
hihp_imp_desc,0.05,SAME-OPP,pair6,P,13939,13939,13939,1,1,0,-4.125,10.75
hihp_imp_desc,0.05,SAME-OPP,pair6,Q,6351,6351,4285,1,0,1,-4.5,16.5
hihp_imp_desc,0.05,SAME-OPP,pair7,P,13939,13939,45778,1,0,1,-7.75,14.5
hihp_imp_desc,0.05,SAME-OPP,pair7,Q,6351,6351,4285,1,0,1,-6.0,16.0
hihp_imp_desc,0.05,SAME-OPP,pair8,P,13939,13939,13939,1,1,0,-4.625,11.25
hihp_imp_desc,0.05,SAME-OPP,pair8,Q,6351,6351,4285,1,0,1,-6.0,15.875
hihp_imp_desc,0.05,SAME-OPP,pair9,P,13939,13939,45778,1,0,1,-6.0,12.3125
hihp_imp_desc,0.05,SAME-OPP,pair9,Q,6351,6351,4285,1,0,1,-5.25,15.125
hihp_imp_desc,0.05,SAME-MORE,pair0,P,13939,13939,46002,1,0,1,-4.625,-1.78125
hihp_imp_desc,0.05,SAME-MORE,pair0,Q,6351,6351,6351,1,1,0,-5.25,-1.8125
hihp_imp_desc,0.05,SAME-MORE,pair1,P,13939,13939,46002,1,0,1,-3.25,1.0625
hihp_imp_desc,0.05,SAME-MORE,pair1,Q,6351,6351,6351,1,1,0,-3.0,1.3125
hihp_imp_desc,0.05,SAME-MORE,pair2,P,13939,46002,46002,0,0,0,-4.375,-0.8125
hihp_imp_desc,0.05,SAME-MORE,pair2,Q,6351,6351,22096,1,0,1,-5.5,-1.5625
hihp_imp_desc,0.05,SAME-MORE,pair3,P,13939,13939,46002,1,0,1,-4.0,-0.625
hihp_imp_desc,0.05,SAME-MORE,pair3,Q,6351,6351,22096,1,0,1,-3.0,0.75
hihp_imp_desc,0.05,SAME-MORE,pair4,P,13939,13939,46002,1,0,1,-3.0,1.3125
hihp_imp_desc,0.05,SAME-MORE,pair4,Q,6351,6351,6351,1,1,0,-3.75,2.875
hihp_imp_desc,0.05,SAME-MORE,pair5,P,13939,13939,46002,1,0,1,-4.5,1.0
hihp_imp_desc,0.05,SAME-MORE,pair5,Q,6351,6351,22096,1,0,1,-4.0,-0.4375
hihp_imp_desc,0.05,SAME-MORE,pair6,P,13939,13939,46002,1,0,1,-3.375,-0.6875
hihp_imp_desc,0.05,SAME-MORE,pair6,Q,6351,6351,22096,1,0,1,-4.0,0.15625
hihp_imp_desc,0.05,SAME-MORE,pair7,P,13939,13939,46002,1,0,1,-4.0,0.9375
hihp_imp_desc,0.05,SAME-MORE,pair7,Q,6351,6351,22096,1,0,1,-2.75,-1.9375
hihp_imp_desc,0.05,SAME-MORE,pair8,P,13939,13939,46002,1,0,1,-3.375,-1.75
hihp_imp_desc,0.05,SAME-MORE,pair8,Q,6351,6351,6351,1,1,0,-3.25,-2.0625
hihp_imp_desc,0.05,SAME-MORE,pair9,P,13939,13939,46002,1,0,1,-4.0,1.0
hihp_imp_desc,0.05,SAME-MORE,pair9,Q,6351,6351,22096,1,0,1,-3.25,-0.125
hihp_imp_desc,0.05,SAME-LESS,pair0,P,13939,13939,13939,1,1,0,-3.875,0.0
hihp_imp_desc,0.05,SAME-LESS,pair0,Q,6351,6351,6351,1,1,0,-3.25,-1.4375
hihp_imp_desc,0.05,SAME-LESS,pair1,P,13939,13939,13939,1,1,0,-2.625,-0.625
hihp_imp_desc,0.05,SAME-LESS,pair1,Q,6351,6351,6351,1,1,0,-3.75,2.625
hihp_imp_desc,0.05,SAME-LESS,pair2,P,13939,46002,46002,0,0,0,-4.0,0.953125
hihp_imp_desc,0.05,SAME-LESS,pair2,Q,6351,6351,22096,1,0,1,-4.0,1.0
hihp_imp_desc,0.05,SAME-LESS,pair3,P,13939,13939,13939,1,1,0,-3.125,0.5
hihp_imp_desc,0.05,SAME-LESS,pair3,Q,6351,6351,6351,1,1,0,-3.25,0.0625
hihp_imp_desc,0.05,SAME-LESS,pair4,P,13939,13939,13939,1,1,0,-2.625,2.09375
hihp_imp_desc,0.05,SAME-LESS,pair4,Q,6351,6351,6351,1,1,0,-4.0,3.125
hihp_imp_desc,0.05,SAME-LESS,pair5,P,13939,13939,46002,1,0,1,-3.5,1.5625
hihp_imp_desc,0.05,SAME-LESS,pair5,Q,6351,6351,6351,1,1,0,-3.75,1.75
hihp_imp_desc,0.05,SAME-LESS,pair6,P,13939,13939,13939,1,1,0,-2.625,0.9375
hihp_imp_desc,0.05,SAME-LESS,pair6,Q,6351,6351,6351,1,1,0,-3.0,1.75
hihp_imp_desc,0.05,SAME-LESS,pair7,P,13939,13939,46002,1,0,1,-3.375,-1.375
hihp_imp_desc,0.05,SAME-LESS,pair7,Q,6351,6351,6351,1,1,0,-2.75,-1.375
hihp_imp_desc,0.05,SAME-LESS,pair8,P,13939,13939,13939,1,1,0,-3.375,-0.625
hihp_imp_desc,0.05,SAME-LESS,pair8,Q,6351,6351,6351,1,1,0,-4.0,-0.5625
hihp_imp_desc,0.05,SAME-LESS,pair9,P,13939,13939,13939,1,1,0,-2.75,0.3125
hihp_imp_desc,0.05,SAME-LESS,pair9,Q,6351,6351,6351,1,1,0,-3.0,-1.625
