group,ratio,n_trials,flip_rate_normalized
hihp_imp_desc,0.05,120,0.1333
hihp_imp_desc,0.1,120,0.35
hihp_imp_desc,0.2,120,0.8583
hihp_imp_desc,0.3,120,1.0
hihp_imp_desc,0.5,120,1.0
hilp_imp_desc,0.05,120,0.0
hilp_imp_desc,0.1,120,0.0
hilp_imp_desc,0.2,120,0.0
hilp_imp_desc,0.3,120,0.0
hilp_imp_desc,0.5,120,0.0
C_imp_asc,0.05,120,0.2917
C_imp_asc,0.1,120,0.475
C_imp_asc,0.2,120,0.75
C_imp_asc,0.3,120,0.75
C_imp_asc,0.5,120,0.75
D_imp_asc,0.05,120,0.0
D_imp_asc,0.1,120,0.0
D_imp_asc,0.2,120,0.0
D_imp_asc,0.3,120,0.0
D_imp_asc,0.5,120,0.0
