model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.01,20,20,0.4197916666666667,0.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.03,58,58,0.6481770833333333,0.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.05,96,96,2.0015625,1.0,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.07,135,135,2.4484375,1.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.1,192,192,4.2087890625,3.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.12,231,231,4.989778645833334,4.75,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.15,288,288,7.085611979166667,7.75,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.156771,302,302,8.586360677083333,9.0,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.2,384,384,8.5544921875,9.0,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.3,576,576,17.24676513671875,16.65625,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_desc,0.5,960,659,18.102001953125,17.71875,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.01,20,20,0.1864583333333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.03,58,58,0.448828125,0.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.05,96,96,0.5608072916666667,0.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.07,135,135,0.6234375,0.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.1,192,192,1.8951822916666667,1.75,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.12,231,231,2.974609375,3.0,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.15,288,288,7.545963541666667,7.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.156771,302,302,7.204036458333333,7.0,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.2,384,384,8.721028645833334,8.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.3,576,576,14.502799479166669,13.8125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hihp_imp_asc,0.5,960,659,18.102001953125,17.71875,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.01,20,20,0.1458333333333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.03,58,58,0.1705729166666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.05,96,96,0.1811197916666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.07,135,135,0.20390625,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.1,192,192,0.2544270833333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.12,231,231,0.2143229166666666,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.15,288,288,0.2197916666666666,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.156771,302,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.2,384,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.3,576,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_desc,0.5,960,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.01,20,20,0.1296875,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.03,58,58,0.1388020833333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.05,96,96,0.1408854166666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.07,135,135,0.1423177083333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.1,192,192,0.1704427083333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.12,231,231,0.18671875,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.15,288,288,0.2076822916666666,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.156771,302,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.2,384,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.3,576,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,hilp_imp_asc,0.5,960,301,0.2102864583333333,0.25,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.01,20,20,0.6078125,0.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.03,58,58,3.086197916666667,2.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.05,96,96,5.722526041666667,5.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.07,135,135,9.263802083333331,9.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.1,192,192,9.0740234375,9.1875,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.12,231,231,10.514420572916666,10.875,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.15,288,288,11.239908854166666,11.3125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.156771,302,301,11.369205729166667,11.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.2,384,301,11.369205729166667,11.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.3,576,301,11.369205729166667,11.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,C_imp_asc,0.5,960,301,11.369205729166667,11.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.01,20,20,0.1282552083333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.03,58,58,0.1341145833333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.05,96,96,0.1328125,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.07,135,135,0.1296875,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.1,192,192,0.1373697916666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.12,231,231,0.1329427083333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.15,288,288,0.1381510416666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.156771,302,302,0.1334635416666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.2,384,384,0.1420572916666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.3,576,576,0.1419270833333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,D_imp_asc,0.5,960,659,0.1506510416666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.01,20,20,0.1311197916666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.03,58,58,0.1317708333333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.05,96,96,0.1266927083333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.07,135,135,0.1350260416666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.1,192,192,0.1305989583333333,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.12,231,231,0.1330729166666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.15,288,288,0.1783854166666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.156771,302,302,0.2154947916666666,0.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.2,384,384,0.5809895833333333,0.375,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.3,576,576,5.334700520833334,5.125,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,43,diag_rank_asc,0.5,960,960,11.361328125,11.5,960,20,80,659,301,301,659
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.01,20,20,0.2944010416666666,0.25,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.03,58,58,0.7109375,0.5625,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.05,96,96,0.94921875,0.75,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.07,135,135,2.3072916666666665,1.5,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.1,192,192,4.3521484375,3.625,960,20,80,655,305,305,655
qwen-2.5-14b-instruct,44,hihp_imp_desc,0.12,231,231,4.877994791666667,4.25,960,20,80,655,305,305,655
