pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,girlatrei,sonsaprom,3743,25350,girl,sons,3,3,0.3203125
pair1,kesfeisslem,sourmugrat,50977,20282,kes,sour,4,4,0.42578125
pair2,braszeintok,kirzelplom,45396,72630,bras,kir,4,4,0.078125
pair3,kirplesrut,fouzenkrut,72630,56525,kir,fou,4,4,0.03125
pair4,golflounsil,treilrukron,44449,4258,gol,tre,4,4,0.4609375
pair5,zarstaisdar,pelraisdaik,58824,11814,zar,pel,4,4,0.265625
pair6,treiszesaim,sleismurbam,4258,19747,tre,sle,4,4,0.2421875
pair7,silvunslos,brotrislus,5437,2896,sil,bro,4,4,0.40625
pair8,sistreiszas,bosstolmit,20896,42646,sist,bos,4,4,0.390625
pair9,parflainzin,resseinpeik,1346,592,par,res,4,4,0.3359375
pair10,presdeidom,tinmoulrok,1652,24790,pres,tin,4,4,0.2734375
pair11,tentrinflik,nelzanvok,15632,24340,tent,nel,4,4,0.40625
pair12,pairdainpem,natrougris,6716,17588,pair,nat,4,4,0.06103515625
pair13,gasgrelnam,dilfonpeis,6819,18840,gas,dil,4,4,0.07421875
pair14,speivanlail,grafeplut,2341,27599,spe,gra,4,4,0.3203125
pair15,kirpronsous,wanstartrit,72630,77753,kir,wan,4,4,0.359375
pair16,fairtrelfir,mispalkei,6624,5786,fair,mis,4,4,0.294921875
pair17,plusvasnaik,waitrasflal,5519,3783,plus,wait,4,4,0.11181640625
pair18,broplailbak,speilbonsur,2896,2341,bro,spe,4,4,0.1875
pair19,masvaisroun,valfontror,9243,1044,mas,val,4,4,0.1953125
pair20,molprirmus,dilgrotrik,21609,18840,mol,dil,4,4,0.177734375
pair21,dusloulfar,kupralslu,52432,80708,dus,kup,4,4,0.21875
pair22,sleinrutul,nalvoustair,19747,84533,sle,nal,4,4,0.328125
pair23,sorbrurkras,ginbaikreim,24534,46183,sor,gin,5,5,0.1953125
pair24,bergourpak,fansalvim,45885,7211,berg,fans,3,3,0.0
pair25,pelbeilkain,roubronlaim,11814,28365,pel,rou,4,4,0.3671875
pair26,narstaigoun,surkalseis,43569,1729,nar,sur,4,4,0.147216796875
pair27,presvanzaim,burzeilnel,1652,7795,pres,bur,4,4,0.2734375
pair28,tousweinmu,vondeintut,25642,6538,tous,von,4,4,0.03515625
pair29,mentasstil,vilgroreil,11288,25801,ment,vil,4,4,0.015625
pair30,keinweldok,dollousnoul,48803,7649,kein,doll,4,4,0.2109375
pair31,slaburtu,wenposlek,54691,37357,slab,wen,3,3,0.484375
pair32,moskrador,zouvalgom,22686,72121,mos,zou,3,3,0.3125
pair33,solgairmur,birwustut,2048,15248,sol,bir,4,4,0.3671875
pair34,gaindideir,kaldeikem,8722,35354,gain,kal,4,4,0.2578125
pair35,brairfogus,gesstounzor,20112,14410,bra,ges,5,5,0.37109375
pair36,tilwaibrer,gorplinkam,10266,45198,til,gor,4,4,0.265625
pair37,ridesgreis,zelfastrous,31227,59011,rides,zelf,3,3,0.015625
pair38,stubaintair,kernurfair,13633,82585,stub,kern,3,3,0.3515625
pair39,buspraneil,sourrounmus,5828,20282,bus,sour,4,4,0.3515625
pair40,sleiplawon,dolmeirsair,19747,21270,sle,dol,4,4,0.125
pair41,kosnoulbour,folspuskos,40397,9443,kos,fol,4,4,0.0625
pair42,doulenleis,graigrennut,24576,27599,dou,gra,4,4,0.3671875
pair43,trosteikat,bipirslit,8185,28878,tro,bip,4,4,0.2421875
pair44,nailpleslam,relberflet,30995,1351,nail,rel,4,4,0.078125
pair45,plelnukei,rosproswar,7100,26190,ple,ros,4,4,0.142578125
pair46,fastorprait,dirsurkrel,4937,5419,fast,dir,4,4,0.125
pair47,flofainsto,taildailzon,9744,9787,flo,tail,4,4,0.4375
pair48,tarzaflas,stuveirfal,12183,54754,tar,stu,4,4,0.15625
pair49,rolbrerlen,slaflotik,17679,31893,rol,sla,4,4,0.2734375
pair50,fiflousri,zurfurbrat,11128,17312,fif,zur,4,4,0.3515625
pair51,bergirrun,granrainma,45885,15732,berg,gran,3,3,0.3203125
pair52,silmespout,ladoltrous,5437,57625,sil,lad,4,4,0.3828125
pair53,darveissos,zurmesflain,15269,17312,dar,zur,4,4,0.4375
pair54,railvarfi,bronwersles,13569,29971,rail,bron,3,3,0.375
pair55,pregrosgun,seisderplir,19978,86412,preg,seis,4,4,0.2265625
pair56,benfondur,dotrouzum,3318,12756,ben,dot,4,4,0.17333984375
pair57,bunflirdi,fisbounkar,44821,41623,bun,fis,4,4,0.46875
pair58,lerpreiprik,fisturfeis,75020,39802,ler,fist,4,4,0.2109375
pair59,wenflonzous,fleinlonspi,37357,12962,wen,fle,4,4,0.109375
pair60,nalvesflun,kurvolpreir,84533,27265,nal,kur,4,4,0.09375
pair61,volfleirmus,runbouprei,4400,1598,vol,run,5,5,0.23046875
pair62,dabunprour,grisgineim,82768,85830,dab,gris,4,4,0.390625
pair63,stoswoutel,kolpismul,95983,47119,stos,kol,4,4,0.375
pair64,zeselbreim,kronzornout,137584,87932,zes,kron,4,4,0.265625
pair65,worstaispek,beltalrou,11785,19125,worst,belt,3,3,0.3046875
pair66,balgeiwoun,veinflondus,9642,53244,bal,vein,4,4,0.421875
pair67,delnaibra,bagrelfler,1594,8968,del,bag,4,4,0.296875
pair68,tourgouszas,plusstornel,7216,5519,tour,plus,4,4,0.35595703125
pair69,suslulrei,funsairtem,4481,2464,sus,fun,4,4,0.20703125
pair70,babrorflul,valdesdei,16584,1044,bab,val,4,4,0.0546875
pair71,sloswungram,kinfaissait,17603,23938,slo,kin,4,4,0.1953125
pair72,lerzokei,bronweisbik,75020,29971,ler,bron,4,4,0.0
pair73,boulsigroum,risnainwur,29770,9824,bou,ris,5,5,0.3046875
pair74,graikisguk,ventruplouk,27599,10378,gra,vent,5,5,0.1640625
