model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair0,P,0.0,1.0,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair0,Q,0.25,1.0,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair1,P,-0.25,0.875,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair1,Q,0.25,0.875,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair2,P,-1.0,0.625,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair2,Q,-0.25,0.625,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair3,P,-0.75,0.8125,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair3,Q,-0.25,0.625,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair4,P,-0.75,0.8125,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair4,Q,0.5,1.0,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair5,P,-0.25,0.875,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair5,Q,0.5,0.75,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair6,P,-1.0,0.6875,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair6,Q,0.0,1.0625,4285,4285,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair7,P,-0.5,0.75,45778,45778,435,500,525,460,0.11875,0.5994039177894592
qwen-2.5-14b-instruct,C_p_imp_asc,0.05,r0.05,96,96,SAME-OPP,pair7,Q,0.5,1.0,4285,4285,435,500,525,460,0.11875,0.5994039177894592
