layer,head,cell,rsa_max,perturbation_L2,importance_quartile
0,0,D,0.4469844698905945,0.09527772665023804,Q1
0,1,D,0.2944677472114563,0.04959064722061157,Q1
0,2,D,0.18987862765789032,0.06832507997751236,Q1
0,3,D,0.3672235608100891,0.03396405652165413,Q1
0,4,D,0.35856765508651733,0.13807055354118347,Q1
0,5,D,0.3634260296821594,0.053541168570518494,Q1
0,6,D,0.15429170429706573,0.028983566910028458,Q1
0,7,D,0.23681268095970154,0.05655378848314285,Q1
0,8,D,0.29249274730682373,0.03956819325685501,Q1
0,9,D,0.17481204867362976,0.0681980773806572,Q1
0,10,hilp,0.5493850708007812,0.056339655071496964,Q3
0,11,D,0.12215881049633026,0.03135126829147339,Q1
0,12,D,0.24699616432189941,0.037680041044950485,Q1
0,13,D,0.34310418367385864,0.042887840420007706,Q1
0,14,hilp,0.5233796238899231,0.04157998785376549,Q3
0,15,,,0.0,
0,16,D,0.30776476860046387,0.0481194444000721,Q1
0,17,D,0.45157867670059204,0.08076763898134232,Q1
0,18,hilp,0.5536212921142578,0.20841185748577118,Q3
0,19,D,0.18663540482521057,0.1500658094882965,Q1
0,20,hilp,0.5286000967025757,0.17892228066921234,Q3
0,21,D,0.38807231187820435,0.10071254521608353,Q1
0,22,D,0.15291950106620789,0.08764234185218811,Q1
0,23,D,0.3240431845188141,0.038816407322883606,Q1
0,24,D,0.29434865713119507,0.04378845915198326,Q1
0,25,D,0.13733141124248505,0.05913534387946129,Q1
0,26,D,0.28802061080932617,0.043426722288131714,Q1
0,27,D,0.13713085651397705,0.05361407250165939,Q1
1,0,D,0.48895496129989624,0.08349396288394928,Q2
1,1,D,0.36553120613098145,0.08197000622749329,Q1
1,2,D,0.3072289228439331,0.06649787724018097,Q1
1,3,D,0.46484535932540894,0.06404292583465576,Q1
1,4,D,0.4710519313812256,0.16721487045288086,Q1
1,5,D,0.5093288421630859,0.11054610460996628,Q2
1,6,D,0.3093836009502411,0.07286844402551651,Q1
1,7,D,0.4577568471431732,0.07447939366102219,Q1
1,8,D,0.48453861474990845,0.07249875366687775,Q2
1,9,D,0.503203809261322,0.061593201011419296,Q2
1,10,D,0.46504026651382446,0.06000961735844612,Q1
1,11,D,0.47446876764297485,0.08074310421943665,Q1
1,12,D,0.40272819995880127,0.059413328766822815,Q1
1,13,D,0.3695429861545563,0.08948925882577896,Q1
1,14,D,0.4690523147583008,0.10806109756231308,Q1
1,15,D,0.2626500725746155,0.054004330188035965,Q1
1,16,D,0.41510123014450073,0.06717472523450851,Q1
1,17,D,0.4207099378108978,0.05613744631409645,Q1
1,18,D,0.4366016387939453,0.08738470077514648,Q1
1,19,D,0.17493054270744324,0.05421939864754677,Q1
1,20,D,0.4584004878997803,0.05972199887037277,Q1
1,21,D,0.43292349576950073,0.09632963687181473,Q1
1,22,D,0.3261685371398926,0.08869556337594986,Q1
1,23,D,0.2941412925720215,0.1104542687535286,Q1
1,24,D,0.4885543882846832,0.09212670475244522,Q2
1,25,D,0.5050148367881775,0.10017155110836029,Q2
1,26,hilp,0.5444186925888062,0.09724894911050797,Q3
1,27,D,0.49223220348358154,0.10327865928411484,Q2
2,0,D,0.5024802684783936,0.12765398621559143,Q2
2,1,D,0.49315276741981506,0.11603894829750061,Q2
2,2,D,0.498351514339447,0.11114294081926346,Q2
2,3,D,0.4898722171783447,0.1400841325521469,Q2
2,4,D,0.25652509927749634,0.09185375273227692,Q1
2,5,D,0.48322927951812744,0.10459145158529282,Q2
2,6,D,0.3858928680419922,0.1096002459526062,Q1
2,7,D,0.47561365365982056,0.12001842260360718,Q2
2,8,D,0.49879127740859985,0.20205533504486084,Q2
2,9,C,0.5120477080345154,1.3245735168457031,Q2
2,10,D,0.50129234790802,0.21475373208522797,Q2
2,11,D,0.4982829689979553,0.16256597638130188,Q2
2,12,D,0.4975874423980713,0.183835968375206,Q2
2,13,D,0.47967082262039185,0.10865627229213715,Q2
2,14,D,0.4884469211101532,0.21679650247097015,Q2
2,15,D,0.4239501357078552,0.23476994037628174,Q1
2,16,D,0.35900312662124634,0.2715805172920227,Q1
2,17,D,0.41839051246643066,0.30079594254493713,Q1
2,18,D,0.4358747899532318,0.14147654175758362,Q1
2,19,D,0.45354294776916504,0.22571907937526703,Q1
2,20,D,0.057053010910749435,0.14694885909557343,Q1
2,21,D,0.4904627799987793,0.15011560916900635,Q2
2,22,D,0.4577808380126953,0.2502492666244507,Q1
2,23,D,0.5059623718261719,0.15379682183265686,Q2
2,24,D,0.496135950088501,0.27393895387649536,Q2
2,25,D,0.5059673190116882,0.34446412324905396,Q2
2,26,C,0.49931618571281433,1.0424907207489014,Q2
2,27,D,0.4926985502243042,0.19495902955532074,Q2
3,0,D,0.438942551612854,0.11171165108680725,Q1
3,1,D,0.5125516653060913,0.13248413801193237,Q2
3,2,D,0.49515148997306824,0.19310182332992554,Q2
3,3,D,0.5005881786346436,0.1454220563173294,Q2
3,4,D,0.5023142695426941,0.12666313350200653,Q2
3,5,D,0.4965178966522217,0.45767349004745483,Q2
3,6,D,0.5071057081222534,0.15849483013153076,Q2
3,7,D,0.49044814705848694,0.20674818754196167,Q2
3,8,D,0.33883702754974365,0.12610621750354767,Q1
3,9,D,0.47699353098869324,0.31125596165657043,Q2
3,10,D,0.4863840341567993,0.2096773087978363,Q2
3,11,D,0.5042078495025635,0.2124520242214203,Q2
3,12,D,0.4327717125415802,0.1624501347541809,Q1
3,13,D,0.5051202178001404,0.2544930577278137,Q2
3,14,hilp,0.5695762038230896,0.3228444457054138,Q3
3,15,D,0.4872528910636902,0.2205429971218109,Q2
3,16,D,0.44924336671829224,0.11440978199243546,Q1
3,17,hilp,0.5317835211753845,0.24928927421569824,Q3
3,18,D,0.49848103523254395,0.18209904432296753,Q2
3,19,D,0.4974769949913025,0.19282691180706024,Q2
3,20,D,0.5032269954681396,0.23073077201843262,Q2
3,21,D,0.4948441684246063,0.2596145570278168,Q2
3,22,D,0.49225983023643494,0.18650151789188385,Q2
3,23,D,0.5057634711265564,0.2185371220111847,Q2
3,24,D,0.4857422411441803,0.21392223238945007,Q2
3,25,D,0.4984011650085449,0.19946350157260895,Q2
3,26,D,0.4460607171058655,0.2045801281929016,Q1
3,27,D,0.4919934868812561,0.20444804430007935,Q2
4,0,D,0.3708929121494293,0.22011195123195648,Q1
4,1,D,0.4880307614803314,0.14159944653511047,Q2
4,2,D,0.4782336354255676,0.2389421910047531,Q2
4,3,D,0.5042225122451782,0.17605149745941162,Q2
4,4,D,0.5029253959655762,0.29618147015571594,Q2
4,5,D,0.5029498338699341,0.17822758853435516,Q2
4,6,D,0.4502730369567871,0.1488392949104309,Q1
4,7,D,0.43067222833633423,0.0012370686745271087,Q1
4,8,D,0.3363480567932129,0.007562479004263878,Q1
4,9,D,0.08525400608778,0.036396611481904984,Q1
4,10,D,0.2722422778606415,0.010402356274425983,Q1
4,11,D,0.4102099537849426,0.2358720302581787,Q1
4,12,D,0.5031297206878662,0.1882576048374176,Q2
4,13,D,0.4261053800582886,0.003034241497516632,Q1
4,14,D,0.5073321461677551,0.05028011277318001,Q2
4,15,D,0.49693194031715393,0.71832674741745,Q2
4,16,hilp,0.5252169370651245,0.3726375102996826,Q3
4,17,D,0.5019214153289795,0.1657542884349823,Q2
4,18,D,0.4976409375667572,0.2218526005744934,Q2
4,19,D,0.49918317794799805,0.31168562173843384,Q2
4,20,D,0.49602678418159485,0.23268450796604156,Q2
4,21,D,0.4984460175037384,0.23767496645450592,Q2
4,22,D,0.4684293568134308,0.0832805335521698,Q1
4,23,D,0.46501708030700684,0.05712169408798218,Q1
4,24,D,0.4912053942680359,0.20171338319778442,Q2
4,25,C,0.488829642534256,0.7728219628334045,Q2
4,26,D,0.5129945278167725,0.05580417439341545,Q2
4,27,D,0.500481367111206,0.014609805308282375,Q2
5,0,D,0.38111039996147156,0.2286670207977295,Q1
5,1,D,0.49952277541160583,0.5083120465278625,Q2
5,2,D,0.47923052310943604,0.19117963314056396,Q2
5,3,D,0.4936405420303345,0.16593198478221893,Q2
5,4,D,0.4976063668727875,0.29266324639320374,Q2
5,5,D,0.3432425260543823,0.12068898975849152,Q1
5,6,D,0.5017010569572449,0.20604127645492554,Q2
5,7,C,0.5107566714286804,0.8215060234069824,Q2
5,8,hilp,0.5273541212081909,0.4587586224079132,Q3
5,9,D,0.49461692571640015,0.1717957854270935,Q2
5,10,D,0.5157473087310791,0.42293480038642883,Q2
5,11,D,0.4902171790599823,0.08624114096164703,Q2
5,12,D,0.511206328868866,0.15334086120128632,Q2
5,13,D,0.5091982483863831,0.3384785056114197,Q2
5,14,D,0.4264425039291382,0.07842550426721573,Q1
5,15,D,0.49063074588775635,0.15659166872501373,Q2
5,16,D,0.4659593105316162,0.12089184671640396,Q1
5,17,D,0.3781314492225647,0.21728761494159698,Q1
