model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair0,P,-0.75,5.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair0,Q,1.375,2.875,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair1,P,-0.875,5.75,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair1,Q,1.25,3.5625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair2,P,-2.625,5.5625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair2,Q,0.375,4.0,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair3,P,-2.625,5.4375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair3,Q,-1.125,1.125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair4,P,-3.5,6.75,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair4,Q,1.25,4.3125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair5,P,-2.625,6.8125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair5,Q,1.0,3.3125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair6,P,-3.125,6.75,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair6,Q,0.375,3.8125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair7,P,-1.625,5.5625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair7,Q,0.875,3.5625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair8,P,-3.25,6.75,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair8,Q,1.25,3.125,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair9,P,-1.75,5.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-OPP,pair9,Q,-0.125,3.625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair0,P,-0.375,3.3125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair0,Q,1.375,7.875,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair1,P,0.25,3.1875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair1,Q,-0.125,7.1875,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair2,P,-1.5,6.46875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair2,Q,-0.75,5.875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair3,P,-2.75,4.1875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair3,Q,-3.25,6.0625,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair4,P,-1.0,4.6875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair4,Q,0.375,5.5625,6351,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair5,P,-1.625,3.5625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair5,Q,0.75,8.1875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair6,P,-2.875,4.125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair6,Q,-1.125,7.71875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair7,P,-0.125,4.3125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair7,Q,0.5,6.875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair8,P,-0.75,6.9375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair8,Q,0.5,6.9375,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair9,P,-1.125,5.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-MORE,pair9,Q,-1.5,6.6875,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair0,P,-0.75,1.3125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair0,Q,-0.625,0.25,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair1,P,-1.125,3.8125,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair1,Q,-0.375,0.75,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair2,P,-0.375,2.375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair2,Q,-0.5,0.75,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair3,P,-1.5,1.0,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair3,Q,-0.75,0.25,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair4,P,-0.25,2.6875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair4,Q,-1.0,0.375,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair5,P,-0.875,2.0625,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair5,Q,-0.75,0.0,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair6,P,-1.25,2.375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair6,Q,-0.625,0.375,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair7,P,-0.5,1.4375,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair7,Q,0.25,-0.125,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair8,P,-0.375,1.6875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair8,Q,-0.5,0.375,22096,22096
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair9,P,-1.0,2.875,13939,13939
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,SAME-LESS,pair9,Q,-0.25,0.25,6351,6351
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair0,P,0.125,2.625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair0,Q,-0.125,5.3125,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair1,P,-0.125,1.25,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair1,Q,-0.875,4.375,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair2,P,0.0,1.125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair2,Q,-1.0,5.1875,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair3,P,-0.625,1.8125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair3,Q,-1.875,6.25,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair4,P,0.25,1.375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair4,Q,-0.25,3.0,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair5,P,-0.25,2.4375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair5,Q,-1.0,4.8125,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair6,P,-0.625,1.3125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair6,Q,-0.875,3.0,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair7,P,0.125,1.1875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair7,Q,-0.75,2.8125,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair8,P,0.0,3.5625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair8,Q,-0.625,5.4375,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair9,P,-0.875,2.8125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-MORE,pair9,Q,-1.625,5.125,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair0,P,0.0,2.765625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair0,Q,0.0,4.0,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair1,P,0.125,3.3046875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair1,Q,-0.25,5.15625,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair2,P,0.125,5.427734375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair2,Q,-0.5,6.125,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair3,P,0.75,2.875,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair3,Q,0.0,4.6875,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair4,P,-0.125,2.8828125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair4,Q,-0.25,4.8125,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair5,P,0.0,2.21484375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair5,Q,-1.25,4.4375,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair6,P,0.0,5.1640625,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair6,Q,-0.5,5.0625,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair7,P,-0.375,3.611328125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair7,Q,-1.25,3.3125,4285,8993
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair8,P,0.0,3.8125,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair8,Q,0.125,5.5,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair9,P,0.0,4.4375,45778,45778
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,OPP-LESS,pair9,Q,-0.125,3.5,4285,4285
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair0,P,-1.625,6.625,9443,9443
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair0,Q,-1.875,6.875,9443,9443
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair1,P,-1.875,10.3125,50209,50209
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair1,Q,-4.25,10.625,50209,50209
qwen-2.5-7b-instruct,hihp_imp_desc,0.01,7,7,MORE-LESS,pair2,P,-1.375,5.0625,16049,16049
