model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair0,P,-0.125,0.25,45778,45778,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair0,Q,0.0,0.0,4285,4285,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair1,P,0.0,0.1875,45778,45778,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair1,Q,0.25,-0.125,4285,4285,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair2,P,-0.125,0.0,45778,45778,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair2,Q,0.125,0.0,4285,4285,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair3,P,-0.25,0.3125,45778,45778,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair3,Q,-0.125,-0.4375,4285,4285,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair4,P,-0.125,0.3125,45778,45778,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair4,Q,0.125,0.0,4285,4285,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair5,P,0.0,0.3125,45778,45778,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair5,Q,-0.125,-0.25,4285,4285,121,264,271,128,0.065625,0.7376671731472015
qwen-2.5-7b-instruct,C_p_imp_asc,0.05,r0.05,39,39,SAME-OPP,pair6,P,-0.125,0.1875,45778,45778,121,264,271,128,0.065625,0.7376671731472015
