layer,head,causal_imp
0,0,0.0625
0,1,0.06458333333333334
0,2,0.059375
0,3,0.06875
0,4,0.06770833333333333
0,5,0.05520833333333333
0,6,0.057291666666666664
0,7,0.065625
0,8,0.05
0,9,0.065625
0,10,0.0625
0,11,0.05625
0,12,0.059375
0,13,0.058333333333333334
0,14,0.07083333333333333
0,15,0.0
0,16,0.06770833333333333
0,17,0.06770833333333333
0,18,0.06145833333333333
0,19,0.06041666666666667
0,20,0.057291666666666664
0,21,0.06770833333333333
0,22,0.06354166666666666
0,23,0.06875
0,24,0.057291666666666664
0,25,0.07291666666666667
0,26,0.06875
0,27,0.065625
1,0,0.06145833333333333
1,1,0.06145833333333333
1,2,0.06041666666666667
1,3,0.06145833333333333
1,4,0.06354166666666666
1,5,0.06770833333333333
1,6,0.06041666666666667
1,7,0.06875
1,8,0.05
1,9,0.06145833333333333
1,10,0.05416666666666667
1,11,0.06354166666666666
1,12,0.06875
1,13,0.06458333333333334
1,14,0.05416666666666667
1,15,0.052083333333333336
1,16,0.06979166666666667
1,17,0.059375
1,18,0.06041666666666667
1,19,0.071875
1,20,0.06354166666666666
1,21,0.06770833333333333
1,22,0.0625
1,23,0.059375
1,24,0.06875
1,25,0.05625
1,26,0.057291666666666664
1,27,0.07083333333333333
2,0,0.058333333333333334
2,1,0.058333333333333334
2,2,0.071875
2,3,0.06041666666666667
2,4,0.05520833333333333
2,5,0.06666666666666667
2,6,0.065625
2,7,0.06041666666666667
2,8,0.07291666666666667
2,9,0.08229166666666667
2,10,0.059375
2,11,0.0625
2,12,0.06041666666666667
2,13,0.05520833333333333
2,14,0.057291666666666664
2,15,0.05416666666666667
2,16,0.06145833333333333
2,17,0.059375
2,18,0.06770833333333333
2,19,0.065625
2,20,0.06354166666666666
2,21,0.06145833333333333
2,22,0.06875
2,23,0.06354166666666666
2,24,0.07708333333333334
2,25,0.058333333333333334
2,26,0.06041666666666667
2,27,0.059375
3,0,0.05416666666666667
3,1,0.059375
3,2,0.065625
3,3,0.05625
3,4,0.06145833333333333
3,5,0.07291666666666667
3,6,0.06666666666666667
